step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,2.8187269778160333,360,300,5.073498367796325,25.90961488073855,8,nan,X1
1,0.2,2.8135878543424955,720,600,5.07548564768209,25.88764742088126,8,nan,X1
2,0.3,2.8123600286087203,1080,900,5.078264721854822,25.89004030288661,8,nan,X1
3,0.4,2.8121256579560083,1440,1200,5.079213728005166,25.892070287648195,8,nan,X1
4,0.5,2.8118277444640483,1800,1500,5.078826116333449,25.892607724059847,8,nan,X1
5,0.6,2.811603594003878,2160,1800,5.078018970879788,25.89125941255464,8,nan,X1
6,0.7,2.811528945962497,2520,2100,5.078064845353492,25.88656678524832,8,nan,X1
7,0.8,2.7859887269567944,2880,2400,5.08332827783913,25.787107530986592,8,nan,X1
8,0.9,2.7678412643368446,3240,2700,5.071911289200854,25.64952689137304,8,nan,X1
9,1.0,2.7651758214978415,3600,3000,5.069887009069789,25.61406980577526,8,nan,X1
10,1.1,0.666796440465586,8290,7630,1.9276969202753125,15.124652427816669,16,nan,X1;X2Y11
11,1.2,0.5815036294519034,8650,7930,1.8503845236871248,14.10067971153752,16,nan,X1;X2Y11
12,1.3,0.5815036294519034,9010,8230,1.8503845236871248,14.10067971153752,16,nan,X1;X2Y11
13,1.4,0.5815036294519034,9370,8530,1.8503845236871248,14.10067971153752,16,nan,X1;X2Y11
14,1.5,0.5815036294519034,9730,8830,1.8503845236871248,14.10067971153752,16,nan,X1;X2Y11
15,1.6,0.5815036294519034,10090,9130,1.8503845236871248,14.10067971153752,16,nan,X1;X2Y11
16,1.7,0.5815036294519034,10450,9430,1.8503845236871248,14.10067971153752,16,nan,X1;X2Y11
17,1.8,0.5815036294519034,10810,9730,1.8503845236871248,14.10067971153752,16,nan,X1;X2Y11
18,1.9,0.5815036294519034,11170,10030,1.8503845236871248,14.10067971153752,16,nan,X1;X2Y11
19,2.0,0.5815036294519034,11530,10330,1.8503845236871248,14.10067971153752,16,nan,X1;X2Y11
20,2.1,0.2053949630026337,16220,14960,1.04990645296703,10.565833128585972,24,nan,X1;X2Y11;Y8
21,2.2,0.2053949630026337,16580,15260,1.04990645296703,10.565833128585972,24,nan,X1;X2Y11;Y8
22,2.3,0.2053949630026337,16940,15560,1.04990645296703,10.565833128585972,24,nan,X1;X2Y11;Y8
23,2.4,0.2053949630026337,17300,15860,1.04990645296703,10.565833128585972,24,nan,X1;X2Y11;Y8
24,2.5,0.2053949630026337,17660,16160,1.04990645296703,10.565833128585972,24,nan,X1;X2Y11;Y8
25,2.6,0.2053949630026337,18020,16460,1.04990645296703,10.565833128585972,24,nan,X1;X2Y11;Y8
26,2.7,0.2053949630026337,18380,16760,1.04990645296703,10.565833128585972,24,nan,X1;X2Y11;Y8
27,2.8,0.2053949630026337,18740,17060,1.04990645296703,10.565833128585972,24,nan,X1;X2Y11;Y8
28,2.9,0.2053949630026337,19100,17360,1.04990645296703,10.565833128585972,24,nan,X1;X2Y11;Y8
29,3.0,0.2053949630026337,19460,17660,1.04990645296703,10.565833128585972,24,nan,X1;X2Y11;Y8
30,3.1,0.11157118129632099,24190,22330,1.0562612619633431,8.553502019678314,32,nan,X1;X2Y11;Y8;Y5
31,3.2,0.11157118129632099,24590,22670,1.0562612619633431,8.553502019678314,32,nan,X1;X2Y11;Y8;Y5
32,3.3,0.11157118129632099,24990,23010,1.0562612619633431,8.553502019678314,32,nan,X1;X2Y11;Y8;Y5
33,3.4,0.11157118129632099,25390,23350,1.0562612619633431,8.553502019678314,32,nan,X1;X2Y11;Y8;Y5
34,3.5,0.11157118129632099,25790,23690,1.0562612619633431,8.553502019678314,32,nan,X1;X2Y11;Y8;Y5
35,3.6,0.11157118129632099,26190,24030,1.0562612619633431,8.553502019678314,32,nan,X1;X2Y11;Y8;Y5
36,3.7,0.11157118129632099,26590,24370,1.0562612619633431,8.553502019678314,32,nan,X1;X2Y11;Y8;Y5
37,3.8,0.11157118129632099,26990,24710,1.0562612619633431,8.553502019678314,32,nan,X1;X2Y11;Y8;Y5
38,3.9,0.11157118129632099,27390,25050,1.0562612619633431,8.553502019678314,32,nan,X1;X2Y11;Y8;Y5
39,4.0,0.11157118129632099,27790,25390,1.0562612619633431,8.553502019678314,32,nan,X1;X2Y11;Y8;Y5
