step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.09065039057641122,1020,960,0.8725137351202685,8.311932496492437,8,nan,X1
1,0.2,0.0828427506365014,3080,2960,0.8233974683533529,7.854732089211595,8,nan,X1
2,0.3,0.08251221584148152,5070,4890,0.8286311019499081,7.797085735262499,8,nan,X1
3,0.4,0.08248534248861748,7130,6890,0.8281990057154671,7.7820257891408655,8,nan,X1
4,0.5,0.082466007371396,9190,8890,0.8287273566665061,7.770714875007665,8,nan,X1
5,0.6,0.08244946747693141,10780,10420,0.8281836122320699,7.760628909780501,8,nan,X1
6,0.7,0.08243931638216322,12300,11880,0.8279336389105871,7.7550790369952995,8,nan,X1
7,0.8,0.08242535632818243,14360,13880,0.8275868046080967,7.745836358582097,8,nan,X1
8,0.9,0.08240960389077936,16420,15880,0.8276935909683287,7.731887852797823,8,nan,X1
9,1.0,0.08240342336034286,18000,17400,0.8274444198716687,7.726376926135073,8,nan,X1
10,1.1,0.082402103347154,18820,18160,0.8279180468634689,7.72456342921717,8,nan,X1
11,1.2,0.08240182582086684,19460,18740,0.8271384146618896,7.725273364577724,8,nan,X1
12,1.3,0.08239941739790664,20470,19690,0.8273427714666844,7.72233204459063,8,nan,X1
13,1.4,0.08239742140445158,21490,20650,0.8274291995037858,7.72108137677734,8,nan,X1
14,1.5,0.08239578783711168,22370,21470,0.8274128912678942,7.719561847129391,8,nan,X1
15,1.6,0.08239495094964781,23260,22300,0.8272521825772676,7.718871364353814,8,nan,X1
16,1.7,0.08239466932728741,24040,23020,0.8274594531190413,7.718857785777116,8,nan,X1
17,1.8,0.08239439035721718,24720,23640,0.8272330483455668,7.718473451418391,8,nan,X1
18,1.9,0.08239422148280406,25360,24220,0.8271256478638165,7.718349905801546,8,nan,X1
19,2.0,0.08239380115073199,26010,24810,0.8271912639138543,7.717475168062212,8,nan,X1
20,2.1,0.08238886328008017,28560,27300,0.8272268577682451,7.712576718599246,16,nan,X1;Z0Z3
21,2.2,0.08238688500793581,30450,29130,0.8273588017209078,7.709643023290057,16,nan,X1;Z0Z3
22,2.3,0.0823826726405201,32510,31130,0.8269151029734962,7.70517549670084,16,nan,X1;Z0Z3
23,2.4,0.08238086189051706,34570,33130,0.826984700184412,7.703557987166932,16,nan,X1;Z0Z3
24,2.5,0.08237854052233017,36630,35130,0.8271278440973362,7.699676299588315,16,nan,X1;Z0Z3
25,2.6,0.0823753447230501,38690,37130,0.826814695299104,7.695968966701611,16,nan,X1;Z0Z3
26,2.7,0.08237410648169322,40470,38850,0.8268308906541102,7.695045994677611,16,nan,X1;Z0Z3
27,2.8,0.08237392095308411,41840,40160,0.8267036861017591,7.6946405150293,16,nan,X1;Z0Z3
28,2.9,0.08237218893967482,43900,42160,0.8266069852201533,7.691247107242695,16,nan,X1;Z0Z3
29,3.0,0.08237114873097673,45960,44160,0.8264319470119421,7.689359112685992,16,nan,X1;Z0Z3
30,3.1,0.08236862715694036,47880,46020,0.8266895477888032,7.684979907605889,16,nan,X1;Z0Z3
31,3.2,0.08236638901647449,49940,48020,0.8265654446999948,7.6817246137083375,16,nan,X1;Z0Z3
32,3.3,0.08236347750005463,52000,50020,0.8264441133870726,7.67701453813347,16,nan,X1;Z0Z3
33,3.4,0.0823615392032693,54060,52020,0.8264891454730794,7.673775846166592,16,nan,X1;Z0Z3
34,3.5,0.08236144730116358,55260,53160,0.8264342761756233,7.673714170666729,16,nan,X1;Z0Z3
35,3.6,0.08236040728068958,57320,55160,0.8262811689503973,7.672501366863928,16,nan,X1;Z0Z3
36,3.7,0.08235905335449402,59380,57160,0.8262399948067616,7.670716363104215,16,nan,X1;Z0Z3
37,3.8,0.082356920295942,61440,59160,0.8264449860626168,7.668204474608169,16,nan,X1;Z0Z3
38,3.9,0.08235675602229359,62700,60360,0.8262420082812445,7.6679369506078245,16,nan,X1;Z0Z3
39,4.0,0.08235559402624802,64760,62360,0.8263465753220424,7.667265413063707,16,nan,X1;Z0Z3
