step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.11088901722061244,1080,1.0194997892834026,15.30241103945325,8,nan,X1
1,0.2,0.10027538164925584,3140,1.0101436606667689,15.210569919387781,8,nan,X1
2,0.3,0.09888172598860952,5200,1.0160043528705065,15.246413967567857,8,nan,X1
3,0.4,0.09823944766615807,7260,1.0168481646259364,15.299437539966757,8,nan,X1
4,0.5,0.0980021468093252,9320,1.0164000411094791,15.33856257984391,8,nan,X1
5,0.6,0.09788583193765693,11380,1.017350087448448,15.353174433845574,8,nan,X1
6,0.7,0.09783478901517584,13440,1.016952946927593,15.360468851697913,8,nan,X1
7,0.8,0.0977250391892754,14120,1.0171790270600405,15.448218175191656,8,nan,X1
8,0.9,0.09771634105880178,15630,1.0175371325180795,15.451900749533857,8,nan,X1
9,1.0,0.09764002248895035,17690,1.017579998408962,15.516417668111071,8,nan,X1
10,1.1,0.09762441983231715,19750,1.0174662075992484,15.53178787648201,8,nan,X1
11,1.2,0.09761794307363707,21810,1.0171561665589297,15.529121140249726,8,nan,X1
12,1.3,0.09761494088556107,23060,1.0173010401622662,15.53124137132946,8,nan,X1
13,1.4,0.09760367178256583,25120,1.0173348175440782,15.540494554882956,8,nan,X1
14,1.5,0.0976033832225676,25780,1.0173949612798678,15.53994943652759,8,nan,X1
15,1.6,0.0975958260760752,27500,1.0172717306963532,15.547845442701604,8,nan,X1
16,1.7,0.09759058654354244,28980,1.0173797902064574,15.55142367775788,8,nan,X1
17,1.8,0.09759052186470898,29620,1.0173858231284894,15.551775862256246,8,nan,X1
18,1.9,0.09759001568514923,30290,1.017125673079888,15.551635260965412,8,nan,X1
19,2.0,0.09758333914847406,32350,1.0171371980258301,15.556392775674334,8,nan,X1
20,2.1,0.09757589577018658,34900,1.0171855806384065,15.56277141665339,16,nan,X1;X0X1
21,2.2,0.09757198857046026,36960,1.0170845326416265,15.567073055851637,16,nan,X1;X0X1
