step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.8182063037272446,2060,1.743243925407866,13.861362254259717,8,nan,X1
1,0.2,0.8154184502768999,4120,1.7010689796173755,13.191645845582864,8,nan,X1
2,0.3,0.8143317006757914,6180,1.6814144540376954,12.80765745523823,8,nan,X1
3,0.4,0.8140960412441894,8240,1.6897727760991272,12.69113862151719,8,nan,X1
4,0.5,0.8139179838679629,10300,1.698648539137685,12.61701755676674,8,nan,X1
5,0.6,0.8138393969846874,12360,1.7010289962458616,12.595665349935985,8,nan,X1
6,0.7,0.8137494768076514,14420,1.7039391579099952,12.578908310245492,8,nan,X1
7,0.8,0.8136968432550696,16480,1.7044034284005611,12.56503918508307,8,nan,X1
8,0.9,0.8136639990862672,17620,1.7044448102249317,12.563377025935958,8,nan,X1
9,1.0,0.8136464580524401,18250,1.7044332576697903,12.56039300970777,8,nan,X1
10,1.1,0.8136267811133399,19180,1.7047946911488103,12.558575307520952,8,nan,X1
11,1.2,0.8136087199198557,19850,1.7051139071809405,12.557633225323391,8,nan,X1
12,1.3,0.8135906479977995,20590,1.705181349251748,12.555100715581709,8,nan,X1
13,1.4,0.8135726874585149,21410,1.705260049908173,12.553714250144258,8,nan,X1
14,1.5,0.8135720169174405,22030,1.7053295439054494,12.554057894578232,8,nan,X1
15,1.6,0.8135713178607156,22640,1.7054357888655272,12.553061108809562,8,nan,X1
16,1.7,0.8135707216842831,23250,1.7055155456948257,12.551505162671582,8,nan,X1
17,1.8,0.8135691821084384,23980,1.7055920305668382,12.548501522207529,8,nan,X1
18,1.9,0.8135680510004504,24740,1.705796356896895,12.550041880485336,8,nan,X1
19,2.0,0.8135673378782627,25370,1.7058719987890416,12.548911347446326,8,nan,X1
20,2.1,0.8135668214080048,27110,1.7059280095183957,12.547826229520206,16,nan,X1;Z2
21,2.2,0.8135665653654336,28320,1.7059282628198333,12.547267747680275,16,nan,X1;Z2
22,2.3,0.8135509964846759,29750,1.7086233014863348,12.532618594647667,16,nan,X1;Z2
23,2.4,0.8135505369652098,31010,1.708647745749366,12.53313086778429,16,nan,X1;Z2
24,2.5,0.8135482294860531,33070,1.7087108104563022,12.529186042166561,16,nan,X1;Z2
25,2.6,0.8135466755997269,34460,1.7086110948367854,12.526703991338698,16,nan,X1;Z2
26,2.7,0.8135452552689181,36300,1.7089038457764416,12.525435418248597,16,nan,X1;Z2
27,2.8,0.8135451817642997,37550,1.7089466487450047,12.525965051884896,16,nan,X1;Z2
28,2.9,0.8135447877220121,38760,1.7089889350985514,12.52612596392015,16,nan,X1;Z2
29,3.0,0.8135444703811419,39960,1.7090400917633444,12.525199837574169,16,nan,X1;Z2
30,3.1,0.813542142433409,41740,1.709319999802277,12.523135581564553,16,nan,X1;Z2
31,3.2,0.8135375707417424,43660,1.7100473751032836,12.517705525823576,16,nan,X1;Z2
32,3.3,0.8135375498454649,44860,1.7100454967346421,12.51765237016264,16,nan,X1;Z2
33,3.4,0.813537383263872,46090,1.7101433629328897,12.518701846376645,16,nan,X1;Z2
34,3.5,0.8135371545846217,47290,1.7101430539145652,12.51762764141053,16,nan,X1;Z2
35,3.6,0.8135371545846216,48510,1.7101430539145641,12.51762764141053,16,nan,X1;Z2
36,3.7,0.8135367196674941,49800,1.7101978499507222,12.516394347778625,16,nan,X1;Z2
37,3.8,0.8135366510763945,50960,1.710192758295615,12.516270905993517,16,nan,X1;Z2
38,3.9,0.813536327536407,52260,1.7102418435165645,12.51651616041856,16,nan,X1;Z2
39,4.0,0.8135363275364066,53420,1.7102418435165643,12.516516160418558,16,nan,X1;Z2
40,4.1,0.8135359324496664,55160,1.7102771863375226,12.515744345586489,16,nan,X1;Z2
41,4.2,0.813535765469005,56360,1.7102830236781805,12.515466716901514,16,nan,X1;Z2
42,4.3,0.8135356358367162,57590,1.710295801431374,12.515776174230302,16,nan,X1;Z2
43,4.4,0.8135352347067272,59090,1.7103990714351511,12.515934728665693,16,nan,X1;Z2
44,4.5,0.8135348441918252,60250,1.7104868746783828,12.514466036185055,16,nan,X1;Z2
45,4.6,0.8135346504775745,61490,1.7104993573372727,12.514612165845616,16,nan,X1;Z2
46,4.7,0.8135308297127454,62700,1.7113524337882942,12.50859540508031,16,nan,X1;Z2
47,4.8,0.8135305116812604,63880,1.7113607555731325,12.508247591020837,16,nan,X1;Z2
48,4.9,0.8135304712624858,65060,1.711339967950496,12.50752168571536,16,nan,X1;Z2
49,5.0,0.8135298427210643,66470,1.7114770214988644,12.506511865306626,16,nan,X1;Z2
50,5.1,0.8135295300373105,67780,1.711548682880416,12.50655389047792,16,nan,X1;Z2
51,5.2,0.8135254203601554,69220,1.712306579629634,12.498330447654565,16,nan,X1;Z2
52,5.3,0.8135253026167946,70400,1.7123248128387965,12.498623412362148,16,nan,X1;Z2
53,5.4,0.8135240732909591,71720,1.7125011059163264,12.496061483920558,16,nan,X1;Z2
54,5.5,0.8135238377249022,72930,1.7125602048162887,12.49716017145573,16,nan,X1;Z2
55,5.6,0.8135238377249018,74080,1.7125602048162882,12.497160171455729,16,nan,X1;Z2
56,5.7,0.8135234910095845,75340,1.7126289051597172,12.495644523462726,16,nan,X1;Z2
57,5.8,0.813522792301494,76980,1.7127530337663561,12.494333682862747,16,nan,X1;Z2
58,5.9,0.8135227923014937,78220,1.7127530337663555,12.494333682862747,16,nan,X1;Z2
59,6.0,0.8135214720548585,79500,1.713257165958221,12.494251074958157,16,nan,X1;Z2
