step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.37914329721187506,2060,1.2035784271351726,7.080574315406748,8,nan,X1
1,0.2,0.3457768130809657,4120,1.1652630915097697,6.619326111994515,8,nan,X1
2,0.3,0.3216722825537374,6180,1.176916092392967,6.336945809672376,8,nan,X1
3,0.4,0.23972073982046538,8240,1.0873910801572002,5.526558655169675,8,nan,X1
4,0.5,0.050223170693390905,10300,0.5921284296805494,2.581509358912099,8,nan,X1
5,0.6,0.013351528614286828,12360,0.3045327108789635,1.8261115046217777,8,nan,X1
6,0.7,0.005024112794298656,14420,0.1884521613832286,1.7786847827151382,8,nan,X1
7,0.8,0.004587300069446394,16480,0.1809720403188065,1.8121802298944238,8,nan,X1
8,0.9,0.004506644228327195,18380,0.18188769254632642,1.8310540262873956,8,nan,X1
9,1.0,0.0044996951248214324,19080,0.18266919355278774,1.8422626570518057,8,nan,X1
10,1.1,0.004494910602372184,19720,0.18280341578425202,1.8467044181324948,8,nan,X1
11,1.2,0.004493628289055023,20320,0.18248167298619805,1.843495438473079,8,nan,X1
12,1.3,0.004492585047572402,20920,0.18261482618818783,1.8455685796645993,8,nan,X1
13,1.4,0.004492023970823469,21560,0.18241010052410167,1.842971210825489,8,nan,X1
14,1.5,0.004491972965731263,22160,0.18239346450770386,1.843082638610488,8,nan,X1
15,1.6,0.004491098914586222,22780,0.1820519487954436,1.8390739250992427,8,nan,X1
16,1.7,0.004491045416378263,23420,0.1822214981090357,1.8405825528325053,8,nan,X1
17,1.8,0.004491041389218732,24020,0.1822233871675393,1.8406277309098453,8,nan,X1
18,1.9,0.0044908356996337506,24640,0.18218478906825097,1.8410148921056297,8,nan,X1
19,2.0,0.004490721330025462,25250,0.18215041178449612,1.84013568553301,8,nan,X1
20,2.1,0.004490689065093064,27070,0.18218725025355792,1.8405763033424176,16,nan,X1;X0Y1
21,2.2,0.004490335558697763,28240,0.18248472893445097,1.8462888662652432,16,nan,X1;X0Y1
22,2.3,0.00449024941662441,29420,0.18242155695253406,1.8458751437861824,16,nan,X1;X0Y1
23,2.4,0.004490184741459538,30660,0.18235468117169207,1.8444583635063125,16,nan,X1;X0Y1
24,2.5,0.004490141451656373,31920,0.18228471538043672,1.8434876136924407,16,nan,X1;X0Y1
25,2.6,0.004490033998106355,33210,0.18232700951560052,1.8448020326861196,16,nan,X1;X0Y1
26,2.7,0.004490017373250587,34450,0.18230043345364388,1.8446734366687014,16,nan,X1;X0Y1
27,2.8,0.004489939826489008,35670,0.18220915445332234,1.8437298069131074,16,nan,X1;X0Y1
28,2.9,0.004489930699300452,36810,0.18223550071492353,1.8440164365515506,16,nan,X1;X0Y1
29,3.0,0.004489927797669761,38130,0.18224050883380086,1.8439920314854341,16,nan,X1;X0Y1
30,3.1,0.004489900172760499,39460,0.1821574176156241,1.842986486681868,16,nan,X1;X0Y1
31,3.2,0.004489897400579052,40730,0.1821631096861137,1.8428691246417803,16,nan,X1;X0Y1
32,3.3,0.004489886302126091,41950,0.18217070522590179,1.8430569914624129,16,nan,X1;X0Y1
33,3.4,0.004489817189298366,43110,0.1822237223428197,1.8438379313856677,16,nan,X1;X0Y1
34,3.5,0.004489778685844845,44430,0.18216245152863342,1.843016722984995,16,nan,X1;X0Y1
35,3.6,0.004489764619483853,45670,0.18214831369182394,1.842547117310953,16,nan,X1;X0Y1
36,3.7,0.0044897528752148455,46890,0.18213162300703298,1.8427225971614676,16,nan,X1;X0Y1
37,3.8,0.004489742001773269,48070,0.18215296017521776,1.8428896178485972,16,nan,X1;X0Y1
38,3.9,0.004489742001773215,49390,0.18215296017521737,1.8428896178485987,16,nan,X1;X0Y1
39,4.0,0.004489720971606489,50670,0.1821385276371831,1.8426687889038416,16,nan,X1;X0Y1
40,4.1,0.004489719411902276,53130,0.18215519952148249,1.842916545399456,24,nan,X1;X0Y1;Y0Y1
41,4.2,0.004489695237784816,54950,0.1821743778861385,1.8433859108556503,24,nan,X1;X0Y1;Y0Y1
42,4.3,0.00448966487595095,56940,0.182150312367993,1.8431090245923802,24,nan,X1;X0Y1;Y0Y1
43,4.4,0.004489657591681541,58900,0.18219319152530944,1.84334223743704,24,nan,X1;X0Y1;Y0Y1
44,4.5,0.004489607670478419,60740,0.1821895619782551,1.844235560378105,24,nan,X1;X0Y1;Y0Y1
45,4.6,0.0044895899435105574,62790,0.1821792564147001,1.8438710292529357,24,nan,X1;X0Y1;Y0Y1
46,4.7,0.004489561781942596,64760,0.18215158244841984,1.843649073129942,24,nan,X1;X0Y1;Y0Y1
47,4.8,0.004489506027147412,66680,0.18218837006800317,1.8435363047033073,24,nan,X1;X0Y1;Y0Y1
48,4.9,0.00448949316880455,68740,0.18217183858823285,1.8433832237866963,24,nan,X1;X0Y1;Y0Y1
49,5.0,0.0044894849737966,70800,0.18212306072229836,1.8429991113365864,24,nan,X1;X0Y1;Y0Y1
50,5.1,0.004489463737826794,72790,0.1821739919213328,1.8435527580986542,24,nan,X1;X0Y1;Y0Y1
51,5.2,0.004489443776723742,74850,0.18219720895105543,1.8438670688823853,24,nan,X1;X0Y1;Y0Y1
52,5.3,0.004489413176443673,76790,0.18217288556212036,1.843531701436895,24,nan,X1;X0Y1;Y0Y1
53,5.4,0.00448941259290008,78850,0.1821643470962672,1.8435942221765207,24,nan,X1;X0Y1;Y0Y1
54,5.5,0.004489404276194294,80810,0.1821913317635679,1.8435585946440303,24,nan,X1;X0Y1;Y0Y1
55,5.6,0.004489394760005162,82870,0.18219230751950696,1.8437657800448655,24,nan,X1;X0Y1;Y0Y1
56,5.7,0.004489357033671634,84930,0.18216190099736618,1.8436062748191597,24,nan,X1;X0Y1;Y0Y1
57,5.8,0.004489316113812366,86990,0.18215234955413948,1.843175913353662,24,nan,X1;X0Y1;Y0Y1
58,5.9,0.004489276327864976,89050,0.18217703601577298,1.843617392469028,24,nan,X1;X0Y1;Y0Y1
59,6.0,0.004489237314766956,91110,0.18216339561308592,1.8434404517646132,24,nan,X1;X0Y1;Y0Y1
