step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.26084224833145553,2060,1.5285940144343926,6.273062106681192,8,nan,X1
1,0.2,0.23639799907975337,4120,1.439934231773878,5.454060815945016,8,nan,X1
2,0.3,0.21238890680465736,6180,1.3219648387661345,4.133761228093479,8,nan,X1
3,0.4,0.20824218004916317,8240,1.292651413605587,3.9402365300217013,8,nan,X1
4,0.5,0.20679101456470064,10300,1.2811926784655177,3.7907960755994323,8,nan,X1
5,0.6,0.2060691352814501,12360,1.2705821615123696,3.756556458013095,8,nan,X1
6,0.7,0.2056571993881723,14420,1.262251007149763,3.7562183893190304,8,nan,X1
7,0.8,0.20548726155444033,16480,1.256372064591041,3.762067537970192,8,nan,X1
8,0.9,0.20547916758750923,17280,1.2558467936290225,3.7649228718447403,8,nan,X1
9,1.0,0.20545254018083767,18690,1.254203926869703,3.7724315812661953,8,nan,X1
10,1.1,0.2054505619471205,19310,1.2540371325863253,3.7737755034222618,8,nan,X1
11,1.2,0.2054374146689106,19950,1.2521757899567998,3.7835914048647488,8,nan,X1
12,1.3,0.20543086952654596,20780,1.2518851489758585,3.7864935800558963,8,nan,X1
13,1.4,0.20543005446970705,21390,1.251847967434872,3.7867450398011004,8,nan,X1
14,1.5,0.20542831146916457,22240,1.2518175599933838,3.7866535002126724,8,nan,X1
15,1.6,0.20542820654084423,22870,1.251794878591692,3.786889511864617,8,nan,X1
16,1.7,0.20542792822782543,23480,1.2517661804027367,3.7865974166177936,8,nan,X1
17,1.8,0.205427760018363,24090,1.2516783236454219,3.7874756179481186,8,nan,X1
18,1.9,0.20542501270300997,24780,1.2514212700729812,3.7894535790545048,8,nan,X1
19,2.0,0.2054248756641778,25410,1.2513513829031766,3.790404756974127,8,nan,X1
20,2.1,0.2054240222852711,27110,1.251245147406258,3.7908405074717284,16,nan,X1;Y0Y1
21,2.2,0.20542375958449374,28590,1.2512788945010052,3.790108004951735,16,nan,X1;Y0Y1
22,2.3,0.205423723918864,29880,1.2512700303790854,3.7902278977276254,16,nan,X1;Y0Y1
23,2.4,0.2054228776112428,31110,1.2510323696421501,3.791877171743283,16,nan,X1;Y0Y1
24,2.5,0.20542256141376258,32360,1.2509442562592474,3.7927753778872897,16,nan,X1;Y0Y1
25,2.6,0.2054219002672216,33570,1.2510874189191887,3.7914060051713343,16,nan,X1;Y0Y1
26,2.7,0.20542109321130392,34770,1.250867692949457,3.792926749121259,16,nan,X1;Y0Y1
27,2.8,0.20542100374786426,35940,1.2508737917585586,3.7922685301916026,16,nan,X1;Y0Y1
28,2.9,0.20542034985760485,37180,1.2506272240030438,3.7947587312852415,16,nan,X1;Y0Y1
29,3.0,0.20541996984384947,38480,1.250665138660864,3.7942031740638487,16,nan,X1;Y0Y1
30,3.1,0.20541918406845103,39780,1.2504570992843302,3.795766614848478,16,nan,X1;Y0Y1
31,3.2,0.2054187412965958,40940,1.2503828293087433,3.7959396331659008,16,nan,X1;Y0Y1
32,3.3,0.20541867749413825,42140,1.2503799929916912,3.7958269099860744,16,nan,X1;Y0Y1
33,3.4,0.20541836943933045,43350,1.250213672105725,3.7969905227545153,16,nan,X1;Y0Y1
34,3.5,0.2054181660650902,44590,1.250122003964807,3.7971506765561536,16,nan,X1;Y0Y1
35,3.6,0.2054179899456242,45860,1.2500413156146009,3.7979671903317676,16,nan,X1;Y0Y1
36,3.7,0.20541794604494587,47090,1.2500168282758395,3.7986642967436293,16,nan,X1;Y0Y1
37,3.8,0.20541791912311025,48290,1.250053637175576,3.798215268573247,16,nan,X1;Y0Y1
38,3.9,0.20541790599089127,49560,1.25005476292629,3.798051502613894,16,nan,X1;Y0Y1
39,4.0,0.20541747197744897,50840,1.249961938432109,3.7984155248180254,16,nan,X1;Y0Y1
40,4.1,0.20541743354601055,53170,1.2499571207512523,3.798595038194563,24,nan,X1;Y0Y1;Z1
41,4.2,0.2054167687753491,55140,1.249852139655566,3.7990937157778215,24,nan,X1;Y0Y1;Z1
42,4.3,0.20541657772938857,57200,1.2498300197256347,3.799420569077404,24,nan,X1;Y0Y1;Z1
43,4.4,0.20541621830873344,59260,1.2496427572615532,3.800466802680456,24,nan,X1;Y0Y1;Z1
44,4.5,0.20541597573290427,61320,1.2494748542240988,3.801108942631258,24,nan,X1;Y0Y1;Z1
45,4.6,0.20541587050844062,63380,1.2494955103797423,3.8011384588710997,24,nan,X1;Y0Y1;Z1
46,4.7,0.2054158281053795,65340,1.2495162100310078,3.801199343981358,24,nan,X1;Y0Y1;Z1
47,4.8,0.20541559829681913,67330,1.2494047334440836,3.802190854646605,24,nan,X1;Y0Y1;Z1
48,4.9,0.20541538940145543,69390,1.2496149960006047,3.800316938102764,24,nan,X1;Y0Y1;Z1
49,5.0,0.20541523795499483,71450,1.249677979851883,3.8002602656301363,24,nan,X1;Y0Y1;Z1
50,5.1,0.2054152153065477,73450,1.2496831203769825,3.799938693223214,24,nan,X1;Y0Y1;Z1
51,5.2,0.20541507739348222,75350,1.2497456488946272,3.7998199691024213,24,nan,X1;Y0Y1;Z1
52,5.3,0.2054147885832654,77410,1.249817883331797,3.799385204636876,24,nan,X1;Y0Y1;Z1
53,5.4,0.2054145165427807,79210,1.249690618640512,3.8000546627786833,24,nan,X1;Y0Y1;Z1
54,5.5,0.20541410388257153,81270,1.249779176304511,3.7995418334759097,24,nan,X1;Y0Y1;Z1
55,5.6,0.2054139827915018,83320,1.2498280859086544,3.7991960606663384,24,nan,X1;Y0Y1;Z1
56,5.7,0.2054135253904156,85300,1.2496419155766874,3.8003954895223955,24,nan,X1;Y0Y1;Z1
57,5.8,0.20541333329636066,87360,1.2496414285806818,3.8002367310836083,24,nan,X1;Y0Y1;Z1
58,5.9,0.2054133138895797,89330,1.2496564737343816,3.8000922277542486,24,nan,X1;Y0Y1;Z1
59,6.0,0.2054132431297529,91330,1.2496492133811274,3.8003989425510087,24,nan,X1;Y0Y1;Z1
