step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.7128734951521077,230,2.840097620549762,19.555111988507115,8,70.85793433658057,X1
1,0.2,0.6694953863083228,460,2.7311870248163252,19.584727593749598,8,0.8443607625298927,X1
2,0.3,0.6664860246116547,690,2.7045413770860267,19.6379377985999,8,0.20971141005889596,X1
3,0.4,0.6659978559283323,920,2.6948086713726034,19.657238688336598,8,0.08126040270524017,X1
4,0.5,0.6658424810584092,1150,2.6908569188082145,19.663817528002305,8,0.042640313520156854,X1
5,0.6,0.6657393841446053,1380,2.689144846832418,19.665649773353884,8,0.03278162963467173,X1
6,0.7,0.6656449522400127,1610,2.688340794772288,19.665583018690374,8,0.030847262967631003,X1
7,0.8,0.6655519141219004,1840,2.6879114378148774,19.664732773453057,8,0.030518828575177476,X1
8,0.9,0.6654590236087251,2070,2.687637736274197,19.663553114937585,8,0.030476985683323875,X1
9,1.0,0.6653660643199009,2300,2.6874288161411415,19.662231809132184,8,0.030485174369681307,X1
10,1.1,0.6652729979965147,2530,2.687246828299119,19.660846982843974,8,0.030502159798442688,X1
11,1.2,0.6651798173197598,2760,2.6870759871801346,19.659431212458884,8,0.030520773734871925,X1
12,1.3,0.6650865203491471,2990,2.6869097070834425,19.657998083358343,8,0.030539770199886393,X1
13,1.4,0.6649931060767992,3220,2.6867452406053682,19.65655325379434,8,0.03055893289702559,X1
14,1.5,0.6648995736545744,3450,2.68658144162945,19.65509907243852,8,0.030578224447928765,X1
15,1.6,0.6648059222597501,3680,2.6864178318617706,19.653636506445544,8,0.03059763855901888,X1
16,1.7,0.6647121510717074,3910,2.6862542113929404,19.65216594647353,8,0.03061717433085372,X1
17,1.8,0.6646182592679102,4140,2.6860904963096615,19.6506875426507,8,0.03063683178906877,X1
18,1.9,0.6645242460232552,4370,2.685926650998662,19.649201344756506,8,0.03065661110046891,X1
19,2.0,0.6644301105098424,4600,2.6857626599519735,19.64770736065102,8,0.03067651248854102,X1
20,2.1,1.0215808651127445,5480,3.1255821740777514,20.03033756811946,16,2.0708034757413762,X1;Y0Z2
21,2.2,0.8252361734679875,5870,3.10508123090378,16.966781322879243,16,38.32511742148117,X1;Y0Z2
22,2.3,0.7955029425597099,6260,2.9919026610969848,16.639864372444396,16,0.6081069464770855,X1;Y0Z2
23,2.4,0.783020696913294,6650,2.9245875237440524,16.575764288745543,16,0.38143075620806,X1;Y0Z2
