step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,2.9925628163798743,230,8.558835327310497,35.932519574684065,8,11.994642007568533,X1
1,0.2,2.6663707287489324,460,8.108974753765956,33.92153502215104,8,1.8370321801737632,X1
2,0.3,2.414493075599771,690,7.755343071175464,32.577207988281316,8,1.6631792890154715,X1
3,0.4,2.1766534225710514,920,7.1900895363588,30.269574293168525,8,1.3732617690327242,X1
4,0.5,1.8343896377839632,1150,6.096504623416594,25.22814513703555,8,2.1337730507361132,X1
5,0.6,1.7200928400343884,1380,5.78724777504201,22.915101830320587,8,1.1599825873127914,X1
6,0.7,1.6493897608684536,1610,5.586926917949452,21.89536519646472,8,0.8682784328624764,X1
7,0.8,1.589537945910266,1840,5.428728293501951,21.30650750887232,8,0.7816666418271653,X1
8,0.9,1.5319973537584803,2070,5.291984100288676,20.69953904779678,8,0.7589487555087745,X1
9,1.0,1.473661382414448,2300,5.163586097484843,19.981543189998792,8,0.7613318797626468,X1
10,1.1,1.41368939581593,2530,5.033802002722848,19.155582551501926,8,0.7720715117439864,X1
11,1.2,1.3527390017318386,2760,4.895342934495548,18.329515010432427,8,0.7804732615707118,X1
12,1.3,1.2923263036628558,2990,4.74444463967186,17.451349287980825,8,0.7797247504693853,X1
13,1.4,1.2338408032665813,3220,4.582451459014158,16.53346211279305,8,0.7688732051857988,X1
14,1.5,1.195581672087527,3450,4.537144417577787,14.775214242247781,8,0.7527426434799688,X1
15,1.6,1.2162307818856959,3680,4.489859258363483,17.238767209327005,8,0.6671356177387437,X1
16,1.7,1.2056790411359186,3910,4.587648862438306,13.862888811178946,8,0.8118509485881278,X1
17,1.8,1.2743275787956048,4140,4.550454235073943,18.832793315718252,8,1.5461085739859088,X1
18,1.9,1.1966419260097463,4370,4.436982548607737,17.08008999195033,8,0.8616568068249496,X1
19,2.0,1.3292921121810533,4600,4.943028578303119,12.365569328164328,8,1.220667148427274,X1
20,2.1,1.167694444777868,5480,4.8673562220955295,15.519268019499167,16,8.573461648476188,X1;X1Z2
21,2.2,1.974868865000833,5870,5.2256506077728035,28.62809040196315,16,5.881012115779188,X1;X1Z2
22,2.3,0.8669826614182141,6260,3.7589276113473797,17.032495172427424,16,3.304129829015121,X1;X1Z2
23,2.4,1.0567902375159228,6650,4.3632497202071105,12.179027375257135,16,2.821171437599723,X1;X1Z2
24,2.5,1.5000213165827365,7040,4.965723941390358,25.466704035586503,16,4.838202154836801,X1;X1Z2
25,2.6,0.6703068247642671,7430,2.989760701239845,9.888451065448878,16,3.3846805278279963,X1;X1Z2
26,2.7,0.6451524926357635,7820,2.8878066211317392,10.016633236739645,16,0.5924544195324368,X1;X1Z2
27,2.8,0.6368451031588348,8210,2.789325346999158,8.64868385629389,16,0.45563178423533013,X1;X1Z2
28,2.9,0.6384583833850158,8600,2.824381205152985,10.368080435383831,16,0.5308995045741481,X1;X1Z2
29,3.0,0.6528669179278219,8990,2.8945759076842874,8.67814823384169,16,0.7838239540658448,X1;X1Z2
30,3.1,0.6996000875256568,9380,3.166054587511828,13.019849389820198,16,1.2757195209696968,X1;X1Z2
31,3.2,0.7773421375478912,9770,3.5211658829025714,10.335889986096706,16,1.9052786901783312,X1;X1Z2
32,3.3,0.9488372248151922,10160,3.9502588824041616,18.300216260417173,16,2.8854593860483755,X1;X1Z2
33,3.4,0.8832030355656666,10550,3.874975256402543,11.653105560451303,16,3.283157803842582,X1;X1Z2
34,3.5,1.014431765834718,10940,4.146691475914768,19.43095375804516,16,3.5606967457306706,X1;X1Z2
35,3.6,0.7874488755101398,11330,3.5498125388464272,10.80519577778131,16,3.3291239305810167,X1;X1Z2
36,3.7,0.845062124522443,11720,3.7433445418800138,16.810540891608586,16,2.8221741235744098,X1;X1Z2
37,3.8,0.7563339057327357,12110,3.444618819168623,10.710124599089363,16,2.747498510117655,X1;X1Z2
38,3.9,0.7835428485107879,12500,3.5563292057275886,15.551943352153728,16,2.5452906122512435,X1;X1Z2
39,4.0,0.7219001241294145,12890,3.3174198651171958,10.553785458969163,16,2.431555341361333,X1;X1Z2
40,4.1,0.7317053459103147,13930,3.3737919625470147,14.325364376285586,24,2.228607503280066,X1;X1Z2;Z2
41,4.2,0.6909786638807917,14480,3.191087066877761,10.356493436910794,24,2.101288987584599,X1;X1Z2;Z2
42,4.3,0.692093463541733,15030,3.210914846544378,13.21735869305393,24,1.9160235483311705,X1;X1Z2;Z2
43,4.4,0.6654131478077387,15580,3.0737448449164515,10.166585911761228,24,1.7872060648237444,X1;X1Z2;Z2
44,4.5,0.6628242281962512,16130,3.0695592293072154,12.262281962765746,24,1.622468232221817,X1;X1Z2;Z2
45,4.6,0.645404963316706,16680,2.9691240109816825,10.014519417985198,24,1.4995826489046344,X1;X1Z2;Z2
46,4.7,0.6417125415840128,17230,2.9488766116692653,11.44952094484621,24,1.3556127488149365,X1;X1Z2;Z2
47,4.8,0.6303762253624258,17780,2.878438102732043,9.907361915403794,24,1.242934573477453,X1;X1Z2;Z2
48,4.9,0.6267972587547765,18330,2.8470639489533385,10.780270053702532,24,1.1188975360608802,X1;X1Z2;Z2
49,5.0,0.6194494978933934,18880,2.815185051277446,9.845984206803308,24,1.0185020592721388,X1;X1Z2;Z2
50,5.1,0.6164562993755607,19430,2.7619983420852496,10.343117529045648,24,0.9129809033267139,X1;X1Z2;Z2
51,5.2,0.6117175550900315,19980,2.784719846943403,9.805783576664686,24,0.8255047091699576,X1;X1Z2;Z2
52,5.3,0.6094111756066446,20530,2.691537259512604,10.0583805191778,24,0.7367890226891217,X1;X1Z2;Z2
53,5.4,0.606372350599323,21080,2.7604382432369987,9.770665912806253,24,0.6619782070439229,X1;X1Z2;Z2
54,5.5,0.604688588205026,21630,2.6637959959525137,9.886277456919936,24,0.5882452974595928,X1;X1Z2;Z2
55,5.6,0.6027508949635222,22180,2.7412756514817174,9.741801168488577,24,0.5253189417778796,X1;X1Z2;Z2
56,5.7,0.6015681189391014,22730,2.6478171480270354,9.77015801158845,24,0.4647427201984372,X1;X1Z2;Z2
57,5.8,0.6003381208517136,23280,2.726308853710232,9.731702880238386,24,0.41262541233485084,X1;X1Z2;Z2
58,5.9,0.599529834836211,23830,2.6425137867108086,9.694110321260274,24,0.36344090675973284,X1;X1Z2;Z2
