step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,1.5691861702788417,230,3.6361273813349215,18.423340768901426,8,167.94035938103747,X1
1,0.2,0.31204235931399915,460,1.8510278942725615,10.181555589170973,8,72.26753949252173,X1
2,0.3,0.2398638048116183,690,1.5864934369799686,8.502967440661338,8,4.080405130412593,X1
3,0.4,0.19227344658066908,920,1.368351084192266,7.347481154191367,8,3.2006982924586596,X1
4,0.5,0.16283151229089765,1150,1.2462085863878356,6.930380986785228,8,2.4074364755241833,X1
5,0.6,0.14415391211974307,1380,1.1538804934261053,6.854480279148426,8,1.7926291682053237,X1
6,0.7,0.13139227177526594,1610,1.1084655358233775,6.928114432234756,8,1.3540831397027013,X1
7,0.8,0.12197165505545755,1840,1.0688079526935101,7.077994331987689,8,1.0531661135422905,X1
8,0.9,0.11460379253988309,2070,1.0340460701346714,7.2424802000192985,8,0.8490223742391343,X1
9,1.0,0.10862348338100698,2300,1.0034535020471416,7.387393222434539,8,0.7093363479830495,X1
10,1.1,0.12423628744149853,2530,1.0876208390104671,7.323024213935403,8,0.6113474498005422,X1
11,1.2,0.11282353871349039,2760,1.0235042869800368,7.368332724840239,8,3.953314492271955,X1
12,1.3,0.10541546007454022,2990,0.9928133004836361,7.512277233978631,8,2.9864978916620544,X1
13,1.4,0.10016012897952134,3220,0.9669088961495079,7.688931618569353,8,2.270238267834593,X1
14,1.5,0.09616159477345634,3450,0.9447515984132018,7.840211007473694,8,1.7473705441631886,X1
15,1.6,0.09296283375473871,3680,0.9255895870694089,7.968952742877549,8,1.3664611995968707,X1
16,1.7,0.09031346335774927,3910,0.9088611611081826,8.078239907476338,8,1.0876253057608358,X1
17,1.8,0.08806551758398828,4140,0.8941361962100637,8.171811061295813,8,0.8816981402577984,X1
18,1.9,0.08612515730299672,4370,0.8830475551140844,8.253136886644437,8,0.7278899196946801,X1
19,2.0,0.08442912662836258,4600,0.876649136685965,8.331679190898154,8,0.6115281390221126,X1
20,2.1,0.08279947455433623,5480,0.8695528209216354,8.420817130361279,16,0.522276492419717,X1;Z1
21,2.2,0.08134844419624647,5870,0.8624831144613485,8.499125669404679,16,0.44552023912248273,X1;Z1
22,2.3,0.08004782881335278,6260,0.8555226565759574,8.568243140415202,16,0.3867992517845196,X1;Z1
23,2.4,0.07887617633961674,6650,0.8487277014708982,8.62952174766137,16,0.34098401435144843,X1;Z1
24,2.5,0.07781640811814076,7040,0.8421340468989993,8.684064256062364,16,0.30455520055125257,X1;Z1
25,2.6,0.07685455407933096,7430,0.8357632748831122,8.732782296146743,16,0.27504435348388023,X1;Z1
26,2.7,0.07597895343728531,7820,0.8296265697933976,8.776431721919966,16,0.2506992845090937,X1;Z1
27,2.8,0.07517972505183779,8210,0.8237276341400013,8.815642112076286,16,0.23026520951532717,X1;Z1
28,2.9,0.07444840162573114,8600,0.8180648929884018,8.850940963400546,16,0.21283502069205099,X1;Z1
29,3.0,0.07377766670381589,8990,0.8126331462956458,8.882773296839567,16,0.19774643060656874,X1;Z1
30,3.1,0.07316115841701383,9380,0.807424797547873,8.911517418223877,16,0.1845109137996004,X1;Z1
31,3.2,0.0725933181626234,9770,0.8024307601035863,8.93749752319755,16,0.17276428486300394,X1;Z1
32,3.3,0.07206927070084418,10160,0.7976411203166476,8.960993750733765,16,0.1622320702975301,X1;Z1
33,3.4,0.0715847270629547,10550,0.7930456188119781,8.982250198220028,16,0.15270505757009725,X1;Z1
34,3.5,0.09632406479617246,10940,0.963937373376727,8.613585773561798,16,0.1440218929804921,X1;Z1
35,3.6,0.6652632389870029,11330,2.645945969113854,15.218777065310737,16,2.2954273675194115,X1;Z1
36,3.7,0.5568300602773781,11720,2.4068258502642603,13.589694521118352,16,3.019748195787542,X1;Z1
37,3.8,0.451623958973293,12110,2.1434437291485557,12.033062775603348,16,4.586027349386448,X1;Z1
38,3.9,0.5097196781061385,12500,2.4638702969671136,13.73346264246552,16,5.335831018018567,X1;Z1
39,4.0,0.44566996863047875,12890,2.252074825305783,12.68550602731754,16,3.6972188528175747,X1;Z1
40,4.1,0.21013550925150823,13930,1.3984830479234938,16.195777884889985,24,5.765897576606219,X1;Z1;X1X2
41,4.2,0.14586799102867995,14480,1.1843599397671907,11.656709689492617,24,1.8257565433917622,X1;Z1;X1X2
42,4.3,0.13540917932899585,15030,1.1478539593149133,11.473904082580376,24,1.1776634673680237,X1;Z1;X1X2
43,4.4,0.1283120741483983,15580,1.10883155217135,12.173764403221263,24,1.015021804312944,X1;Z1;X1X2
44,4.5,0.12053411634579184,16130,1.054044753300101,12.048765183446594,24,1.7538167870690153,X1;Z1;X1X2
45,4.6,0.11317250007893839,16680,1.031847520820303,11.736217955163493,24,2.132303570812086,X1;Z1;X1X2
46,4.7,0.10913961714488071,17230,1.0128880320742895,11.496135032208297,24,0.5764863881591078,X1;Z1;X1X2
47,4.8,0.10600970656768913,17780,0.9967894246685982,11.294780078079071,24,0.476186437882338,X1;Z1;X1X2
48,4.9,0.10355969116187311,18330,0.9830799071459251,11.154365373382493,24,0.39824405333803276,X1;Z1;X1X2
49,5.0,0.10161906625450168,18880,0.9713675253994434,11.047846675126705,24,0.33763436592073953,X1;Z1;X1X2
50,5.1,0.10005957263271499,19430,0.9613278143946031,10.962634383335986,24,0.29033728904920364,X1;Z1;X1X2
51,5.2,0.35618148768535274,19980,1.8559253876112054,12.320389969236672,24,0.25318994030301484,X1;Z1;X1X2
52,5.3,0.12745386824861307,20530,1.16767391686869,7.555100246299011,24,9.330922478304135,X1;Z1;X1X2
53,5.4,0.11244962772864556,21080,1.111292191574535,7.473678121782012,24,0.9317458754452999,X1;Z1;X1X2
54,5.5,0.10460237588359109,21630,1.0774569095877293,7.88379938196082,24,0.7302258061726458,X1;Z1;X1X2
55,5.6,0.09938445722324814,22180,1.0421246009024743,7.998192592421353,24,0.969083501536165,X1;Z1;X1X2
56,5.7,0.16742907042563826,22730,1.3560873594058471,7.079684620440678,24,0.6687896323029462,X1;Z1;X1X2
57,5.8,0.14385736711858524,23280,1.2678385343528675,7.0549777511160245,24,9.155028112858853,X1;Z1;X1X2
58,5.9,0.1276848459460795,23830,1.1914308202879258,7.20245610336775,24,6.168460875024741,X1;Z1;X1X2
59,6.0,0.11663664440318362,24380,1.1257869328173866,7.419842836407648,24,4.148386374805441,X1;Z1;X1X2
