step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,20.462605528361415,230,14.224343819296507,68.7668828241874,8,246.4394118123794,X1
1,0.2,2.0515673183478107,460,3.812699846689808,19.43987336571574,8,20.820982774613377,X1
2,0.3,2.0068862005340335,690,3.7588945204389406,19.136466619034888,8,1.2136428790608496,X1
3,0.4,1.984534560954218,920,3.7320431010151927,18.961170108242435,8,0.771337915718689,X1
4,0.5,1.9741675334910174,1150,3.71977130908737,18.86149786156447,8,0.5228234575593554,X1
5,0.6,1.9694662353837327,1380,3.7143566723792665,18.799285630106272,8,0.36826943286112424,X1
6,0.7,1.967277182094005,1610,3.7119347253411017,18.754434411722407,8,0.2675432887694119,X1
7,0.8,1.9661644019055102,1840,3.710755703417513,18.718931329772143,8,0.20043746083159192,X1
8,0.9,1.9655332828927203,2070,3.7100996830697563,18.691532353509405,8,0.15499964501438468,X1
9,1.0,1.965154533383176,2300,3.7096949423454895,18.6723283260956,8,0.12329828958691895,X1
10,1.1,1.980554128008778,2530,3.735305599533129,18.742098043868687,8,0.10008827982858924,X1
11,1.2,1.9720248346945592,2760,3.722975082537539,18.70102870931808,8,0.1828590629028463,X1
12,1.3,1.9681967521208337,2990,3.717185575322033,18.681033939190197,8,0.12760355169046433,X1
13,1.4,1.9664498723949178,3220,3.714333724362523,18.670135097880227,8,0.09181428015609873,X1
14,1.5,1.9656332204929128,3450,3.712822501917345,18.66344088720011,8,0.06810563576449499,X1
15,1.6,1.9652357833503933,3680,3.7119380575965972,18.65885565135494,8,0.05211076656452474,X1
16,1.7,1.965029627261289,3910,3.7113590679369435,18.655439264650266,8,0.04113154615566827,X1
17,1.8,1.9649126588658727,4140,3.7109392125783227,18.652744215684663,8,0.033455431574142,X1
18,1.9,1.9648388353875779,4370,3.7106103976723217,18.650540026230626,8,0.027976726086386534,X1
19,2.0,1.964787136195992,4600,3.710339690415507,18.648696281160305,8,0.023973565154326422,X1
20,2.1,13.959151353770382,5480,11.64004955851194,63.57935643722479,16,25.224399316523343,X1;Y1
21,2.2,4.7708775445524925,5870,6.341039183488274,39.039216399301466,16,295.88503458411276,X1;Y1
22,2.3,2.3952462668965215,6260,4.485941723819897,29.435411457540923,16,25.314773572345885,X1;Y1
23,2.4,1.5119211247070956,6650,3.402177365920573,23.630139743828323,16,9.733041100898458,X1;Y1
24,2.5,1.1837330516101674,7040,2.861206063466343,20.634409273209226,16,4.828111813770352,X1;Y1
25,2.6,1.0218572420247858,7430,2.552771826104681,18.813642413376787,16,3.0513770829156432,X1;Y1
26,2.7,0.929471327204689,7820,2.3601785517791196,17.611096079624627,16,2.187607213257805,X1;Y1
27,2.8,0.8722482902626902,8210,2.2326206310658163,16.764843666814762,16,1.6846268307231993,X1;Y1
28,2.9,0.8349785029029442,8600,2.144609253169986,16.14638924603916,16,1.35779325256927,X1;Y1
29,3.0,0.8098903846345199,8990,2.0819933219604865,15.686038799470735,16,1.1303174868164916,X1;Y1
30,3.1,0.7926026169671749,9380,2.0363161554588096,15.33097218868441,16,0.9653927784033659,X1;Y1
31,3.2,0.7804653399265199,9770,2.002233452009378,15.050674616294446,16,0.8438229068724298,X1;Y1
32,3.3,0.7717872426092925,10160,1.97619810663751,14.824202119824673,16,0.7556044155751979,X1;Y1
33,3.4,0.7654266588819075,10550,1.955694101607968,14.638010599586725,16,0.6971070051712026,X1;Y1
34,3.5,0.7605067062877355,10940,1.938580960037243,14.471408406050044,16,0.6725499367979012,X1;Y1
35,3.6,4.170174320971568,11330,6.160175640470685,36.87612063621583,16,0.7069990913318911,X1;Y1
36,3.7,19.315069857682584,11720,13.713122513250491,71.4231536887088,16,34.3104279595801,X1;Y1
37,3.8,1.015255031026884,12110,2.3812293700886746,14.159092562103181,16,42.91070978887569,X1;Y1
38,3.9,0.9261958751342658,12500,2.2224134956092807,13.765352093204616,16,0.38047449359725966,X1;Y1
39,4.0,0.8718880374919558,12890,2.117621516109284,13.560457939871817,16,0.30271359254269065,X1;Y1
40,4.1,0.8367830566489762,13770,2.045603424705443,13.457193807709487,16,0.24745019651812,X1;Y1
