step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,2.456155780240052,230,7.081238026141104,30.746227505491646,8,9.275928635138703,X1
1,0.2,1.1934318031678435,460,3.118145776662711,19.73390052834343,8,27.005392316295396,X1
2,0.3,1.1694609255868482,690,3.085018840634214,19.496501217012778,8,1.1375101350998154,X1
3,0.4,0.984074660232787,920,2.8627874142478698,17.498630068994956,8,0.35888847894533316,X1
4,0.5,4.73210636037932,1150,9.677024870670047,42.200343866335736,8,0.2960318183411076,X1
5,0.6,3.400495800660326,1380,8.237407280104808,36.57263148340309,8,0.8403327023786616,X1
6,0.7,3.1675488347270853,1610,7.838385236561889,35.97670742204602,8,0.9103211611508323,X1
7,0.8,4.9785260439267365,1840,9.719015156676893,42.837867935618306,8,0.5254390113797972,X1
8,0.9,4.1172976929196645,2070,8.845431350577707,38.849718703720946,8,0.2678843204621389,X1
9,1.0,2.0673202442585414,2300,6.337843973455665,27.761984098918294,8,0.4265853039371986,X1
10,1.1,0.7916175527764769,2530,3.445067409779179,15.184181483449327,8,0.43497106648082623,X1
11,1.2,0.637015718618808,2760,2.693448264971429,11.994935412955662,8,0.1880640699160019,X1
12,1.3,0.5813084472041654,2990,2.3799958847855227,10.929498261310673,8,0.1128536116229991,X1
13,1.4,0.5505448864145847,3220,2.257278592147597,10.434113822985829,8,0.07919998540922922,X1
14,1.5,0.5294500500023835,3450,2.225747523002718,10.13047990883747,8,0.06113719360139314,X1
15,1.6,0.5133594964205934,3680,2.193830249481028,9.960235853733495,8,0.05034824354402743,X1
16,1.7,0.5005226594987355,3910,2.161801911966003,9.82026213245523,8,0.043282991031826014,X1
17,1.8,0.5086410263433004,4140,2.2279785619046444,10.234040118320781,8,0.03821502602820472,X1
18,1.9,0.49587841881960154,4370,2.1798442395569233,9.997275357310698,8,0.04281124307537997,X1
19,2.0,0.48633236979301697,4600,2.1595160385730416,9.839046131932774,8,0.033635970848688274,X1
20,2.1,0.4785308926272014,5480,2.1547154753904145,9.747504531343841,16,0.02726058607150435,X1;Z0Z1
21,2.2,0.5356165741843081,5870,2.3443837426656295,11.343038029786193,16,0.022185534746655872,X1;Z0Z1
22,2.3,0.5072179015817851,6260,2.2604107785100815,10.58996233171042,16,0.07943119728383326,X1;Z0Z1
23,2.4,0.49089610399794564,6650,2.219900142763744,10.2130647718408,16,0.059086800332898246,X1;Z0Z1
24,2.5,0.48054773211130586,7040,2.193398775606639,9.989401593310122,16,0.045570108417346246,X1;Z0Z1
25,2.6,0.48081297484996743,7430,2.2042375536065544,10.062580188494938,16,0.03608579009748508,X1;Z0Z1
26,2.7,0.6755437607947298,7820,2.9648093014385974,14.021591261351142,16,0.03053278681684373,X1;Z0Z1
27,2.8,0.5777893389549369,8210,2.5142523704518895,12.208847226332212,16,0.13883700787596026,X1;Z0Z1
28,2.9,0.5320251880008331,8600,2.354815529763005,11.085001041615778,16,0.09608823927476927,X1;Z0Z1
29,3.0,0.5072835404930462,8990,2.2810998456086624,10.511715684534046,16,0.06999142646856377,X1;Z0Z1
30,3.1,0.4921990116377456,9380,2.2415947411700397,10.161777055115303,16,0.0531767419437228,X1;Z0Z1
31,3.2,0.48218590843721376,9770,2.2147642625906516,9.961250885834334,16,0.041727826473382267,X1;Z0Z1
32,3.3,0.4751968404088074,10160,2.1963133771004024,9.830026408659151,16,0.033505489155317605,X1;Z0Z1
33,3.4,0.47045651976285774,10550,2.1846050838390494,9.773606051908708,16,0.02731623529005991,X1;Z0Z1
34,3.5,0.6483301611278215,10940,2.853067318672489,13.63479912779353,16,0.01817218144492841,X1;Z0Z1
35,3.6,0.5652299758076258,11330,2.4702088312144297,12.007424223011427,16,0.12285906038133411,X1;Z0Z1
36,3.7,0.5249487303117911,11720,2.3396202547991702,10.980918062921171,16,0.08641774071211544,X1;Z0Z1
37,3.8,0.5027153998912811,12110,2.281962052901973,10.46596520677388,16,0.06369181854836896,X1;Z0Z1
38,3.9,0.48900447130242053,12500,2.2443478959480974,10.142824949882906,16,0.04878363873605987,X1;Z0Z1
39,4.0,0.47987992508926125,12890,2.218256468340481,9.953935212563717,16,0.03844543582619605,X1;Z0Z1
