step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,3.2383108098776834,230,5.060409121502654,30.15698683216581,8,26.055265044494096,X1
1,0.2,1.7379474292819401,460,3.4506044946639145,21.47625881169292,8,6.358603675132377,X1
2,0.3,1.2351628647627966,690,2.9529259254659204,18.49644213907344,8,2.9960216127339376,X1
3,0.4,0.5463514209498868,920,2.0667326326630993,13.131219929668559,8,1.618790329560255,X1
4,0.5,0.17851959062490774,1150,1.2628299351352512,8.251882316188363,8,1.0656252934598112,X1
5,0.6,0.06869314413398818,1380,0.7629991958683287,5.416996955380032,8,0.5581680700584015,X1
6,0.7,0.03927787445091391,1610,0.5283317770551141,4.028966189329824,8,0.2704973855086476,X1
7,0.8,0.028688778723812074,1840,0.45549349653717314,3.4110175214889757,8,0.14012452197929706,X1
8,0.9,0.023830826224206094,2070,0.42227040299587515,3.0819005879441526,8,0.08005876709738756,X1
9,1.0,0.02140911252502756,2300,0.39924017238332427,2.876940670536724,8,0.049514953502922746,X1
10,1.1,0.020183833094918124,2530,0.3845296295096395,2.7494038232999785,8,0.03225385658761996,X1
11,1.2,0.019565019440207963,2760,0.37345566480468634,2.664060290413733,8,0.021655814810177566,X1
12,1.3,0.01925364505736651,2990,0.3653478051391771,2.6090438379459586,8,0.014784945543146905,X1
13,1.4,0.019097340361905902,3220,0.36268682303572514,2.5698062874067054,8,0.010185680183182829,X1
14,1.5,0.019018911339943326,3450,0.3612029063322437,2.5418762757128155,8,0.0070518443833413125,X1
15,1.6,0.018979474266088873,3680,0.3601180145701248,2.522034710382434,8,0.004895757394702654,X1
16,1.7,0.01895952381749487,3910,0.3593323246541716,2.5079652044454916,8,0.003404428250701731,X1
17,1.8,0.01894930272813482,4140,0.35876672724530734,2.4980052218668085,8,0.0023697464374985997,X1
18,1.9,0.018943939117761155,4370,0.3583611557925901,2.4909651274614224,8,0.0016505559670941055,X1
19,2.0,0.018941003396633987,4600,0.3580710496396178,2.4859960940716648,8,0.00115005732405228,X1
20,2.1,0.018939284847819968,5480,0.35786381261742456,2.4824939534582025,16,0.0008016380372810323,X1;X2Y3
21,2.2,0.018938180334562137,5870,0.3577158202964866,2.480029552666012,16,0.000558762778805884,X1;X2Y3
22,2.3,0.018937389335200755,6260,0.3576100615073871,2.4782985603428864,16,0.00038912175689390614,X1;X2Y3
23,2.4,0.0189367619641173,6650,0.3575343453943989,2.477085451032065,16,0.0002709730210346033,X1;X2Y3
24,2.5,0.018936223294895665,7040,0.35747996683906785,2.476237755854955,16,0.00018854597141038814,X1;X2Y3
25,2.6,0.01893573570158989,7430,0.35744072706188806,2.4756477092930287,16,0.0001310319546849632,X1;X2Y3
26,2.7,0.018935280124505655,7820,0.3574122213537217,2.4752391971377175,16,9.089988669722825e-05,X1;X2Y3
27,2.8,0.01893484675539987,8210,0.35739132508036964,2.474958493041315,16,6.28999766197496e-05,X1;X2Y3
28,2.9,0.018934430405603594,8600,0.35737582446817306,2.474767693081731,16,4.337139176411634e-05,X1;X2Y3
29,3.0,0.01893402820233275,8990,0.3573641526101563,2.4746400685682066,16,2.9761518479087417e-05,X1;X2Y3
30,3.1,0.018933638443696547,9380,0.3573552011868206,2.4745567790997947,16,2.0290695986991937e-05,X1;X2Y3
31,3.2,0.018933260027041,9770,0.3573481866290382,2.474504550232001,16,1.3720128253866231e-05,X1;X2Y3
32,3.3,0.01893289216414908,10160,0.3573425550726953,2.4744740333397663,16,9.19081105389234e-06,X1;X2Y3
33,3.4,0.018932534239374615,10550,0.3573379150200851,2.474458647417632,16,6.113488743366468e-06,X1;X2Y3
34,3.5,0.018932185735246736,10940,0.35733398964785773,2.474453762447108,16,4.093631472123576e-06,X1;X2Y3
35,3.6,0.018931846198348763,11330,0.35733058318224037,2.474456123351184,16,2.874280703770715e-06,X1;X2Y3
36,3.7,0.018931515218297144,11720,0.3573275570118233,2.474463443433726,16,2.2681247255631958e-06,X1;X2Y3
37,3.8,0.018931192417088384,12110,0.35732481286432066,2.47447411805566,16,2.070602939261802e-06,X1;X2Y3
38,3.9,0.018930877442822437,12500,0.35732228092977525,2.4744870226090314,16,2.0701121748691187e-06,X1;X2Y3
39,4.0,0.01893056996727735,12890,0.3573199115520137,2.4745013706837273,16,2.1313742181031977e-06,X1;X2Y3
40,4.1,0.018930269681543474,13930,0.3573176692336677,2.4745166135292087,24,1.7331990785390628e-05,X1;X2Y3;Z2Z3
41,4.2,0.018929976296611563,14480,0.35731552853434545,2.474532369489876,24,2.238897604775195e-06,X1;X2Y3;Z2Z3
42,4.3,0.018929689537395742,15030,0.35731347107893324,2.4745483745321457,24,2.266732846797342e-06,X1;X2Y3;Z2Z3
43,4.4,0.018929409146513233,15580,0.35731148351986186,2.4745644469678774,24,2.2780597947326474e-06,X1;X2Y3;Z2Z3
44,4.5,0.01892913487978258,16130,0.3573095560581779,2.474580462997001,24,2.2782381258333493e-06,X1;X2Y3;Z2Z3
45,4.6,0.018928866506797183,16680,0.35730768142201785,2.4745963393825474,24,2.2696989423304485e-06,X1;X2Y3;Z2Z3
46,4.7,0.01892860380820979,17230,0.35730585410316973,2.4746120210433675,24,2.2549101829948403e-06,X1;X2Y3;Z2Z3
47,4.8,0.01892834657743912,17780,0.3573040699465253,2.474627472958118,24,2.236912245040424e-06,X1;X2Y3;Z2Z3
48,4.9,0.018928094617819618,18330,0.3573023256176957,2.474642673478461,24,2.216573697043114e-06,X1;X2Y3;Z2Z3
49,5.0,0.018927847742651542,18880,0.3573006185202121,2.4746576107106617,24,2.1947052319782904e-06,X1;X2Y3;Z2Z3
50,5.1,0.018927605775115663,19430,0.3572989465161731,2.474672279226062,24,2.1719317735458787e-06,X1;X2Y3;Z2Z3
51,5.2,0.018927368546401348,19980,0.35729730780451846,2.4746866779812264,24,2.1495932693106554e-06,X1;X2Y3;Z2Z3
52,5.3,0.018927135896178324,20530,0.35729570086081497,2.474700809033244,24,2.12695481620139e-06,X1;X2Y3;Z2Z3
53,5.4,0.018926907671713865,21080,0.3572941243287571,2.4747146762555987,24,2.104972496320261e-06,X1;X2Y3;Z2Z3
54,5.5,0.018926683727299783,21630,0.35729257704850537,2.47472828507222,24,2.0835026922001743e-06,X1;X2Y3;Z2Z3
55,5.6,0.01892646392439064,22180,0.35729105793310323,2.474741641468988,24,2.0625886794212825e-06,X1;X2Y3;Z2Z3
56,5.7,0.018926248130369635,22730,0.357289565984062,2.4747547518444555,24,2.04186601860917e-06,X1;X2Y3;Z2Z3
57,5.8,0.01892603621895682,23280,0.3572881003164997,2.4747676229979025,24,4.066553140032815e-06,X1;X2Y3;Z2Z3
58,5.9,0.01892582806920503,23830,0.3572866600769231,2.4747802616703165,24,2.01119209734629e-06,X1;X2Y3;Z2Z3
59,6.0,0.018925623565350335,24380,0.3572852444828502,2.4747926746894375,24,1.992491441144253e-06,X1;X2Y3;Z2Z3
