step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,3.9567748216031804,230,6.015729214539898,20.145068886175913,8,82.72882527415656,X1
1,0.2,4.355283658319327,460,7.091600570102619,34.17972443892787,8,25.582669624647,X1
2,0.3,2.340246938388134,690,5.251502431552561,26.49810567266792,8,11.826817980293056,X1
3,0.4,2.198540639591421,920,5.09105078243047,25.711452401721658,8,8.34866696031682,X1
4,0.5,1.1248794102619444,1150,3.549261866535491,19.44092473153174,8,0.8735337612622667,X1
5,0.6,0.5829844251922953,1380,2.2694279765379597,14.321192667307223,8,0.6120066650912082,X1
6,0.7,0.3890214639207922,1610,1.557935487034925,10.691511852046501,8,0.31405906399647826,X1
7,0.8,0.3155086080444399,1840,1.2535063370802932,8.2115129729312,8,0.14806947865073203,X1
8,0.9,0.2828725762166095,2070,1.0770925943620107,6.601419861013112,8,0.07573391183939719,X1
9,1.0,0.26675893610831963,2300,1.0120850921790523,5.784242478169829,8,0.04352614794709553,X1
10,1.1,0.25832733360468735,2530,0.9894057549594827,5.3310440972399045,8,0.027480337450439606,X1
11,1.2,0.2537718328013495,2760,0.9745900378095489,5.165938926987169,8,0.01849039926636749,X1
12,1.3,0.2512636865912081,2990,0.9803245165549391,5.066917252867731,8,0.012961010362773834,X1
13,1.4,0.24986620362842246,3220,0.9997444543601737,5.012079901136778,8,0.009326663157377823,X1
14,1.5,0.24908128478791933,3450,1.0148111613568684,4.974522329969328,8,0.006827307780140252,X1
15,1.6,0.24863789265443187,3680,1.0261753424574045,4.951680764259915,8,0.00505514574111334,X1
16,1.7,0.24838633084073214,3910,1.0347527764412066,4.939123694899451,8,0.0037722402604426094,X1
17,1.8,0.24824308204959838,4140,1.041230903676639,4.931017691972972,8,0.002830184386837095,X1
18,1.9,0.24816121997974414,4370,1.0461260047341918,4.925117388315638,8,0.0021315331700930322,X1
19,2.0,0.248114243386497,4600,1.0498263080852321,4.920786272852541,8,0.0016097778088857925,X1
20,2.1,0.24810265509866372,5480,1.0506621769118392,4.920104568536422,16,0.0012564624551994795,X1;X0Y1
21,2.2,0.2480930765266053,5870,1.0515295038988155,4.9195670529779445,16,0.0010872125103858067,X1;X0Y1
22,2.3,0.2480781163600453,6260,1.0533232123748038,4.918652819339656,16,0.0009530025919570405,X1;X0Y1
23,2.4,0.24806805112198005,6650,1.0547753534714317,4.918114700931236,16,0.0008525117765009324,X1;X0Y1
24,2.5,0.2480611569882769,7040,1.055966460295084,4.917712189322357,16,0.0007193472906980113,X1;X0Y1
25,2.6,0.24805634339470442,7430,1.0569449937507602,4.917380544561845,16,0.0005947155907428138,X1;X0Y1
26,2.7,0.2480528989707183,7820,1.057747504590536,4.917101527725993,16,0.00048815713533299554,X1;X0Y1
27,2.8,0.2480503552856619,8210,1.0584041788606242,4.9168675470409005,16,0.00039974827985772576,X1;X0Y1
28,2.9,0.2480484027225549,8600,1.0589404525294184,4.916672828629852,16,0.0003271580434608287,X1;X0Y1
29,3.0,0.24804683624431687,8990,1.0593776969596587,4.916511830789344,16,0.00026776165826765624,X1;X0Y1
30,3.1,0.24804551989165086,9380,1.0597337319601656,4.916379284827512,16,0.00021920825179789154,X1;X0Y1
31,3.2,0.2480443633965985,9770,1.0600233128197458,4.916270416450141,16,0.00017952360694034223,X1;X0Y1
32,3.3,0.24804330673174582,10160,1.0602585927787165,4.916181066287537,16,0.0001470842630862857,X1;X0Y1
33,3.4,0.24804230988661544,10550,1.0604495446541193,4.916107705420627,16,0.0001205637587472697,X1;X0Y1
34,3.5,0.24804134610251244,10940,1.0606043310493407,4.916047390908373,16,9.888009415749884e-05,X1;X0Y1
35,3.6,0.24804039738533495,11330,1.06072962134216,4.91599769438426,16,8.11506130430207e-05,X1;X0Y1
36,3.7,0.24803945153604673,11720,1.0608308584696826,4.915956625124357,16,6.665499494025456e-05,X1;X0Y1
37,3.8,0.2480385001785189,12110,1.0609124808192054,4.915922557526075,16,5.4805151586759836e-05,X1;X0Y1
38,3.9,0.2480375374574024,12500,1.0609781055739003,4.9158941670060745,16,4.512083684516646e-05,X1;X0Y1
39,4.0,0.2480365591634694,12890,1.0610306793993072,4.915870375481769,16,3.7209828967743274e-05,X1;X0Y1
40,4.1,1.0492367134825393,13930,2.9806515378096776,19.576543940112327,24,2.845456896096398,X1;X0Y1;Y0
41,4.2,0.35705486136825654,14480,1.6247841628785393,9.386149175414502,24,18.820312842937273,X1;X0Y1;Y0
