step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,6.333028489930292,1820,7.549233920288378,25.081838399832005,8,nan,X1
1,0.2,8.289240678583928,3780,8.619977697537811,27.225457241530126,8,nan,X1
2,0.3,5.921724275982016,5040,7.681080951301325,24.314420532631946,8,nan,X1
3,0.4,7.931913142375383,6520,8.799427416830241,28.132348685390618,8,nan,X1
4,0.5,10.079159749750938,7780,9.86953488623623,32.06159266016856,8,nan,X1
5,0.6,11.849868878562226,9040,10.729038688799836,35.78773031097945,8,nan,X1
6,0.7,13.070160897884676,10360,11.269214346015447,38.20975399713179,8,nan,X1
7,0.8,13.77383024137882,11760,11.563022654854501,39.637992704749145,8,nan,X1
8,0.9,12.606444444676237,13200,11.099039168100655,37.66136004540352,8,nan,X1
9,1.0,13.550929056645394,14500,11.481902053691647,39.332840234446714,8,nan,X1
10,1.1,13.190847121340045,15940,11.106016776286877,37.53116709009382,8,nan,X1
11,1.2,13.769846655964312,17360,11.524067946253819,39.2917590671332,8,nan,X1
12,1.3,14.00033318139695,19020,11.693758231183715,40.144345801575184,8,nan,X1
13,1.4,13.581311208930915,20800,11.360485681576126,38.57802679473925,8,nan,X1
14,1.5,13.949364021901737,22180,11.653964669333707,39.93259901113538,8,nan,X1
15,1.6,13.819474194794171,23420,11.615178867618308,39.881624026126886,8,nan,X1
16,1.7,12.729545736855389,24760,11.192108980251152,38.277031638403514,8,nan,X1
17,1.8,10.090900685174208,26240,10.092577092364124,34.32961677640723,8,nan,X1
18,1.9,6.565009938563999,27640,8.32795798224566,27.913589536856296,8,nan,X1
19,2.0,8.552141535874751,28920,9.365297214994001,31.687831626369213,8,nan,X1
20,2.1,3.8373523150558553,31870,5.9993441758234525,25.103379596374605,16,nan,X1;Y0
21,2.2,4.743306675134568,34170,6.480193384726717,27.22616755477762,16,nan,X1;Y0
22,2.3,5.759251194443124,38230,7.03191384885155,29.026611432903763,16,nan,X1;Y0
23,2.4,6.729173083106013,40730,7.543654306846905,30.82323994872659,16,nan,X1;Y0
24,2.5,5.684642128726189,42970,6.821895477066593,29.6095576466706,16,nan,X1;Y0
25,2.6,4.330532162301523,46930,6.2689115687039365,26.724386933134255,16,nan,X1;Y0
26,2.7,4.989868270181084,50450,6.887877054304932,28.226990080404782,16,nan,X1;Y0
27,2.8,6.357254781134139,53190,7.62514575029341,30.518695612636428,16,nan,X1;Y0
28,2.9,5.024423037032955,55730,6.8953196751045205,28.651264056176384,16,nan,X1;Y0
29,3.0,6.4924210003092035,59630,7.769351201162367,30.75060156309724,16,nan,X1;Y0
30,3.1,4.496077841244863,62250,6.694722806712876,26.766395313576815,16,nan,X1;Y0
31,3.2,5.782815259849793,66310,7.534344327244574,28.772142039491712,16,nan,X1;Y0
32,3.3,7.192523556633053,70370,8.22844900925733,31.06300005972846,16,nan,X1;Y0
33,3.4,8.078444982036011,73070,8.707543385504408,32.17513926584456,16,nan,X1;Y0
34,3.5,9.022854798777178,76110,9.229051440415201,33.12599329768332,16,nan,X1;Y0
35,3.6,9.81297860584982,80110,9.702606706985842,33.93638926908692,16,nan,X1;Y0
36,3.7,11.253936445198388,83070,10.430105951415108,35.47294028799002,16,nan,X1;Y0
37,3.8,11.279017762821148,85550,10.592538003147473,35.1226206087859,16,nan,X1;Y0
38,3.9,12.37016394892887,89610,11.07628964975458,36.988558098359114,16,nan,X1;Y0
39,4.0,13.185613946549799,92290,11.454209098582554,38.290535611592,16,nan,X1;Y0
40,4.1,7.585598873335515,96840,7.76941995455131,24.367256179448237,24,nan,X1;Y0;X1
41,4.2,4.717659214328382,100360,6.099964854966633,19.955268854480863,24,nan,X1;Y0;X1
42,4.3,6.308071140486046,104420,6.9441758514269125,22.478299135284235,24,nan,X1;Y0;X1
43,4.4,3.5029748201483875,108480,5.256098874865842,18.166697803088354,24,nan,X1;Y0;X1
44,4.5,4.643204924466102,111960,5.991635449674947,20.0638469394479,24,nan,X1;Y0;X1
45,4.6,2.6371398718386705,115440,4.626485278220846,16.366411411731175,24,nan,X1;Y0;X1
46,4.7,2.9043195649258378,119260,4.825468168898095,16.8952539383587,24,nan,X1;Y0;X1
47,4.8,2.1624248980896237,123320,4.2776819020114045,15.532523094252475,24,nan,X1;Y0;X1
48,4.9,2.177101478287632,127380,4.392300800609628,15.764519591853174,24,nan,X1;Y0;X1
49,5.0,2.250828875249999,131440,4.396269021944482,15.956409664064985,24,nan,X1;Y0;X1
50,5.1,2.3569955492467014,135500,4.430041474383522,16.095098880177698,24,nan,X1;Y0;X1
51,5.2,2.347597646656514,139560,4.479618953114783,16.22901061678691,24,nan,X1;Y0;X1
52,5.3,2.412106482071885,143620,4.483685893301246,16.31006161361324,24,nan,X1;Y0;X1
53,5.4,2.443045952867664,147680,4.5123841408849374,16.425793835979544,24,nan,X1;Y0;X1
54,5.5,2.4591248594398443,151740,4.543106146045675,16.48061490837005,24,nan,X1;Y0;X1
55,5.6,2.508835315405837,155800,4.579576658878089,16.54008375856551,24,nan,X1;Y0;X1
56,5.7,2.519257194997434,159860,4.600851476212022,16.547268908740723,24,nan,X1;Y0;X1
57,5.8,2.529827593473254,163920,4.596186829819464,16.60857639921696,24,nan,X1;Y0;X1
58,5.9,2.5256774788689174,167980,4.675977605940821,16.638018077258057,24,nan,X1;Y0;X1
59,6.0,2.502462140525842,172040,4.681231286810948,16.637321532053075,24,nan,X1;Y0;X1
