step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,12.858493188552888,1440,11.068463568429978,63.25008882734627,8,nan,X1
1,0.2,14.432088446780696,2720,11.70122092084203,67.48144030273325,8,nan,X1
2,0.3,12.475254401271412,4020,11.014085060088684,60.80039000213489,8,nan,X1
3,0.4,11.889599692846277,5380,10.892822907731619,55.86147082988036,8,nan,X1
4,0.5,10.580996361777666,6680,10.295971963448407,50.9280030134453,8,nan,X1
5,0.6,10.569442246875786,8920,10.29063538219608,51.03379785133797,8,nan,X1
6,0.7,10.587010894180843,11220,10.29865032129922,51.18514886197434,8,nan,X1
7,0.8,10.423894282466625,12740,10.219672522730345,50.649678986749066,8,nan,X1
8,0.9,10.392064708231665,16380,10.20342116865216,50.671872398164446,8,nan,X1
9,1.0,10.369489188450649,18440,10.191932240177287,50.68731966848722,8,nan,X1
10,1.1,10.397148596214663,22500,10.207837334014798,50.77220833507686,8,nan,X1
11,1.2,10.38191722926063,24240,10.200927787998953,50.77277138442854,8,nan,X1
12,1.3,10.360744930602458,27540,10.190291371278374,50.75649337290655,8,nan,X1
13,1.4,10.352142787688596,31600,10.187517398670597,50.798260377166066,8,nan,X1
14,1.5,10.290661636885169,35660,10.154966116418148,50.698042331724636,8,nan,X1
15,1.6,10.2843025513762,38640,10.151744874795543,50.695098262356595,8,nan,X1
16,1.7,10.138091747814467,42700,10.054863232194691,50.41122549504068,8,nan,X1
17,1.8,10.691357973788618,44180,10.325873981674476,52.389297289863016,8,nan,X1
18,1.9,11.390796445712398,45680,10.638060546238039,54.07078395070222,8,nan,X1
19,2.0,12.739723212641703,48580,11.239545090178732,58.80780359610908,8,nan,X1
20,2.1,4.9237827558348295,53130,6.025884788397402,38.72849402772706,16,nan,X1;Y1
21,2.2,4.980997795555521,57190,6.154886515268787,38.596403740458044,16,nan,X1;Y1
22,2.3,5.3058052848115445,61130,6.303178311932527,40.164520241371164,16,nan,X1;Y1
23,2.4,6.220437411836323,64790,6.805315534467232,43.48405635027736,16,nan,X1;Y1
24,2.5,6.79876456260444,67490,7.050999562170524,45.532134779451184,16,nan,X1;Y1
25,2.6,7.699318481812204,70050,7.407086502577214,48.417422938842805,16,nan,X1;Y1
26,2.7,6.179105685400776,73450,6.892050754583003,42.67494898366522,16,nan,X1;Y1
27,2.8,6.945406273816009,77510,7.3082350963653715,45.11202151436397,16,nan,X1;Y1
28,2.9,5.787044256929245,79850,6.813710253472425,40.44037675729154,16,nan,X1;Y1
29,3.0,5.9763324174160255,83210,6.984438504286764,40.42953690012918,16,nan,X1;Y1
30,3.1,6.54387752185365,85490,7.303947385313228,42.250964601768864,16,nan,X1;Y1
31,3.2,6.329437123600064,89550,7.273366068765459,40.74993943079109,16,nan,X1;Y1
32,3.3,6.93088167705126,93610,7.5972339465417145,42.594867332085215,16,nan,X1;Y1
33,3.4,7.640971493927289,96730,7.942718072917615,44.70563692893931,16,nan,X1;Y1
34,3.5,8.568372108845743,100790,8.326881912620266,47.49650033994844,16,nan,X1;Y1
35,3.6,9.345571744975574,104850,8.584381120555966,49.653297749463015,16,nan,X1;Y1
36,3.7,8.897074722724875,108110,8.490323517777904,47.88653182333404,16,nan,X1;Y1
37,3.8,7.47823458884525,110390,7.969322421070083,42.37260255755606,16,nan,X1;Y1
38,3.9,8.057004475966652,112770,8.246139117783766,44.291094572901955,16,nan,X1;Y1
39,4.0,9.00491141342639,115930,8.632886397551806,47.232132441099395,16,nan,X1;Y1
40,4.1,12.405157854702624,120480,10.145140608266887,49.56254234468588,24,nan,X1;Y1;X1Z2
41,4.2,12.661887853269647,124540,10.158539811482848,50.70692880908703,24,nan,X1;Y1;X1Z2
42,4.3,13.309369445790656,128000,10.474276885475238,49.79716665869885,24,nan,X1;Y1;X1Z2
43,4.4,14.220638415105405,131460,10.842050727841114,50.18840634174627,24,nan,X1;Y1;X1Z2
44,4.5,13.554669946032313,134920,10.549282647601402,50.299016258854856,24,nan,X1;Y1;X1Z2
45,4.6,13.626641771968687,138980,10.605310301818951,49.73972310100625,24,nan,X1;Y1;X1Z2
46,4.7,14.37386927835721,142620,10.947927778436462,49.48028154065533,24,nan,X1;Y1;X1Z2
47,4.8,15.062443259563722,146000,11.250229943162065,49.70920082335069,24,nan,X1;Y1;X1Z2
48,4.9,15.534870379945444,150060,11.46833016622723,49.65170900850013,24,nan,X1;Y1;X1Z2
49,5.0,15.587535907444465,154120,11.435357911483859,49.90587612007288,24,nan,X1;Y1;X1Z2
50,5.1,15.670306798816465,158180,11.457870497665274,49.59086107677455,24,nan,X1;Y1;X1Z2
51,5.2,16.142714594068302,162240,11.67108362445155,50.07021456127034,24,nan,X1;Y1;X1Z2
52,5.3,16.29129224519834,166300,11.74876364401714,49.76093712157223,24,nan,X1;Y1;X1Z2
53,5.4,16.53954183855681,170360,11.78507195912827,50.4088263221816,24,nan,X1;Y1;X1Z2
54,5.5,16.098895314351232,174420,11.632721744232645,49.201984163431405,24,nan,X1;Y1;X1Z2
55,5.6,15.073736975434345,178480,11.297643499779811,46.2955463756496,24,nan,X1;Y1;X1Z2
56,5.7,15.921014473399936,182540,11.617887099176762,48.37069347408325,24,nan,X1;Y1;X1Z2
57,5.8,16.338547424751802,186600,11.753348858547009,50.110128167018615,24,nan,X1;Y1;X1Z2
58,5.9,15.830850088632205,190380,11.631893508527078,48.068833209622674,24,nan,X1;Y1;X1Z2
59,6.0,16.52840053503314,193580,11.8291166222064,49.69576630930458,24,nan,X1;Y1;X1Z2
