step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,1.468243399013012,2080,3.667829435069479,17.71761838603684,8,nan,X1
1,0.2,1.2320543709289624,3740,3.4133455740235146,16.1104016044413,8,nan,X1
2,0.3,1.4900214232952995,5160,3.7253838245144637,17.42124184375449,8,nan,X1
3,0.4,1.713635169467914,6480,3.9116399678067446,18.96969674798832,8,nan,X1
4,0.5,1.7313311178569712,8040,3.8971236201612434,18.96423136592222,8,nan,X1
5,0.6,1.7879527818609182,9360,3.9598178382704674,19.462467571951777,8,nan,X1
6,0.7,1.7412762232245125,10920,3.920514241484471,18.876351114099343,8,nan,X1
7,0.8,1.7525568611972089,12620,3.856922346923396,19.55456225696419,8,nan,X1
8,0.9,1.7098551262184043,14240,3.8320365800445515,18.92242575815832,8,nan,X1
9,1.0,1.7496005651928266,15980,3.858705625949388,19.458960271651843,8,nan,X1
10,1.1,1.6657284291163057,17720,3.7256984149748016,18.82161906111263,8,nan,X1
11,1.2,1.7264057532081314,19240,3.8016061647916897,19.37973444479991,8,nan,X1
12,1.3,1.7481740066529103,20740,3.8090907809923356,19.716975669625345,8,nan,X1
13,1.4,1.711739035608153,21980,3.77626920173389,19.287041190180823,8,nan,X1
14,1.5,1.7493676341144586,23900,3.81873599380713,19.68714934508634,8,nan,X1
15,1.6,1.6972955793104976,25320,3.745728951095428,19.213940297512362,8,nan,X1
16,1.7,1.7440623420665429,26820,3.8088686537596232,19.646389955029395,8,nan,X1
17,1.8,1.682725778220217,28180,3.7225155006844526,19.087037472022722,8,nan,X1
18,1.9,1.7378037572051657,29720,3.802659174329847,19.554074948770182,8,nan,X1
19,2.0,1.663944122002477,31580,3.694927896231861,18.904159975644077,8,nan,X1
20,2.1,0.3241024766396235,36130,2.222235323461391,12.534149252985126,16,nan,X1;Y0
21,2.2,0.28091333362543863,40190,1.9193400882388656,12.24608349701683,16,nan,X1;Y0
22,2.3,0.3614634738316488,43010,2.280592324746365,12.43075527564258,16,nan,X1;Y0
23,2.4,0.328263199864513,46230,2.0771285438431657,12.362200389413642,16,nan,X1;Y0
24,2.5,0.3732775363898414,49530,2.1088697697729955,12.955410620575789,16,nan,X1;Y0
25,2.6,0.46147792674178156,52790,2.3834216094854925,14.229122458811833,16,nan,X1;Y0
26,2.7,0.5247884829088149,56850,2.5201151488485483,14.47985149887809,16,nan,X1;Y0
27,2.8,0.6251577687102275,59510,2.5991779801543933,13.212746877119494,16,nan,X1;Y0
28,2.9,0.8242638843405771,62630,3.174234359457547,13.149898979134234,16,nan,X1;Y0
29,3.0,1.017928991117654,66090,3.3081613323107253,14.12963683524641,16,nan,X1;Y0
30,3.1,1.0703878527146409,70150,3.1801748293816305,14.73152509499379,16,nan,X1;Y0
31,3.2,1.0190162030046241,72910,3.5744508118522993,14.426816974603378,16,nan,X1;Y0
32,3.3,1.127657257640554,76970,3.2754331379271386,15.04983274993628,16,nan,X1;Y0
33,3.4,1.0760709259265597,79790,3.768479214038189,15.400277631814772,16,nan,X1;Y0
34,3.5,1.1736280712727676,83850,3.3796624165065436,15.45825268418394,16,nan,X1;Y0
35,3.6,1.3467183755392294,87910,3.456017010618867,16.945957770831647,16,nan,X1;Y0
36,3.7,1.3767625425269796,91870,3.641194835914816,17.197987501458606,16,nan,X1;Y0
37,3.8,1.1783179517794973,95930,3.803280838579398,16.743829600131914,16,nan,X1;Y0
38,3.9,1.2670206991664443,98810,3.4936744609864583,16.698247281974172,16,nan,X1;Y0
39,4.0,1.210973170504609,102870,4.0732897403978505,18.281344905871432,16,nan,X1;Y0
40,4.1,1.2241469010596862,107420,4.677019505537766,20.73579235926077,24,nan,X1;Y0;X0
41,4.2,1.2400995117476346,111180,4.777021091217018,21.208797308639276,24,nan,X1;Y0;X0
42,4.3,1.1003592384932892,115240,4.392439412106372,19.537907814254933,24,nan,X1;Y0;X0
43,4.4,1.0292340891727152,119300,4.177736301202059,18.64705671172409,24,nan,X1;Y0;X0
44,4.5,1.1892292387443502,123360,4.6405089442546235,20.63319686189669,24,nan,X1;Y0;X0
45,4.6,1.1279506383080289,127420,4.479835767897934,19.861057889845334,24,nan,X1;Y0;X0
46,4.7,1.0377851656143706,131480,4.1999119124652475,18.635020316623972,24,nan,X1;Y0;X0
47,4.8,0.9347061030484676,135540,3.7541653117517084,16.757523370554395,24,nan,X1;Y0;X0
48,4.9,0.9138632872045569,139600,3.701158607507552,16.56608855156598,24,nan,X1;Y0;X0
49,5.0,1.017601407283855,143660,4.087839983981584,18.505564797377446,24,nan,X1;Y0;X0
50,5.1,0.8839957534210543,147720,3.473111830854415,16.34131663124894,24,nan,X1;Y0;X0
51,5.2,0.8196203933369074,151780,3.0028612201532527,15.108056999607056,24,nan,X1;Y0;X0
52,5.3,0.8207679045647734,155840,2.8942845719637877,14.744220271560295,24,nan,X1;Y0;X0
53,5.4,0.8160708761597517,159900,2.7939582173592767,14.851288303436935,24,nan,X1;Y0;X0
54,5.5,1.062141917813001,163960,3.157428150136491,15.91985167025569,24,nan,X1;Y0;X0
55,5.6,1.2117618907532894,168020,3.371926744410406,16.642544276649787,24,nan,X1;Y0;X0
56,5.7,1.3362239753019505,172080,3.4930355868058127,17.178211643453732,24,nan,X1;Y0;X0
57,5.8,1.1323007796405753,176140,3.3303404068156017,15.934075494687011,24,nan,X1;Y0;X0
58,5.9,1.2994292714052715,180200,3.4449311848768867,16.776590254366116,24,nan,X1;Y0;X0
59,6.0,1.0875279729864262,184260,3.400919138472385,15.50488078371143,24,nan,X1;Y0;X0
