step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,2.3446740481632373,1300,3.939798008496314,24.730148694358007,8,nan,X1
1,0.2,2.641771007074617,3260,4.328899117156446,25.968172465144644,8,nan,X1
2,0.3,2.4458406162424677,5300,4.308602710199172,26.133719472103916,8,nan,X1
3,0.4,2.8676642214641466,6620,4.683657237495057,28.258607703664783,8,nan,X1
4,0.5,2.3379593326977943,8360,4.254913090250777,25.765199072685242,8,nan,X1
5,0.6,1.3518169790907928,11100,3.3238351434019133,20.23744717212114,8,nan,X1
6,0.7,2.0448412327527543,12420,4.0475660501632404,24.41846958413553,8,nan,X1
7,0.8,2.62576346332363,13920,4.547874452175123,27.34477556724034,8,nan,X1
8,0.9,2.939031795311185,15960,4.778780335662753,28.691064055923135,8,nan,X1
9,1.0,2.535731207682737,17540,4.475656201913484,26.867649845488877,8,nan,X1
10,1.1,2.90711056634891,18880,4.766109307448482,28.59615241472655,8,nan,X1
11,1.2,2.412450711467984,20640,4.40257623110235,26.41508970043591,8,nan,X1
12,1.3,2.850494232492386,22240,4.744906624528271,28.455212740753343,8,nan,X1
13,1.4,2.243430083885408,23700,4.277452701189395,25.667623545774983,8,nan,X1
14,1.5,2.755138198293703,25580,4.686290421893808,28.100586966503744,8,nan,X1
15,1.6,2.811774869744952,27240,4.551388138177453,27.467951369114807,8,nan,X1
16,1.7,2.8793079614312664,29280,4.751717510827837,28.530752152707315,8,nan,X1
17,1.8,2.9755373719175973,30560,4.848535763763537,29.05908993916915,8,nan,X1
18,1.9,2.7199838973705925,32020,4.6560304818936515,27.907018953806848,8,nan,X1
19,2.0,2.961256891815468,33600,4.826205698358552,28.946575675198527,8,nan,X1
20,2.1,1.3287392995769332,36490,2.709100935728591,18.056838712478452,16,nan,X1;X1Z2
21,2.2,0.3789858390746337,40110,1.441585885375691,9.849174722755013,16,nan,X1;X1Z2
22,2.3,0.03314174810398081,42750,0.4341947900756251,3.8523486297651455,16,nan,X1;X1Z2
23,2.4,0.0378754938006021,46810,0.4663681794011126,4.079575070466795,16,nan,X1;X1Z2
