step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,3.8236194873327345,1340,4.934586714758192,32.43153462792282,8,nan,X1
1,0.2,3.989376511042518,3660,5.192932130479113,33.302321096203656,8,nan,X1
2,0.3,4.157860935921781,5700,5.515360215845224,31.95203546339642,8,nan,X1
3,0.4,4.301993612001303,7540,5.749664829649027,31.957015554823492,8,nan,X1
4,0.5,4.332833260978914,8960,5.781985620670383,31.031701163012848,8,nan,X1
5,0.6,3.872181684034354,10400,5.422507973159587,30.16418565925059,8,nan,X1
6,0.7,2.548358002165718,11900,4.252522711011094,24.91271992117195,8,nan,X1
7,0.8,1.2005031047469437,13480,2.6319530985790136,16.492180006880776,8,nan,X1
8,0.9,1.6597593321885278,14700,3.24265955024195,18.336750013995267,8,nan,X1
9,1.0,0.847293967478314,16140,2.2792809584576963,13.34256794528175,8,nan,X1
10,1.1,0.9336703354952618,17440,2.276743443854354,13.365478865091035,8,nan,X1
11,1.2,1.1808313024694124,18700,2.5828368067870406,14.348980934802626,8,nan,X1
12,1.3,0.6928520650738512,20040,2.2957887723685833,11.889352026578914,8,nan,X1
13,1.4,0.7776608600511691,21480,2.240127627299118,12.265155430853214,8,nan,X1
14,1.5,0.8597229552533387,23360,2.1872322667287865,12.508115850205906,8,nan,X1
15,1.6,1.0130275650469476,24540,2.3773987434354287,13.110220678612867,8,nan,X1
16,1.7,1.3683684143263004,26160,2.854710221762149,15.174363426082012,8,nan,X1
17,1.8,2.029059898358484,27700,3.6654186835616605,19.148116689234755,8,nan,X1
18,1.9,2.9330214505546035,29900,4.5729618602798805,23.855296541084083,8,nan,X1
19,2.0,3.7708965447423966,31060,5.269957262469708,27.581227856731264,8,nan,X1
20,2.1,3.185454042975697,34050,4.632953892593655,29.478039068557194,16,nan,X1;X1Z2
21,2.2,3.5765387740282013,38110,4.704186007703918,30.781863733893523,16,nan,X1;X1Z2
22,2.3,3.5421939312995554,40390,4.764561441231004,30.88298012194768,16,nan,X1;X1Z2
23,2.4,3.2000973376000275,42810,4.573104988777255,30.697036600700685,16,nan,X1;X1Z2
24,2.5,2.731385106817817,45310,4.055758749953473,28.33643353570937,16,nan,X1;X1Z2
