step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.2628169404762053,2060,2000,1.6253382444228897,19.71124186254353,16,nan,X1;X1
1,0.2,0.21555891714566472,4120,4000,1.4643044582346814,20.160421804077636,16,nan,X1;X1
2,0.3,0.15137114135270896,6180,6000,1.2157190459587823,23.383761477694705,16,nan,X1;X1
3,0.4,0.14929509136445818,8240,8000,1.2014399709147001,23.392906511592326,16,nan,X1;X1
4,0.5,0.14707430236382954,10300,10000,1.1880903244782468,23.397628581744534,16,nan,X1;X1
5,0.6,0.1419643783108036,12360,12000,1.1426444871385009,23.35173866995523,16,nan,X1;X1
6,0.7,0.13983886707883225,14420,14000,1.1245677832052088,23.300670180992007,16,nan,X1;X1
7,0.8,0.1366980018073372,16480,16000,1.095286186719747,23.209170542406824,16,nan,X1;X1
8,0.9,0.1358833560245024,18540,18000,1.0841194075729137,23.20404584224212,16,nan,X1;X1
9,1.0,0.133115652482486,20600,20000,1.0508150916925816,23.121878096821064,16,nan,X1;X1
10,1.1,0.1322037409077324,22660,22000,1.0364334436122573,23.107686600445387,16,nan,X1;X1
11,1.2,0.13157681958886985,24720,24000,1.0301010938693702,23.0661719085329,16,nan,X1;X1
12,1.3,0.13099390585259088,26780,26000,1.0269868212401734,23.04683966660111,16,nan,X1;X1
13,1.4,0.13047029186969186,28840,28000,1.0200849858073384,23.05712169672615,16,nan,X1;X1
14,1.5,0.13023980696034435,30050,29150,1.0181544099462978,23.047947851693692,16,nan,X1;X1
15,1.6,0.1298610391436133,32110,31150,1.018481929736655,23.02688635580626,16,nan,X1;X1
16,1.7,0.1295749205910397,34170,33150,1.0154614514732478,23.0199797017891,16,nan,X1;X1
17,1.8,0.12948864912564007,35280,34200,1.015557933252602,23.009036300934238,16,nan,X1;X1
18,1.9,0.1288948383317532,37340,36200,1.0119971525059785,23.019732266669635,16,nan,X1;X1
19,2.0,0.12833850755817636,38460,37260,1.0078054704623618,22.96326914827793,16,nan,X1;X1
20,2.1,0.1274675573747621,41010,39750,0.9974697076438539,22.993529251125004,24,nan,X1;Z2Z3;X1
21,2.2,0.12722804506130234,43070,41750,1.0030658335501665,22.95279266798786,24,nan,X1;Z2Z3;X1
22,2.3,0.12695525881352457,45130,43750,1.0004823587675884,22.960283197604813,24,nan,X1;Z2Z3;X1
23,2.4,0.12667916681296254,47190,45750,0.9980312655348678,22.935919026221548,24,nan,X1;Z2Z3;X1
24,2.5,0.12638493619298097,49250,47750,1.0007241756635188,22.934511862179754,24,nan,X1;Z2Z3;X1
25,2.6,0.1261588932656063,51310,49750,0.9974555325450183,22.9091789670015,24,nan,X1;Z2Z3;X1
26,2.7,0.1251366927473213,53370,51750,0.9797251781653687,22.882093333687287,24,nan,X1;Z2Z3;X1
27,2.8,0.12462417847068617,55430,53750,0.9860755363407079,22.80354794484394,24,nan,X1;Z2Z3;X1
28,2.9,0.12431601040351191,57490,55750,0.988038060773916,22.8126054410875,24,nan,X1;Z2Z3;X1
29,3.0,0.1240528502188551,59550,57750,0.9895487567403252,22.824460502724154,24,nan,X1;Z2Z3;X1
30,3.1,0.12393915202471627,61610,59750,0.983327573980158,22.826347484650693,24,nan,X1;Z2Z3;X1
31,3.2,0.12337174006751475,63670,61750,0.9813113685176345,22.837102762443934,24,nan,X1;Z2Z3;X1
32,3.3,0.12326545585270662,65730,63750,0.981307335822921,22.82584828018609,24,nan,X1;Z2Z3;X1
33,3.4,0.12283840027949816,67790,65750,0.9802293279394109,22.884344859529392,24,nan,X1;Z2Z3;X1
34,3.5,0.1223603885544464,69850,67750,0.9771628698734767,22.878372672062643,24,nan,X1;Z2Z3;X1
35,3.6,0.12222317276152828,71680,69520,0.9717324723620008,22.85519968597106,24,nan,X1;Z2Z3;X1
36,3.7,0.12184845533037528,73740,71520,0.9754957920514462,22.910908077022068,24,nan,X1;Z2Z3;X1
37,3.8,0.1214629283743114,75800,73520,0.9732270704089128,22.89748361387821,24,nan,X1;Z2Z3;X1
38,3.9,0.12121696442143025,77860,75520,0.973759033508664,22.865414290759023,24,nan,X1;Z2Z3;X1
39,4.0,0.120794445164305,79920,77520,0.970924166622514,22.816261605394722,24,nan,X1;Z2Z3;X1
40,4.1,0.12057733870203266,82470,80010,0.96941751518853,22.841740533005463,32,nan,X1;Z2Z3;Z2Z3;X1
41,4.2,0.1201116352174208,84530,82010,0.9703081226931825,22.85731185043206,32,nan,X1;Z2Z3;Z2Z3;X1
42,4.3,0.1197105272851423,86590,84010,0.9727145314305471,22.848226781931004,32,nan,X1;Z2Z3;Z2Z3;X1
43,4.4,0.11929111259431134,88650,86010,0.9680429539274307,22.870435315942682,32,nan,X1;Z2Z3;Z2Z3;X1
44,4.5,0.11891246276148582,90710,88010,0.9689207929438766,22.866072837471485,32,nan,X1;Z2Z3;Z2Z3;X1
45,4.6,0.11820079509629468,92770,90010,0.9603763271064986,22.885387627758448,32,nan,X1;Z2Z3;Z2Z3;X1
46,4.7,0.11773878791448983,94830,92010,0.9587700252548051,22.877461432561763,32,nan,X1;Z2Z3;Z2Z3;X1
47,4.8,0.11736622229638163,96890,94010,0.958008142095764,22.878321208479928,32,nan,X1;Z2Z3;Z2Z3;X1
48,4.9,0.11684243029119952,98950,96010,0.9654835654056916,22.8590658485059,32,nan,X1;Z2Z3;Z2Z3;X1
49,5.0,0.11678293030592418,101010,98010,0.962178952390242,22.863610460079403,32,nan,X1;Z2Z3;Z2Z3;X1
50,5.1,0.11674928968777558,103070,100010,0.9552369024259763,22.868204286470778,32,nan,X1;Z2Z3;Z2Z3;X1
51,5.2,0.1167090889524177,105130,102010,0.9564084743956702,22.874369901477785,32,nan,X1;Z2Z3;Z2Z3;X1
52,5.3,0.1166744498269615,107190,104010,0.957189538894947,22.87314548574614,32,nan,X1;Z2Z3;Z2Z3;X1
53,5.4,0.1166465956656028,109250,106010,0.9557472112860033,22.868121483130665,32,nan,X1;Z2Z3;Z2Z3;X1
54,5.5,0.11658190705568568,111310,108010,0.951803593387913,22.860587643925445,32,nan,X1;Z2Z3;Z2Z3;X1
55,5.6,0.11655799958398444,113370,110010,0.9529465936613787,22.865759204304716,32,nan,X1;Z2Z3;Z2Z3;X1
