step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,1.5908879865429841,2060,2000,4.159119752766158,21.672682789092264,8,nan,Y1
1,0.2,0.6556913074419549,4120,4000,2.651235314815599,23.518978902295956,8,nan,Y1
2,0.3,0.3927328035091337,6180,6000,1.8742384773386513,23.36793075727181,8,nan,Y1
3,0.4,0.3278119402130173,8240,8000,1.7203042840726581,23.286475989709636,8,nan,Y1
4,0.5,0.29617570592813497,10300,10000,1.621354501892451,23.04254245774537,8,nan,Y1
5,0.6,0.2839866126350407,12360,12000,1.5798887401124597,23.047631054893778,8,nan,Y1
6,0.7,0.27627852898624655,14420,14000,1.5596109939446567,22.992628865822414,8,nan,Y1
7,0.8,0.26168199925827496,16480,16000,1.539321887040952,22.950410476198694,8,nan,Y1
8,0.9,0.2568503225610322,18540,18000,1.5463951974684194,22.96917387768713,8,nan,Y1
9,1.0,0.24831638125518085,20600,20000,1.5084964744370886,22.833115936620004,8,nan,Y1
10,1.1,0.2460964661991317,22660,22000,1.5106160528072796,22.834709605411348,8,nan,Y1
11,1.2,0.24379874735147145,24720,24000,1.5098688269615599,22.844269281463312,8,nan,Y1
12,1.3,0.24262500612346677,26780,26000,1.4982435841993857,22.80399754804755,8,nan,Y1
13,1.4,0.2406945015902055,28840,28000,1.4938899594652066,22.77904766880478,8,nan,Y1
14,1.5,0.23961166741398723,30900,30000,1.484552773905928,22.750505059613054,8,nan,Y1
15,1.6,0.2373112988626424,32960,32000,1.487103250843722,22.71854591379207,8,nan,Y1
16,1.7,0.23620750531300147,35020,34000,1.4902990225543475,22.700652047523864,8,nan,Y1
17,1.8,0.23528617050849746,37080,36000,1.4940540289858437,22.6909756337814,8,nan,Y1
18,1.9,0.23477514617033027,39140,38000,1.4966333608522422,22.690979923785743,8,nan,Y1
19,2.0,0.23435041212168592,41200,40000,1.498170701417039,22.68659146231529,8,nan,Y1
20,2.1,0.23417691506770943,43750,42490,1.4991772655592581,22.683207907326388,16,nan,Y1;X2Y3
21,2.2,0.2336145120545586,45810,44490,1.4999125237186335,22.660189771442905,16,nan,Y1;X2Y3
22,2.3,0.23345234031878415,47870,46490,1.5000338605084214,22.64978297269633,16,nan,Y1;X2Y3
23,2.4,0.23318048105823563,49930,48490,1.5004323712193752,22.632553169138113,16,nan,Y1;X2Y3
24,2.5,0.23291180435423608,51990,50490,1.5001321070983993,22.61843314043849,16,nan,Y1;X2Y3
25,2.6,0.2328433338365099,54050,52490,1.500361246965522,22.622314645675065,16,nan,Y1;X2Y3
26,2.7,0.23276356177117052,56110,54490,1.5001075499676548,22.627013333648513,16,nan,Y1;X2Y3
27,2.8,0.23267193259764252,58170,56490,1.4996553356103755,22.620855764485025,16,nan,Y1;X2Y3
28,2.9,0.23262686186241668,60230,58490,1.4994709169991645,22.62418770529485,16,nan,Y1;X2Y3
29,3.0,0.23259372318370344,62290,60490,1.499535206500281,22.625318422665835,16,nan,Y1;X2Y3
30,3.1,0.23253548851615063,64350,62490,1.4990324719467205,22.61903352558179,16,nan,Y1;X2Y3
31,3.2,0.23243474285302065,66410,64490,1.4986751170903163,22.62495823017825,16,nan,Y1;X2Y3
32,3.3,0.23238988856323523,68470,66490,1.4981805777444663,22.629288079309905,16,nan,Y1;X2Y3
33,3.4,0.23233076972368882,70530,68490,1.498099098047557,22.618258222313653,16,nan,Y1;X2Y3
34,3.5,0.23230585252967842,72590,70490,1.4981016400864253,22.62871506560208,16,nan,Y1;X2Y3
35,3.6,0.2322777233906602,74650,72490,1.497855159469194,22.62283168237448,16,nan,Y1;X2Y3
36,3.7,0.23221780821564936,76710,74490,1.497099021730114,22.615264910508113,16,nan,Y1;X2Y3
37,3.8,0.2321673614820401,78770,76490,1.4978180681335502,22.610815104648793,16,nan,Y1;X2Y3
38,3.9,0.2321434304092468,80830,78490,1.4974987909399622,22.60863875874242,16,nan,Y1;X2Y3
39,4.0,0.23212683301835488,82890,80490,1.4972669990150151,22.607216955786868,16,nan,Y1;X2Y3
40,4.1,0.23209133520902514,85440,82980,1.4978823435629207,22.602424849322958,24,nan,Y1;X2Y3;X2X3
41,4.2,0.23205354024163122,87500,84980,1.4970867155019763,22.602306215196446,24,nan,Y1;X2Y3;X2X3
42,4.3,0.23203773910717085,89560,86980,1.4965866744321215,22.5996934797986,24,nan,Y1;X2Y3;X2X3
43,4.4,0.23201944069550773,91620,88980,1.496502704574461,22.599831194194994,24,nan,Y1;X2Y3;X2X3
44,4.5,0.2319940816941703,93680,90980,1.4970841861671498,22.606124082001703,24,nan,Y1;X2Y3;X2X3
45,4.6,0.23195141552198753,95740,92980,1.4962346733059497,22.602192441986787,24,nan,Y1;X2Y3;X2X3
46,4.7,0.2319254655606584,97800,94980,1.4964881668218544,22.6043477410102,24,nan,Y1;X2Y3;X2X3
47,4.8,0.23191444751618973,99860,96980,1.4962837427067406,22.6062924702737,24,nan,Y1;X2Y3;X2X3
48,4.9,0.23188466228709015,101920,98980,1.4962405613869574,22.60330165643405,24,nan,Y1;X2Y3;X2X3
49,5.0,0.2318598431951106,103980,100980,1.495522616147861,22.60382368993107,24,nan,Y1;X2Y3;X2X3
50,5.1,0.23181855226803694,106040,102980,1.4960780028103375,22.615161585543127,24,nan,Y1;X2Y3;X2X3
51,5.2,0.23181687998454714,108100,104980,1.4957741898329042,22.612476989208258,24,nan,Y1;X2Y3;X2X3
52,5.3,0.2317700192275262,110160,106980,1.49532386696697,22.607294618761173,24,nan,Y1;X2Y3;X2X3
53,5.4,0.2317514338341,112220,108980,1.495470483464061,22.604220043205384,24,nan,Y1;X2Y3;X2X3
54,5.5,0.2317359419321491,114280,110980,1.495818830741778,22.60591734307225,24,nan,Y1;X2Y3;X2X3
55,5.6,0.23169770879125706,116340,112980,1.495026551279988,22.603120169947555,24,nan,Y1;X2Y3;X2X3
56,5.7,0.23169175695428948,118400,114980,1.4952934342101976,22.603937317765862,24,nan,Y1;X2Y3;X2X3
57,5.8,0.2316893170866947,120460,116980,1.4952167506376044,22.604143593856005,24,nan,Y1;X2Y3;X2X3
58,5.9,0.23167717339425653,122520,118980,1.495221279404375,22.602355314748042,24,nan,Y1;X2Y3;X2X3
59,6.0,0.23166546992554404,124580,120980,1.4945885136138801,22.59740712551613,24,nan,Y1;X2Y3;X2X3
