step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,10.696508319972219,700,640,9.745540578192085,46.391488081120876,8,nan,Z1
1,0.2,10.696508319972217,1440,1320,9.745540578192085,46.391488081120876,8,nan,Z1
2,0.3,10.696508319972217,2190,2010,9.745540578192085,46.391488081120876,8,nan,Z1
3,0.4,10.696508319972217,2940,2700,9.745540578192085,46.391488081120876,8,nan,Z1
4,0.5,10.696508319972217,3690,3390,9.745540578192085,46.391488081120876,8,nan,Z1
5,0.6,10.696508319972217,4440,4080,9.745540578192085,46.391488081120876,8,nan,Z1
6,0.7,10.696508319972217,5190,4770,9.745540578192085,46.391488081120876,8,nan,Z1
7,0.8,10.696508319972217,5940,5460,9.745540578192085,46.391488081120876,8,nan,Z1
8,0.9,10.696508319972217,6690,6150,9.745540578192085,46.391488081120876,8,nan,Z1
9,1.0,10.696508319972217,7440,6840,9.745540578192085,46.391488081120876,8,nan,Z1
10,1.1,10.696508319972217,8190,7530,9.745540578192085,46.391488081120876,8,nan,Z1
11,1.2,10.696508319972217,8940,8220,9.745540578192085,46.391488081120876,8,nan,Z1
12,1.3,10.696508319972217,9690,8910,9.745540578192085,46.391488081120876,8,nan,Z1
13,1.4,10.696508319972217,10440,9600,9.745540578192085,46.391488081120876,8,nan,Z1
14,1.5,10.696508319972217,11190,10290,9.745540578192085,46.391488081120876,8,nan,Z1
15,1.6,10.696508319972217,11940,10980,9.745540578192085,46.391488081120876,8,nan,Z1
16,1.7,10.696508319972217,12690,11670,9.745540578192085,46.391488081120876,8,nan,Z1
17,1.8,10.696508319972217,13440,12360,9.745540578192085,46.391488081120876,8,nan,Z1
18,1.9,10.696508319972217,14190,13050,9.745540578192085,46.391488081120876,8,nan,Z1
19,2.0,10.696508319972217,14940,13740,9.745540578192085,46.391488081120876,8,nan,Z1
20,2.1,0.8733566132764241,17490,16230,2.7942356327063984,19.324985928710912,16,nan,Z1;Y1
