step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.29116734416143014,2060,2000,1.9841471753511135,16.992459992451124,8,nan,X1
1,0.2,0.2887140243936816,4120,4000,1.9740843733592621,17.08102373942968,8,nan,X1
2,0.3,0.2884221801640478,6180,6000,1.974390012491435,17.081241223220314,8,nan,X1
3,0.4,0.28646142434497857,8240,8000,1.9550383098238964,17.173297310241406,8,nan,X1
4,0.5,0.2854831186181404,10300,10000,1.9458322022076195,17.211878871380886,8,nan,X1
5,0.6,0.28461940299511707,12360,12000,1.9353021794447107,17.24972248179482,8,nan,X1
6,0.7,0.28389944753073865,14420,14000,1.9264163881039262,17.2714738915932,8,nan,X1
7,0.8,0.2832103228100032,16480,16000,1.9248373073397111,17.28255439566877,8,nan,X1
8,0.9,0.28246287140232357,18540,18000,1.915856115179332,17.301271762048277,8,nan,X1
9,1.0,0.2817674347075442,20600,20000,1.9071586835811296,17.32017236656524,8,nan,X1
10,1.1,0.2811478113054304,22660,22000,1.9033675275987467,17.321918020051704,8,nan,X1
11,1.2,0.2804128480373859,24720,24000,1.8964684685298032,17.324731143524772,8,nan,X1
12,1.3,0.279805014227699,26780,26000,1.8917255186719748,17.33124783391969,8,nan,X1
13,1.4,0.2792827248552227,28840,28000,1.8856923468436582,17.348252929009227,8,nan,X1
14,1.5,0.278743750382978,30900,30000,1.8860052474182392,17.364454037378685,8,nan,X1
15,1.6,0.2781951071504969,32960,32000,1.8862837385617077,17.370185853001246,8,nan,X1
16,1.7,0.277922537552927,35020,34000,1.885607375039793,17.34636259906243,8,nan,X1
17,1.8,0.2774173603368716,37080,36000,1.88100233307492,17.336260873795776,8,nan,X1
18,1.9,0.2773014478562553,39140,38000,1.8772516816987777,17.340331123249246,8,nan,X1
19,2.0,0.27727521688410955,39980,38780,1.8775562256263334,17.333343719895982,8,nan,X1
20,2.1,0.18724382458543967,43370,42110,1.544218579287368,8.409264428220293,16,nan,X1;X0
21,2.2,0.1828339233998823,45430,44110,1.5475189345025093,8.994463424973492,16,nan,X1;X0
22,2.3,0.18149310195327117,47490,46110,1.5469136890305089,9.25446200009233,16,nan,X1;X0
23,2.4,0.180026752678645,49550,48110,1.5427454760198382,9.46597683735138,16,nan,X1;X0
24,2.5,0.17910919222554228,51610,50110,1.5409998507547604,9.599843585229653,16,nan,X1;X0
25,2.6,0.17857038377467574,53670,52110,1.5384428255984326,9.64597577197946,16,nan,X1;X0
26,2.7,0.17753410097769126,55730,54110,1.5312592162885275,9.691793707770316,16,nan,X1;X0
27,2.8,0.17692397774520743,57790,56110,1.5284739184970868,9.816282563386697,16,nan,X1;X0
28,2.9,0.17651913052692772,59850,58110,1.527654078535856,9.924330678980295,16,nan,X1;X0
29,3.0,0.17589189487504364,61910,60110,1.5245179619950777,10.028264311297345,16,nan,X1;X0
30,3.1,0.1751615788736982,63970,62110,1.5215993017775538,10.184630263957636,16,nan,X1;X0
31,3.2,0.17493583400423718,66030,64110,1.5209548098383494,10.25775318637042,16,nan,X1;X0
32,3.3,0.17474093716577407,68090,66110,1.5210029517056176,10.316536960456709,16,nan,X1;X0
33,3.4,0.17451854949052784,70150,68110,1.519640118098469,10.358735236711828,16,nan,X1;X0
34,3.5,0.17432926933427495,72210,70110,1.5189380585550722,10.39232787614979,16,nan,X1;X0
35,3.6,0.17421480448228654,74270,72110,1.5180456890524245,10.405225827934593,16,nan,X1;X0
36,3.7,0.17395978866921002,76330,74110,1.5164100045665458,10.48565209471081,16,nan,X1;X0
37,3.8,0.17384104960324703,78390,76110,1.5165793986766185,10.518864484766008,16,nan,X1;X0
38,3.9,0.17363638448829788,80450,78110,1.5163289433188911,10.573975900089222,16,nan,X1;X0
39,4.0,0.17349750721659962,82510,80110,1.5149703983677538,10.5930946064005,16,nan,X1;X0
40,4.1,0.20471074647943163,85900,83440,1.628363431281354,8.72214750817731,24,nan,X1;X0;X0
41,4.2,0.18951891709853788,87960,85440,1.54518836832028,8.403100337715633,24,nan,X1;X0;X0
42,4.3,0.1873562397756562,90020,87440,1.5312058126000603,8.206078057996837,24,nan,X1;X0;X0
43,4.4,0.18562192862202415,92080,89440,1.5088513890812225,8.107934510259078,24,nan,X1;X0;X0
44,4.5,0.18282441912722516,94140,91440,1.4748636520152596,7.940235017460199,24,nan,X1;X0;X0
45,4.6,0.17877637412671454,96200,93440,1.4524402370265421,7.804099308051003,24,nan,X1;X0;X0
46,4.7,0.177713727157603,98260,95440,1.451231155708951,7.638711997971533,24,nan,X1;X0;X0
47,4.8,0.1769349539192314,100320,97440,1.4516403429301987,7.567089056131625,24,nan,X1;X0;X0
48,4.9,0.1763798473469771,102380,99440,1.4522138400235103,7.474807546903928,24,nan,X1;X0;X0
49,5.0,0.17599150551461984,104440,101440,1.4503375573392265,7.464485773080407,24,nan,X1;X0;X0
50,5.1,0.17564646401620035,106500,103440,1.4479919826114025,7.463559405572149,24,nan,X1;X0;X0
51,5.2,0.17537030798593853,108560,105440,1.4483293904834884,7.425785324479212,24,nan,X1;X0;X0
52,5.3,0.17509479648374843,110620,107440,1.4473475369152775,7.411106165321238,24,nan,X1;X0;X0
53,5.4,0.17483047556772363,112680,109440,1.4468781342751047,7.396200546598777,24,nan,X1;X0;X0
54,5.5,0.17459073670317288,114740,111440,1.4452089058198117,7.396343470872908,24,nan,X1;X0;X0
