step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.7463343861474676,680,620,3.5027623046336736,9.834281291018728,8,nan,X1
1,0.2,0.28577181908551913,1760,1640,2.114089673103167,8.026473300052542,8,nan,X1
2,0.3,0.265049901934226,2400,2220,2.0097298401008965,8.011316997553871,8,nan,X1
3,0.4,0.2623891481846444,3250,3010,1.9963224676160376,8.014670214539526,8,nan,X1
4,0.5,0.25543174870547325,3930,3630,1.9510071595434837,7.994691717791718,8,nan,X1
5,0.6,0.25414118861211377,4570,4210,1.9501681552929118,8.006944805369084,8,nan,X1
6,0.7,0.24711207633677046,5240,4820,1.9191839290997266,8.007255894834755,8,nan,X1
7,0.8,0.2467821582788655,5860,5380,1.9137807497014223,8.004356509009233,8,nan,X1
8,0.9,0.23479446222637174,6580,6040,1.8615272187807488,8.037905158682547,8,nan,X1
9,1.0,0.23444360175349183,7200,6600,1.8529264122324356,8.04999688362216,8,nan,X1
10,1.1,0.23430446507981148,7930,7270,1.8529894787417795,8.04993590140258,8,nan,X1
11,1.2,0.23292232288101627,8740,8020,1.852025573356981,8.043331651707625,8,nan,X1
12,1.3,0.23269985138382815,9410,8630,1.8519222778574909,8.043436807737239,8,nan,X1
13,1.4,0.23263451564159726,10060,9220,1.8518705246798048,8.043906728703256,8,nan,X1
14,1.5,0.23220782955206176,10690,9790,1.8483841922674475,8.054595102910717,8,nan,X1
15,1.6,0.23208242671206247,11300,10340,1.8483322966934648,8.05459560494973,8,nan,X1
16,1.7,0.22578745280813617,13360,12340,1.8332301608601917,8.065086337971833,8,nan,X1
17,1.8,0.2256525983577093,14170,13090,1.8332070474812416,8.07003986309365,8,nan,X1
18,1.9,0.22558501820307,14800,13660,1.83292482454718,8.072323406600159,8,nan,X1
19,2.0,0.22558082933776152,15420,14220,1.8328857426711065,8.072573635042884,8,nan,X1
20,2.1,0.27282468689582895,18450,17190,1.856252261475395,10.922299379518606,16,nan,X1;Y1
21,2.2,0.2532749987326442,20510,19190,1.7554071961315492,10.269202224352501,16,nan,X1;Y1
22,2.3,0.2515828092510993,22570,21190,1.7424627290366625,10.14621381950921,16,nan,X1;Y1
23,2.4,0.250115062556462,24630,23190,1.723592278741008,10.100193332681226,16,nan,X1;Y1
24,2.5,0.2494462143649745,26690,25190,1.7298953470307263,10.080200953786427,16,nan,X1;Y1
25,2.6,0.24796032795057205,28750,27190,1.7233556852917062,10.082182029020467,16,nan,X1;Y1
