step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.49916216608827996,390,330,2.589210688744059,12.203586206613792,8,182.4685977097096,X1
1,0.2,0.31107381609813145,780,660,2.015933119170997,10.056898061455549,8,0.2639155623946033,X1
2,0.3,0.22396672809127716,1170,990,1.7160842780062338,8.660151999075655,8,0.08545020981569706,X1
3,0.4,0.18202309389583235,1560,1320,1.5529871794168488,7.916005815451009,8,0.07136007869029906,X1
4,0.5,0.16216857645624214,1950,1650,1.4670728987118093,7.538418351380225,8,0.04657228114854833,X1
5,0.6,0.1527034931285406,2340,1980,1.4141544787455333,7.302126406857131,8,0.024586952067301472,X1
6,0.7,0.14801461423248738,2730,2310,1.3999424956616364,7.159866371137542,8,0.019328877529370937,X1
7,0.8,0.14553331343541545,3120,2640,1.395278033329405,7.0820761779768695,8,0.02502709870229224,X1
8,0.9,0.1441026672238568,3510,2970,1.3903794050264793,7.034754408020349,8,0.029803155719166842,X1
9,1.0,0.14319750215623334,3900,3300,1.3852416645149872,6.993869231201139,8,0.031950747610498986,X1
10,1.1,0.14257311827007496,5100,4440,1.3800321413547285,6.95726076047065,16,0.03210721218713801,X1;Y2
11,1.2,0.14211058373391522,5810,5090,1.3749175519378174,6.923546994257392,16,0.031016915311077635,X1;Y2
12,1.3,0.14174873271803945,6520,5740,1.374101298121652,6.894493718700354,16,0.029234043967192702,X1;Y2
13,1.4,0.1414539336862854,7230,6390,1.3736232954712069,6.867736746764122,16,0.027126798776986014,X1;Y2
14,1.5,0.1412063473566929,7940,7040,1.3729278604188586,6.841781317345163,16,0.02492546382560595,X1;Y2
15,1.6,0.1409934709102121,8650,7690,1.3721283539885674,6.816078628999299,16,0.02276659791615025,X1;Y2
16,1.7,0.14080696888512464,9360,8340,1.3712948009138919,6.790592146402007,16,0.020725810230210785,X1;Y2
17,1.8,0.14064103108615925,10070,8990,1.3704690614789516,6.765309015672282,16,0.01884029570660712,X1;Y2
18,1.9,0.14049146828786063,10780,9640,1.369674934191723,6.740230238413969,16,0.01712375691560318,X1;Y2
19,2.0,0.14035518216408915,11490,10290,1.3689248003433718,6.715364430180186,16,0.015576051562007967,X1;Y2
20,2.1,0.14022983599305738,13010,11750,1.3682239527828668,6.690723922736307,24,0.014189311215002854,X1;Y2;Y2
21,2.2,0.140113639663346,14040,12720,1.3675733917408417,6.666491062061753,24,0.01295174837002053,X1;Y2;Y2
22,2.3,0.14000520360374125,15070,13690,1.3669716142636763,6.642633176816581,24,0.01184997121514776,X1;Y2;Y2
23,2.4,0.1399034364522224,16100,14660,1.3664157471293332,6.620206415947541,24,0.010870347445983006,X1;Y2;Y2
24,2.5,0.1398074716826946,17130,15630,1.3659022538891896,6.601023278752662,24,0.00999977001177359,X1;Y2;Y2
25,2.6,0.13971661405780048,18160,16600,1.3654273674159092,6.582000582609719,24,0.009226052487782044,X1;Y2;Y2
26,2.7,0.1396303000079294,19190,17570,1.3649873466302496,6.563154287405114,24,0.008538099876182724,X1;Y2;Y2
27,2.8,0.13954806799197803,20220,18540,1.3645786217752596,6.54449833290751,24,0.007925946995501825,X1;Y2;Y2
28,2.9,0.13946953612037355,21250,19510,1.3642868687157073,6.526044706756004,24,0.0073807224466385865,X1;Y2;Y2
29,3.0,0.139394385128285,22280,20480,1.3650233363770772,6.507803569134404,24,0.006894573806938359,X1;Y2;Y2
30,3.1,0.13932234533087545,24120,22260,1.365739455893917,6.489783403772906,32,0.006460575595979882,X1;Y2;Y2;X2Z3
31,3.2,0.1392531865670266,25470,23550,1.3664362722453034,6.473580187546882,32,0.006072632831613588,X1;Y2;Y2;X2Z3
32,3.3,0.13918671040164474,26820,24840,1.3671147254251421,6.457721438192494,32,0.005725387314956296,X1;Y2;Y2;X2Z3
33,3.4,0.1391227440477824,28170,26130,1.36777566502036,6.4420825902049135,32,0.005414130237420863,X1;Y2;Y2;X2Z3
34,3.5,0.1390611356042164,29520,27420,1.3684198625116946,6.426666026046787,32,0.005134722939373169,X1;Y2;Y2;X2Z3
35,3.6,0.13900175030632742,30870,28710,1.369048021666765,6.411473340043647,32,0.004883526121545376,X1;Y2;Y2;X2Z3
36,3.7,0.13894446755915818,32220,30000,1.3696607873533115,6.397102533495974,32,0.004657337387354765,X1;Y2;Y2;X2Z3
37,3.8,0.1388891785789329,33570,31290,1.370258753023944,6.382943868601373,32,0.004453336405882943,X1;Y2;Y2;X2Z3
38,3.9,0.13883578450934628,34920,32580,1.3708424670853667,6.3689783496045145,32,0.004269037018001076,X1;Y2;Y2;X2Z3
39,4.0,0.1387841949088077,36270,33870,1.3714124383415185,6.35520725030018,32,0.004102245590131099,X1;Y2;Y2;X2Z3
