step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,5.936213862524692,1280,1220,6.735926867479115,26.47642964402091,8,nan,X1
1,0.2,7.486578508418138,2540,2420,7.50468416435144,29.960603396304545,8,nan,X1
2,0.3,8.809055497269082,4320,4140,8.168262745273001,32.8540075329729,8,nan,X1
3,0.4,9.550930667974693,5700,5460,8.526577811653748,33.589071239274794,8,nan,X1
4,0.5,8.276121440298013,7000,6700,7.865125933918517,30.329320842319287,8,nan,X1
5,0.6,9.395836625021525,8680,8320,8.530890600379735,33.53183054188788,8,nan,X1
6,0.7,7.99550890010082,9860,9440,7.872383622517249,30.467162754039556,8,nan,X1
7,0.8,5.774002133418784,11140,10660,6.741058829498878,25.467489650161536,8,nan,X1
8,0.9,7.298369964064089,13180,12640,7.441120694985537,28.597887617575665,8,nan,X1
9,1.0,8.550830867025336,16400,15800,8.102376333557894,31.191379831357793,8,nan,X1
10,1.1,6.625395888222688,17580,16920,7.157976277999953,26.877042537501083,8,nan,X1
11,1.2,8.032814662770706,18900,18180,7.746824371981265,30.008306308278833,8,nan,X1
12,1.3,9.17573509634122,20620,19840,8.385587217351272,32.77971721869879,8,nan,X1
13,1.4,9.820278242113655,22020,21180,8.721275803857653,34.43237355711972,8,nan,X1
14,1.5,8.861122434339146,24540,23640,8.247833793040385,31.8028670935263,8,nan,X1
15,1.6,9.739177343212313,26680,25720,8.716795907523693,34.23208956895153,8,nan,X1
16,1.7,8.613091193811085,28100,27080,8.050423863607069,30.85512963671036,8,nan,X1
17,1.8,9.461217353383056,29880,28800,8.565475133226895,32.98326381972366,8,nan,X1
18,1.9,9.917676169728452,31620,30480,8.854574531991902,34.60413449772824,8,nan,X1
19,2.0,9.363649912715909,32960,31760,8.455573449886653,32.45085933024062,8,nan,X1
20,2.1,7.031502322924741,35730,34470,7.073395234673559,26.186716000041596,16,nan,X1;Y0
21,2.2,6.396035955412177,38130,36810,6.732877058665498,26.449109354979278,16,nan,X1;Y0
22,2.3,6.623692687115467,40390,39010,6.593488818019214,27.262413704518693,16,nan,X1;Y0
23,2.4,6.586228296374333,42690,41250,6.453803099314124,28.041980667448488,16,nan,X1;Y0
24,2.5,4.674829213384827,45230,43730,5.845057676917968,26.276462746540435,16,nan,X1;Y0
25,2.6,5.4814166810630915,47810,46250,6.178155536918311,28.056938416254496,16,nan,X1;Y0
26,2.7,6.7546553188997835,50430,48810,6.774837172606517,28.289100483627813,16,nan,X1;Y0
27,2.8,7.311744100979066,53090,51410,7.070804256525273,28.669180986259224,16,nan,X1;Y0
