step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,4.1952521330907695,4060,4000,6.116088786507438,26.539983966105886,8,nan,X1
1,0.2,4.215237466252868,5840,5720,6.3174999752020735,27.46311987779641,8,nan,X1
2,0.3,3.7130878511260015,7260,7080,5.680707114254082,25.539649405549472,8,nan,X1
3,0.4,4.129706800317041,8780,8540,6.022761679887208,26.33691222410423,8,nan,X1
4,0.5,3.7758902839919974,10360,10060,5.663898839475596,25.62685667362958,8,nan,X1
5,0.6,4.005634754889504,12200,11840,5.742454704873083,25.65814557932317,8,nan,X1
6,0.7,3.737160016083264,14300,13880,5.755546266497773,25.62552605112742,8,nan,X1
7,0.8,4.15282556672206,15740,15260,6.076264498270602,26.533352733382507,8,nan,X1
8,0.9,3.9898306538175374,17540,17000,5.9981292534446515,25.756119304543247,8,nan,X1
9,1.0,4.263149163405412,20020,19420,6.237008258779891,27.39071089762777,8,nan,X1
10,1.1,4.161912331434661,22800,22140,6.270320787465921,27.66827848825753,8,nan,X1
11,1.2,3.63060687394523,24420,23700,5.936388407659132,26.48068874989469,8,nan,X1
12,1.3,4.155083307647141,25880,25100,6.361520238510801,28.08524989628466,8,nan,X1
13,1.4,4.454136317977342,27640,26800,6.591889250063557,28.88134832301811,8,nan,X1
14,1.5,4.008188634131906,29480,28580,6.246144625065421,27.658321517097956,8,nan,X1
15,1.6,4.3799125552636315,31060,30100,6.535203891534393,28.727590213217546,8,nan,X1
16,1.7,3.9233023035877728,32560,31540,6.231578664439702,27.562207171213743,8,nan,X1
17,1.8,4.328769529464988,35160,34080,6.512674685035367,28.54851692947729,8,nan,X1
18,1.9,3.5152045797557245,37440,36300,5.912932122596983,25.73457701252388,8,nan,X1
19,2.0,1.9500747568170111,38920,37720,4.443136322863235,18.659276943593753,8,nan,X1
20,2.1,1.3585430647197807,43470,42210,3.1662838054931823,12.61973549417562,16,nan,X1;X1Z2
21,2.2,2.177017146662929,46270,44950,4.095117136489854,17.434724336798418,16,nan,X1;X1Z2
22,2.3,2.809295451646291,48610,47230,4.6790330271401075,20.052324788214598,16,nan,X1;X1Z2
23,2.4,1.6479309514107399,51630,50190,3.537012065543035,15.014001653309505,16,nan,X1;X1Z2
24,2.5,0.5664680175695381,55690,54190,1.8603429805650762,8.567645613524698,16,nan,X1;X1Z2
25,2.6,1.0551510959092898,57950,56390,2.720905203056435,11.543841565327467,16,nan,X1;X1Z2
26,2.7,1.7282519600751156,61010,59390,3.624088133918575,15.38018125995063,16,nan,X1;X1Z2
27,2.8,2.522686063379749,65070,63390,4.418209966625697,18.87999148759466,16,nan,X1;X1Z2
28,2.9,3.2777781743694265,69130,67390,5.025599809666656,22.4103620235083,16,nan,X1;X1Z2
29,3.0,3.8515363889328467,73190,71390,5.522972901147885,25.04413936708752,16,nan,X1;X1Z2
30,3.1,4.069643600345743,76130,74270,5.711659528630736,26.342301663887618,16,nan,X1;X1Z2
31,3.2,4.046785788795023,78670,76750,5.705715786124447,26.24401434792037,16,nan,X1;X1Z2
32,3.3,4.107529434076693,81610,79630,5.7955561898322205,26.470082600660575,16,nan,X1;X1Z2
33,3.4,4.160072697784727,84130,82090,6.033216191219106,26.767254885590766,16,nan,X1;X1Z2
34,3.5,4.093568124663248,87030,84930,5.735315722529122,26.544395555831183,16,nan,X1;X1Z2
35,3.6,4.137687075802496,89550,87390,5.9414172766647235,26.67747668000067,16,nan,X1;X1Z2
36,3.7,3.5894511802361593,92610,90390,5.381185306894556,24.372891526147303,16,nan,X1;X1Z2
37,3.8,4.068716295958189,96670,94390,5.834182087821037,26.561330963939366,16,nan,X1;X1Z2
38,3.9,3.7408590768180208,99430,97090,5.699672574795172,25.733053509049157,16,nan,X1;X1Z2
39,4.0,4.104038796928746,102950,100550,6.055327946398622,26.825749848602783,16,nan,X1;X1Z2
40,4.1,2.741562301964283,107500,105040,4.80597096186429,20.430597914642814,24,nan,X1;X1Z2;Y0
41,4.2,3.194791318287537,111560,109040,5.187768232386275,21.972699186084835,24,nan,X1;X1Z2;Y0
42,4.3,3.7722120490379414,115620,113040,5.702784200328918,24.366187915456145,24,nan,X1;X1Z2;Y0
43,4.4,3.290240749093593,119680,117040,5.2907993218798275,22.76902241048146,24,nan,X1;X1Z2;Y0
44,4.5,3.793506727889485,123740,121040,5.723877853665803,24.645249115542065,24,nan,X1;X1Z2;Y0
45,4.6,3.8519748060425565,127760,125000,5.7688894070369106,24.92206161002818,24,nan,X1;X1Z2;Y0
46,4.7,3.8288293217910327,131820,129000,5.744092309601298,24.944926198172734,24,nan,X1;X1Z2;Y0
47,4.8,3.582393703580897,135640,132760,5.6070372743023045,24.48828328905915,24,nan,X1;X1Z2;Y0
48,4.9,3.8695408375080773,139700,136760,5.8202161255068825,25.421655200320092,24,nan,X1;X1Z2;Y0
49,5.0,3.5448415859290408,143580,140580,5.651074321791624,25.037742925440003,24,nan,X1;X1Z2;Y0
50,5.1,3.8675802046969774,147400,144340,5.8776301871052965,25.927168405918316,24,nan,X1;X1Z2;Y0
51,5.2,3.1003445479172953,151460,148340,5.272910868257566,23.288123881153258,24,nan,X1;X1Z2;Y0
52,5.3,3.7730440519332733,155520,152340,5.8260011891177035,25.842113708906748,24,nan,X1;X1Z2;Y0
53,5.4,2.843927449836557,159580,156340,5.070768627897324,22.453950937419556,24,nan,X1;X1Z2;Y0
54,5.5,3.617807104114184,163640,160340,5.716519126487087,25.47975331580234,24,nan,X1;X1Z2;Y0
55,5.6,2.726415181999532,167180,163820,5.01204596082574,22.535520962363247,24,nan,X1;X1Z2;Y0
56,5.7,3.3519077153491863,171240,167820,5.468964436332268,24.072126207616744,24,nan,X1;X1Z2;Y0
57,5.8,3.7109133246538493,175160,171680,5.676362031657978,25.29717178558245,24,nan,X1;X1Z2;Y0
58,5.9,3.9352439696932886,179220,175680,5.838353147861597,26.005769088340212,24,nan,X1;X1Z2;Y0
59,6.0,3.9562541048463404,183160,179560,5.881972206882794,26.17533063658117,24,nan,X1;X1Z2;Y0
