step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.9688791215195326,230,170,2.991304537820511,21.12119055794059,8,67.41914469223575,X1
1,0.2,4.948633731743572,460,340,6.28538580921139,33.54385942887037,8,25.51524041836114,X1
2,0.3,4.90892356170832,690,510,6.258937796481571,33.45431602846108,8,2.549116356066172,X1
3,0.4,4.440240156719844,920,680,5.91640924253032,32.022069785464296,8,3.5223570701565934,X1
4,0.5,4.0071534579611665,1150,850,5.642299914155703,30.705756948110327,8,8.750551414121288,X1
5,0.6,1.3585088125323979,1380,1020,3.101649811715026,20.397919807361873,8,10.935948306240938,X1
6,0.7,0.4616981965486726,1610,1190,2.1841743625329877,15.797463573041247,8,7.37003649590727,X1
7,0.8,0.4570306545041771,1840,1360,2.172293774855542,15.773319251722537,8,1.7343160453117163,X1
8,0.9,0.4523241907733619,2070,1530,2.160063734733796,15.751431339350946,8,1.6757101479851035,X1
9,1.0,0.44738963584975117,2300,1700,2.1469935385709786,15.730165875399752,8,1.6378553549928163,X1
10,1.1,0.3216338929998884,3180,2520,1.5474745718676837,13.771879148006647,16,10.840221992015517,X1;Y0Z2
11,1.2,0.3056590849500414,3570,2850,1.5164873991285908,13.601070404260998,16,4.411115359846825,X1;Y0Z2
12,1.3,0.2925762161584501,3960,3180,1.4900885415264007,13.455475459698656,16,2.894134280710049,X1;Y0Z2
13,1.4,0.2817961897742859,4350,3510,1.467557603955112,13.33124619592833,16,1.9246529806508568,X1;Y0Z2
14,1.5,0.588702785333524,4740,3840,2.0446241936341534,14.44661387767909,16,1.3160953902179209,X1;Y0Z2
15,1.6,0.6285078479796614,5130,4170,2.1259734734838682,14.57305328971967,16,6.325954920281242,X1;Y0Z2
16,1.7,4.925375158365384,5520,4500,6.191769928608908,34.4517703373114,16,1.5523607674903885,X1;Y0Z2
17,1.8,4.670798444220835,5910,4830,6.03339332841343,33.802074943851714,16,1.5028633468081103,X1;Y0Z2
18,1.9,0.3939676941925518,6300,5160,2.0244006275644093,15.020644997749761,16,2.6167059953915874,X1;Y0Z2
19,2.0,0.38442397018657926,6690,5490,1.9953718872765596,15.000839911627944,16,1.866684858951666,X1;Y0Z2
20,2.1,0.3737699288765558,7730,6470,1.9625538445768007,14.969351890887488,24,1.8374472140295577,X1;Y0Z2;Y0Y1
21,2.2,0.36184679031326983,8280,6960,1.9252487468703552,14.923776626702479,24,1.8285224016552037,X1;Y0Z2;Y0Y1
22,2.3,5.13521234114097,8830,7450,6.485319473484762,34.22763076859638,24,1.8450593844413548,X1;Y0Z2;Y0Y1
23,2.4,0.48896266743644584,9380,7940,2.112823344377452,16.618935866057733,24,2.199322272351237,X1;Y0Z2;Y0Y1
24,2.5,0.44830568116356256,9930,8430,2.032661046447448,16.259382197734524,24,1.181366263581539,X1;Y0Z2;Y0Y1
25,2.6,0.41463922129470676,10480,8920,1.9603270243522948,15.934008358263766,24,0.6105778184989771,X1;Y0Z2;Y0Y1
26,2.7,0.38701620525998887,11030,9410,1.896187065265905,15.654544169399447,24,0.476364537806162,X1;Y0Z2;Y0Y1
27,2.8,0.363999806554449,11580,9900,1.8388399476710844,15.41354009231451,24,0.39597074144774214,X1;Y0Z2;Y0Y1
28,2.9,0.3445223106006679,12130,10390,1.7870625207957174,15.203790978628355,24,0.3382144525693653,X1;Y0Z2;Y0Y1
29,3.0,0.3278270726869462,12680,10880,1.7399218112017607,15.019571279867362,24,0.29382412281543924,X1;Y0Z2;Y0Y1
30,3.1,0.31313989646254026,13880,12020,1.696074224646086,14.854588338955834,32,0.258574759773633,X1;Y0Z2;Y0Y1;Y0Y1
31,3.2,0.300561609788349,14590,12670,1.6563068401559267,14.709420521434486,32,0.22934820703684422,X1;Y0Z2;Y0Y1;Y0Y1
32,3.3,0.2895256811204343,15300,13320,1.6195398341819125,14.579286764096668,32,0.20542037589677717,X1;Y0Z2;Y0Y1;Y0Y1
33,3.4,0.279806018512602,16010,13970,1.5854626879643183,14.462142377301706,32,0.18520673261253887,X1;Y0Z2;Y0Y1;Y0Y1
34,3.5,0.27122305844074335,16720,14620,1.553825534167941,14.356349702409153,32,0.16789513510189122,X1;Y0Z2;Y0Y1;Y0Y1
35,3.6,0.26363030335992654,17430,15270,1.5244209483171727,14.260570589969369,32,0.15289070812484512,X1;Y0Z2;Y0Y1;Y0Y1
36,3.7,0.2569053732519541,18140,15920,1.4970713130159783,14.173688979562142,32,0.1397522721174479,X1;Y0Z2;Y0Y1;Y0Y1
37,3.8,0.2509440402513508,18850,16570,1.4716202450115223,14.094755857344655,32,0.12814924332230834,X1;Y0Z2;Y0Y1;Y0Y1
38,3.9,0.24565622094349712,19560,17220,1.447926919586255,14.022950477503201,32,0.11783114706287788,X1;Y0Z2;Y0Y1;Y0Y1
39,4.0,0.24096324196106106,20270,17870,1.4258624103834303,13.95755317054756,32,0.10860566285716419,X1;Y0Z2;Y0Y1;Y0Y1
