step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.9079252360118175,360,300,3.352820752853801,13.314778673893553,8,nan,X1
1,0.2,0.6495069640457052,720,600,2.9647168005020186,10.62840566335078,8,nan,X1
2,0.3,0.649466712306243,1080,900,2.964758120006874,10.637445968221277,8,nan,X1
3,0.4,0.6494171626220634,1440,1200,2.9562257720111758,10.630375144434126,8,nan,X1
4,0.5,0.6494126713335848,1800,1500,2.955837812379724,10.648768620564304,8,nan,X1
5,0.6,0.6494118395151712,2160,1800,2.9558528059785902,10.6492624461613,8,nan,X1
6,0.7,0.649398604751644,2520,2100,2.9591874071064215,10.646325534310007,8,nan,X1
7,0.8,0.649398604751644,2880,2400,2.9591874071064215,10.646325534310007,8,nan,X1
8,0.9,0.649398604751644,3240,2700,2.9591874071064215,10.646325534310007,8,nan,X1
9,1.0,0.649398604751644,3600,3000,2.9591874071064215,10.646325534310007,8,nan,X1
10,1.1,0.649398604751644,4450,3790,2.9591874071064215,10.646325534310007,8,nan,X1
11,1.2,0.649398604751644,4810,4090,2.9591874071064215,10.646325534310007,8,nan,X1
12,1.3,0.649398604751644,5170,4390,2.9591874071064215,10.646325534310007,8,nan,X1
13,1.4,0.649398604751644,5530,4690,2.9591874071064215,10.646325534310007,8,nan,X1
14,1.5,0.649398604751644,5890,4990,2.9591874071064215,10.646325534310007,8,nan,X1
15,1.6,0.649398604751644,6250,5290,2.9591874071064215,10.646325534310007,8,nan,X1
16,1.7,0.649398604751644,6610,5590,2.9591874071064215,10.646325534310007,8,nan,X1
17,1.8,0.649398604751644,6970,5890,2.9591874071064215,10.646325534310007,8,nan,X1
18,1.9,0.649398604751644,7330,6190,2.9591874071064215,10.646325534310007,8,nan,X1
19,2.0,0.649398604751644,7690,6490,2.9591874071064215,10.646325534310007,8,nan,X1
20,2.1,0.649398604751644,8540,7280,2.9591874071064215,10.646325534310007,8,nan,X1
21,2.2,0.649398604751644,8900,7580,2.9591874071064215,10.646325534310007,8,nan,X1
22,2.3,0.649398604751644,9260,7880,2.9591874071064215,10.646325534310007,8,nan,X1
23,2.4,0.649398604751644,9620,8180,2.9591874071064215,10.646325534310007,8,nan,X1
24,2.5,0.649398604751644,9980,8480,2.9591874071064215,10.646325534310007,8,nan,X1
25,2.6,0.649398604751644,10340,8780,2.9591874071064215,10.646325534310007,8,nan,X1
26,2.7,0.649398604751644,10700,9080,2.9591874071064215,10.646325534310007,8,nan,X1
27,2.8,0.649398604751644,11060,9380,2.9591874071064215,10.646325534310007,8,nan,X1
28,2.9,0.649398604751644,11420,9680,2.9591874071064215,10.646325534310007,8,nan,X1
29,3.0,0.649398604751644,11780,9980,2.9591874071064215,10.646325534310007,8,nan,X1
30,3.1,0.649398604751644,12630,10770,2.9591874071064215,10.646325534310007,8,nan,X1
31,3.2,0.649398604751644,12990,11070,2.9591874071064215,10.646325534310007,8,nan,X1
32,3.3,0.649398604751644,13350,11370,2.9591874071064215,10.646325534310007,8,nan,X1
33,3.4,0.649398604751644,13710,11670,2.9591874071064215,10.646325534310007,8,nan,X1
34,3.5,0.649398604751644,14070,11970,2.9591874071064215,10.646325534310007,8,nan,X1
35,3.6,0.649398604751644,14430,12270,2.9591874071064215,10.646325534310007,8,nan,X1
36,3.7,0.649398604751644,14790,12570,2.9591874071064215,10.646325534310007,8,nan,X1
37,3.8,0.649398604751644,15150,12870,2.9591874071064215,10.646325534310007,8,nan,X1
38,3.9,0.649398604751644,15510,13170,2.9591874071064215,10.646325534310007,8,nan,X1
39,4.0,0.649398604751644,15870,13470,2.9591874071064215,10.646325534310007,8,nan,X1
