step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.7328917224622463,160,100,2.3054929469261416,11.574103501414658,8,nan,X1
1,0.2,0.7324474455953304,320,200,2.3041734910183753,11.614006675026168,8,nan,X1
2,0.3,0.7324474455953304,480,300,2.3041734910183753,11.614006675026168,8,nan,X1
3,0.4,0.7324474455953304,640,400,2.3041734910183753,11.614006675026168,8,nan,X1
4,0.5,0.7324474455953304,800,500,2.3041734910183753,11.614006675026168,8,nan,X1
5,0.6,0.7324474455953304,960,600,2.3041734910183753,11.614006675026168,8,nan,X1
6,0.7,0.7324474455953304,1120,700,2.3041734910183753,11.614006675026168,8,nan,X1
7,0.8,0.7324474455953304,1280,800,2.3041734910183753,11.614006675026168,8,nan,X1
8,0.9,0.7324474455953304,1440,900,2.3041734910183753,11.614006675026168,8,nan,X1
9,1.0,0.7324474455953304,1600,1000,2.3041734910183753,11.614006675026168,8,nan,X1
10,1.1,0.7324474455953304,1760,1100,2.3041734910183753,11.614006675026168,8,nan,X1
11,1.2,0.7324474455953304,1920,1200,2.3041734910183753,11.614006675026168,8,nan,X1
12,1.3,0.7324474455953304,2080,1300,2.3041734910183753,11.614006675026168,8,nan,X1
13,1.4,0.7324474455953304,2240,1400,2.3041734910183753,11.614006675026168,8,nan,X1
14,1.5,0.7324474455953304,2400,1500,2.3041734910183753,11.614006675026168,8,nan,X1
15,1.6,0.7324474455953304,2560,1600,2.3041734910183753,11.614006675026168,8,nan,X1
16,1.7,0.7324474455953304,2720,1700,2.3041734910183753,11.614006675026168,8,nan,X1
17,1.8,0.7324474455953304,2880,1800,2.3041734910183753,11.614006675026168,8,nan,X1
18,1.9,0.7324474455953304,3040,1900,2.3041734910183753,11.614006675026168,8,nan,X1
19,2.0,0.7324474455953304,3200,2000,2.3041734910183753,11.614006675026168,8,nan,X1
20,2.1,0.3229101023503749,3930,2670,1.708120742694609,7.901244869785559,16,nan,X1;Y0
21,2.2,0.3222830356878192,4170,2850,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
22,2.3,0.3222830356878192,4410,3030,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
23,2.4,0.3222830356878192,4650,3210,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
24,2.5,0.3222830356878192,4890,3390,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
25,2.6,0.3222830356878192,5130,3570,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
26,2.7,0.3222830356878192,5370,3750,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
27,2.8,0.3222830356878192,5610,3930,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
28,2.9,0.3222830356878192,5850,4110,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
29,3.0,0.3222830356878192,6090,4290,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
30,3.1,0.3222830356878192,6330,4470,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
31,3.2,0.3222830356878192,6570,4650,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
32,3.3,0.3222830356878192,6810,4830,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
33,3.4,0.3222830356878192,7050,5010,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
34,3.5,0.3222830356878192,7290,5190,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
35,3.6,0.3222830356878192,7530,5370,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
36,3.7,0.3222830356878192,7770,5550,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
37,3.8,0.3222830356878192,8010,5730,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
38,3.9,0.3222830356878192,8250,5910,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
39,4.0,0.3222830356878192,8490,6090,1.7082650196976874,7.8996266288152475,16,nan,X1;Y0
40,4.1,0.11892469544907032,9300,6840,0.8427803878462823,9.583894490330247,24,nan,X1;Y0;Y0Z2
