step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,4.759312197275335,230,170,6.707042242160982,35.367593065947574,8,68.56556054901722,X1
1,0.2,3.7883614444504583,460,340,5.599746996684314,33.42755158227619,8,18.68871606131294,X1
2,0.3,3.3889609051828846,690,510,5.3604690879618975,31.946316451135708,8,25.263180283536485,X1
3,0.4,1.2953251099376635,920,680,3.81725760723524,21.953182309708932,8,3.2613607732326737,X1
4,0.5,0.5603125782087959,1150,850,2.6837416168921218,14.452617911481832,8,1.7763878965561926,X1
5,0.6,0.3904905334706057,1380,1020,2.2125254517602913,11.059180383230219,8,0.8470916761263911,X1
6,0.7,0.3191085794699688,1610,1190,2.0045159229942637,9.353392410917289,8,0.535763613064316,X1
7,0.8,0.28231671012412785,1840,1360,1.9234941499788825,8.387951005961403,8,0.3723630589713636,X1
8,0.9,0.2599765358827992,2070,1530,1.873256723054142,7.780041745734085,8,0.2775500836495571,X1
9,1.0,0.24445441248619446,2300,1700,1.8286317133535728,7.428760873475117,8,0.2198618576777984,X1
10,1.1,0.23260999978947666,2530,1870,1.7875335069093827,7.227254307201178,8,0.1831378314612525,X1
11,1.2,0.2230606718551904,2760,2040,1.7490851167096866,7.095671863644489,8,0.15842601462390202,X1
12,1.3,0.2151590115269776,2990,2210,1.7129748404707539,7.025054144726441,8,0.14056772417109933,X1
13,1.4,0.2085810233228887,3220,2380,1.6791704375596526,7.0289291955511635,8,0.1265141325009337,X1
14,1.5,0.20314525528178112,3450,2550,1.6477769142455705,7.043380246468118,8,0.11445832961525206,X1
15,1.6,0.19872646520199438,3680,2720,1.6189504571179727,7.072913229756077,8,0.10337081024043177,X1
16,1.7,0.19521346234548642,3910,2890,1.5928376194615046,7.101650946635476,8,0.09273283651100832,X1
17,1.8,0.19249132898047794,4140,3060,1.5695320634734,7.138202445626176,8,0.0823638134909934,X1
18,1.9,0.19043838773625976,4370,3230,1.5490487988536694,7.179914600442563,8,0.07229368893390258,X1
19,2.0,0.18893128450249125,4600,3400,1.5313161296181352,7.216850956734791,8,0.06266196755504919,X1
20,2.1,0.1878528691440713,5480,4220,1.5161829695735847,7.24788970071527,16,0.05380466175273397,X1;Y3
21,2.2,0.18709910872073654,5870,4550,1.5034366986383292,7.273567170351924,16,0.04549552045808204,X1;Y3
22,2.3,0.18658315168650041,6260,4880,1.4993356826906603,7.294519942811833,16,0.03797909128486534,X1;Y3
23,2.4,0.18623630951308745,6650,5210,1.4986195738487746,7.31256075883368,16,0.03148422384368732,X1;Y3
24,2.5,0.18600670732672026,7040,5540,1.498168747084338,7.3344608759700565,16,0.025884863131321087,X1;Y3
25,2.6,0.18585665155191522,7430,5870,1.4978892775300976,7.352055948049465,16,0.02113149003189374,X1;Y3
26,2.7,0.18575961126177834,7820,6200,1.4977186124742643,7.3660912423250835,16,0.017148585159635674,X1;Y3
27,2.8,0.1856973908599588,8210,6530,1.4976159871942338,7.377223873314324,16,0.013847365489723082,X1;Y3
28,2.9,0.18565777014536244,8600,6860,1.4975553232177299,7.386015781387665,16,0.011135628195461615,X1;Y3
29,3.0,0.18563267866126487,8990,7190,1.4975202014967728,7.392936462251277,16,0.008924473883010894,X1;Y3
30,3.1,0.1856168572995198,9380,7520,1.4975004286899405,7.39837124552761,16,0.0071323291418656605,X1;Y3
31,3.2,0.18560691506254984,9770,7850,1.4974897567001375,7.402632097031001,16,0.005686917068774332,X1;Y3
32,3.3,0.18560068367459254,10160,8180,1.4974844016427238,7.405968973060895,16,0.004525819153180224,X1;Y3
33,3.4,0.1855967857750729,10550,8510,1.4974820994713078,7.408580578962806,16,0.0035961574818091204,X1;Y3
34,3.5,0.18559435092098692,10940,8840,1.4974815126447056,7.410623954653191,16,0.0028537892118403155,X1;Y3
35,3.6,0.18559283124247555,11330,9170,1.4974818622444706,7.412222680846189,16,0.0022622789732151607,X1;Y3
36,3.7,0.1855918829923577,11720,9500,1.4974827023207757,7.413473711065374,16,0.0017918182636367955,X1;Y3
37,3.8,0.18559129102880972,12110,9830,1.4974837830327477,7.414452949897733,16,0.0014181894949816824,X1;Y3
38,3.9,0.18559092096157967,12500,10160,1.497484968411307,7.415219742370587,16,0.0011218259527515405,X1;Y3
39,4.0,0.1855906889698395,12890,10490,1.4974861875635872,7.415820450256088,16,0.0008869883353880938,X1;Y3
40,4.1,0.18559054283582602,13930,11470,1.497487405926509,7.416291279422897,24,0.004866845231067219,X1;Y3;Y2Y3
41,4.2,0.18559045005971955,14480,11960,1.4974886087322627,7.416660502573323,24,0.003595978041200415,X1;Y3;Y2Y3
42,4.3,0.185590390428663,15030,12450,1.4974897913507288,7.416950204483395,24,0.0004376497137435997,X1;Y3;Y2Y3
43,4.4,0.1855903513788118,15580,12940,1.4974909543171535,7.417177637848964,24,0.0003457277295184077,X1;Y3;Y2Y3
44,4.5,0.18559032510429885,16130,13430,1.4974921002035746,7.417356289363749,24,0.0002731115816889599,X1;Y3;Y2Y3
45,4.6,0.1855903067570284,16680,13920,1.4974932322345942,7.417496706464802,24,0.00021576690401165099,X1;Y3;Y2Y3
46,4.7,0.18559029332676555,17230,14410,1.4974943535711476,7.417607142265316,24,0.00017049567862721714,X1;Y3;Y2Y3
47,4.8,0.18559028294498967,17780,14900,1.49749546695972,7.417694058163468,24,0.00013476510246403505,X1;Y3;Y2Y3
48,4.9,0.18559027445169454,18330,15390,1.497496574757424,7.417762515658973,24,0.00010657074747183092,X1;Y3;Y2Y3
49,5.0,0.18559026712723473,18880,15880,1.4974976787941936,7.417816481441362,24,8.432732808694545e-05,X1;Y3;Y2Y3
50,5.1,0.18559026052496724,19430,16370,1.4974987805277873,7.417859066055663,24,6.678169822026414e-05,X1;Y3;Y2Y3
51,5.2,0.18559025436780324,19980,16860,1.4974998810745312,7.417892709555772,24,5.2943715343855194e-05,X1;Y3;Y2Y3
52,5.3,0.18559024848375177,20530,17350,1.4975009813070486,7.417919326940325,24,4.2031348922077346e-05,X1;Y3;Y2Y3
53,5.4,0.1855902427662079,21080,17840,1.4975020818611307,7.417940421717133,24,3.342712048243718e-05,X1;Y3;Y2Y3
54,5.5,0.1855902371489184,21630,18330,1.4975031832487764,7.417957174784179,24,2.664362130032604e-05,X1;Y3;Y2Y3
55,5.6,0.18559023159094543,22180,18820,1.497504285813341,7.417970513786368,24,2.1296205098697734e-05,X1;Y3;Y2Y3
