step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,2.6886627859475607,230,170,4.2120686320075755,21.593021165299973,8,16.67455653135984,X1
1,0.2,2.47890922584221,460,340,4.226492131355935,21.608311577884027,8,7.285480620906086,X1
2,0.3,2.476554430305315,690,510,4.219815409325007,21.595244690354882,8,3.3182212763181558,X1
3,0.4,2.4748179031868687,920,680,4.214843986816367,21.59077197298562,8,1.8585079413413486,X1
4,0.5,2.4735805692161326,1150,850,4.211625297853704,21.58543245654648,8,0.8542069168143146,X1
5,0.6,2.472274977702265,1380,1020,4.208648940074212,21.573759774435736,8,0.42247356596434904,X1
6,0.7,2.471096043809074,1610,1190,4.205913426384122,21.562523947706435,8,0.32826475966191,X1
7,0.8,2.4700584674563424,1840,1360,4.203449278700644,21.55232763769399,8,0.272588169381804,X1
8,0.9,2.4691489493025256,2070,1530,4.20124332705887,21.54378121935906,8,0.23331831341527587,X1
9,1.0,2.4683500627192725,2300,1700,4.199271764583392,21.538017995220425,8,0.20345691156227022,X1
10,1.1,0.657631077462788,7020,6360,2.0957318429502045,11.60762624275565,16,39.591605112539035,X1;X7Y8
11,1.2,0.6338022354503082,7410,6690,2.0808331195272634,11.641848509791291,16,28.69490055436011,X1;X7Y8
12,1.3,0.614741177399439,7800,7020,2.0687904687654286,11.690462428913328,16,20.798412083779645,X1;X7Y8
13,1.4,0.5996025994498362,8190,7350,2.0590479140561135,11.737859026354322,16,14.587401444505439,X1;X7Y8
14,1.5,0.5877323230430497,8580,7680,2.051161029251726,11.781887472646712,16,9.769461011156698,X1;X7Y8
15,1.6,0.5786580520295134,8970,8010,2.044802716098558,11.82040144147044,16,6.106117460156649,X1;X7Y8
16,1.7,0.5719748152484306,9360,8340,2.0397787613985843,11.851206488952474,16,3.422034691521032,X1;X7Y8
17,1.8,0.5660788338859571,9750,8670,2.0360086571026543,11.882378201066885,16,1.6333061965061844,X1;X7Y8
18,1.9,0.5588714200706253,10140,9000,2.033070849464595,11.923476152916098,16,0.8369908339690831,X1;X7Y8
19,2.0,0.5524706072511166,10530,9330,2.0307019612743833,11.964755287506408,16,0.6378862973705586,X1;X7Y8
20,2.1,0.2991584963191788,15410,14150,1.689939101316528,10.510010716637304,24,3.341431408623973,X1;X7Y8;Y10
21,2.2,0.2545056945482609,15960,14640,1.5429643664450632,10.135275285679512,24,10.21720834338471,X1;X7Y8;Y10
22,2.3,0.2485786270450408,16510,15130,1.520507782411057,10.085127068399904,24,6.591727796674577,X1;X7Y8;Y10
23,2.4,0.24316494888590612,17060,15620,1.4989887642591355,10.035273984900204,24,6.512128523604395,X1;X7Y8;Y10
24,2.5,0.23941713561300162,17610,16110,1.4859570763152905,10.015318116415099,24,6.433554966495082,X1;X7Y8;Y10
25,2.6,0.2619086746691821,18160,16600,1.620347503790966,10.577915004038175,24,6.430086830657698,X1;X7Y8;Y10
26,2.7,0.2498754713853656,18710,17090,1.5871332058394325,10.404525021519987,24,7.883463907629288,X1;X7Y8;Y10
27,2.8,0.26038139583992215,19260,17580,1.646286673090914,10.673074602013203,24,6.716668380645882,X1;X7Y8;Y10
28,2.9,0.2820610679711412,19810,18070,1.7493560852263565,11.135096519289965,24,7.2211019241479955,X1;X7Y8;Y10
29,3.0,0.29626067653618166,20360,18560,1.8079916338917996,11.421878953826406,24,7.931891093502545,X1;X7Y8;Y10
30,3.1,0.39512792554349896,25400,23540,2.0950899018876883,11.940339832516507,32,7.488875008512442,X1;X7Y8;Y10;X0Y2
31,3.2,0.3602073606960148,26110,24190,2.0443766565345824,12.00183440092258,32,9.885539106037754,X1;X7Y8;Y10;X0Y2
32,3.3,0.3537694838322026,26820,24840,2.0170523892864543,11.950028827571748,32,2.1548481585154295,X1;X7Y8;Y10;X0Y2
33,3.4,0.34755824413187886,27530,25490,1.990251744583955,11.89690834299224,32,1.9522619027494421,X1;X7Y8;Y10;X0Y2
34,3.5,0.3415349383315098,28240,26140,1.9638579504438234,11.841943263528126,32,1.7726160292560802,X1;X7Y8;Y10;X0Y2
35,3.6,0.3356589903756243,28950,26790,1.9377199952621718,11.784439987756212,32,1.6167673392428907,X1;X7Y8;Y10;X0Y2
36,3.7,0.32988291454484253,29660,27440,1.9116125671473503,11.723366880881219,32,1.4870232348868277,X1;X7Y8;Y10;X0Y2
37,3.8,0.3241383432553932,30370,28090,1.88512340696525,11.65688702691976,32,1.3890620796067812,X1;X7Y8;Y10;X0Y2
38,3.9,0.3182886564955336,31080,28740,1.8572679779220411,11.580779744082893,32,1.3380319401501133,X1;X7Y8;Y10;X0Y2
39,4.0,0.32936893846121484,31790,29390,1.8634085310339035,11.769319200998387,32,1.3835188927704256,X1;X7Y8;Y10;X0Y2
