step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,4.7569338296764165,2060,2000,3.0,15.0,8,nan,X1
1,0.2,4.556600418875162,4120,4000,3.0,14.0,8,nan,X1
2,0.3,4.548569057775785,5090,4910,3.0,14.0,8,nan,X1
3,0.4,4.542768146435048,5800,5560,3.0,15.0,8,nan,X1
4,0.5,4.538185995496644,6550,6250,3.0,15.0,8,nan,X1
5,0.6,4.534592282982667,7230,6870,3.0,14.0,8,nan,X1
6,0.7,4.486541746802063,9290,8870,2.0,12.0,8,nan,X1
7,0.8,4.47912595907627,10880,10400,2.0,12.0,8,nan,X1
8,0.9,4.4785383242635906,11970,11430,2.0,12.0,8,nan,X1
9,1.0,4.474153931168653,12680,12080,2.0,12.0,8,nan,X1
10,1.1,4.472328184735182,13550,12890,2.0,12.0,8,nan,X1
11,1.2,4.470505434498148,14290,13570,2.0,12.0,8,nan,X1
12,1.3,4.469430085440604,15400,14620,2.0,12.0,8,nan,X1
13,1.4,4.468888479001964,16470,15630,2.0,12.0,8,nan,X1
14,1.5,4.467986698721928,17340,16440,2.0,12.0,8,nan,X1
15,1.6,4.466868748191574,18250,17290,2.0,12.0,8,nan,X1
16,1.7,4.461996802820017,19300,18280,2.0,12.0,8,nan,X1
17,1.8,4.456946685089809,21360,20280,2.0,11.0,8,nan,X1
18,1.9,4.4547231604016595,22370,21230,2.0,11.0,8,nan,X1
19,2.0,4.4507198998589725,23310,22110,2.0,11.0,8,nan,X1
20,2.1,4.446242997055469,25750,24490,2.0,11.0,16,nan,X1;Z0
21,2.2,4.444888523224393,27540,26220,2.0,11.0,16,nan,X1;Z0
22,2.3,4.443711565278948,28840,27460,2.0,11.0,16,nan,X1;Z0
23,2.4,4.44252645285569,30220,28780,2.0,11.0,16,nan,X1;Z0
24,2.5,4.441378863593388,31450,29950,2.0,11.0,16,nan,X1;Z0
25,2.6,4.4378746125778745,32740,31180,2.0,11.0,16,nan,X1;Z0
26,2.7,4.436876088005554,34000,32380,2.0,11.0,16,nan,X1;Z0
27,2.8,4.43586878285634,35300,33620,2.0,11.0,16,nan,X1;Z0
28,2.9,4.434937737533987,36490,34750,2.0,11.0,16,nan,X1;Z0
29,3.0,4.43381622406161,37750,35950,2.0,11.0,16,nan,X1;Z0
30,3.1,4.432645765684756,39020,37160,2.0,11.0,16,nan,X1;Z0
31,3.2,4.431573546879824,40460,38540,2.0,11.0,16,nan,X1;Z0
32,3.3,4.43067901056058,41730,39750,2.0,11.0,16,nan,X1;Z0
33,3.4,4.427754340850202,43230,41190,2.0,11.0,16,nan,X1;Z0
34,3.5,4.4250914975356945,44480,42380,2.0,11.0,16,nan,X1;Z0
35,3.6,4.4240518931711845,45690,43530,2.0,11.0,16,nan,X1;Z0
36,3.7,4.422960627898539,46920,44700,2.0,11.0,16,nan,X1;Z0
37,3.8,4.421985790636714,48140,45860,2.0,11.0,16,nan,X1;Z0
38,3.9,4.420499362491604,49490,47150,2.0,11.0,16,nan,X1;Z0
39,4.0,4.4181809697296694,50890,48490,2.0,12.0,16,nan,X1;Z0
40,4.1,4.416225717805519,53440,50980,2.0,12.0,24,nan,X1;Z0;Z0Z1
41,4.2,4.414278093706745,55350,52830,2.0,13.0,24,nan,X1;Z0;Z0Z1
42,4.3,4.413597283780488,57240,54660,2.0,13.0,24,nan,X1;Z0;Z0Z1
43,4.4,4.412973313276887,59220,56580,2.0,12.0,24,nan,X1;Z0;Z0Z1
44,4.5,4.412408202519482,61270,58570,2.0,12.0,24,nan,X1;Z0;Z0Z1
45,4.6,4.411594947767312,63310,60550,2.0,13.0,24,nan,X1;Z0;Z0Z1
46,4.7,4.410920170855214,65220,62400,2.0,12.0,24,nan,X1;Z0;Z0Z1
47,4.8,4.410460125309642,67090,64210,2.0,12.0,24,nan,X1;Z0;Z0Z1
48,4.9,4.410460072695541,69070,66130,2.0,12.0,24,nan,X1;Z0;Z0Z1
49,5.0,4.41039318183508,71130,68130,2.0,12.0,24,nan,X1;Z0;Z0Z1
50,5.1,4.410365804624686,73080,70020,2.0,12.0,24,nan,X1;Z0;Z0Z1
51,5.2,4.410332013123566,74950,71830,2.0,12.0,24,nan,X1;Z0;Z0Z1
52,5.3,4.410309908152287,77010,73830,2.0,12.0,24,nan,X1;Z0;Z0Z1
53,5.4,4.410295470229232,79070,75830,2.0,13.0,24,nan,X1;Z0;Z0Z1
54,5.5,4.410265523036587,81100,77800,2.0,13.0,24,nan,X1;Z0;Z0Z1
55,5.6,4.4102654558514205,83040,79680,2.0,13.0,24,nan,X1;Z0;Z0Z1
56,5.7,4.410264045551415,85030,81610,2.0,13.0,24,nan,X1;Z0;Z0Z1
57,5.8,4.410262973948015,87020,83540,2.0,13.0,24,nan,X1;Z0;Z0Z1
58,5.9,4.41025486269646,88940,85400,2.0,13.0,24,nan,X1;Z0;Z0Z1
59,6.0,4.410254381362762,90890,87290,2.0,12.0,24,nan,X1;Z0;Z0Z1
