step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,5.660579294984303,2060,2000,3.0,23.0,8,nan,X1
1,0.2,5.601172058380462,4120,4000,3.0,23.0,8,nan,X1
2,0.3,5.557077992774711,6180,6000,2.0,23.0,8,nan,X1
3,0.4,5.530923273297273,8240,8000,2.0,23.0,8,nan,X1
4,0.5,5.5271269165534465,10070,9770,2.0,23.0,8,nan,X1
5,0.6,5.517027183324665,12130,11770,2.0,23.0,8,nan,X1
6,0.7,5.516376498974586,13120,12700,2.0,23.0,8,nan,X1
7,0.8,5.509408253658947,14500,14020,2.0,23.0,8,nan,X1
8,0.9,5.50826519435517,15420,14880,2.0,23.0,8,nan,X1
9,1.0,5.5079774604893865,16190,15590,2.0,23.0,8,nan,X1
10,1.1,5.507456335682874,17260,16600,2.0,23.0,8,nan,X1
11,1.2,5.506602636536432,18400,17680,2.0,23.0,8,nan,X1
12,1.3,5.505532594701482,19260,18480,2.0,23.0,8,nan,X1
13,1.4,5.500712643399567,20420,19580,2.0,23.0,8,nan,X1
14,1.5,5.500064703425982,21510,20610,2.0,23.0,8,nan,X1
15,1.6,5.499482223703116,22320,21360,2.0,23.0,8,nan,X1
16,1.7,5.4991309088798905,23250,22230,2.0,23.0,8,nan,X1
17,1.8,5.498876830998321,24210,23130,2.0,23.0,8,nan,X1
18,1.9,5.4981287601071935,25340,24200,2.0,23.0,8,nan,X1
19,2.0,5.497882590399799,26170,24970,2.0,23.0,8,nan,X1
20,2.1,5.51128188698749,28330,27070,2.0,23.0,16,nan,X1;X0
21,2.2,5.502121996779088,29780,28460,2.0,23.0,16,nan,X1;X0
22,2.3,5.499530253008591,31040,29660,2.0,23.0,16,nan,X1;X0
23,2.4,5.498522250721501,32380,30940,2.0,23.0,16,nan,X1;X0
24,2.5,5.497831205602898,34440,32940,2.0,23.0,16,nan,X1;X0
25,2.6,5.497141191537333,35660,34100,2.0,23.0,16,nan,X1;X0
26,2.7,5.496840962692946,37310,35690,2.0,23.0,16,nan,X1;X0
27,2.8,5.496685483202111,38590,36910,2.0,23.0,16,nan,X1;X0
28,2.9,5.496255654035247,39850,38110,2.0,23.0,16,nan,X1;X0
29,3.0,5.492007376133586,41910,40110,2.0,23.0,16,nan,X1;X0
30,3.1,5.485337410653619,43660,41800,2.0,22.0,16,nan,X1;X0
31,3.2,5.484464121449827,44990,43070,2.0,22.0,16,nan,X1;X0
32,3.3,5.484174986064601,46300,44320,2.0,22.0,16,nan,X1;X0
33,3.4,5.483955798105458,47610,45570,2.0,22.0,16,nan,X1;X0
34,3.5,5.483814722841464,49010,46910,2.0,22.0,16,nan,X1;X0
35,3.6,5.48370254745123,50380,48220,2.0,22.0,16,nan,X1;X0
36,3.7,5.483589394415864,51900,49680,2.0,22.0,16,nan,X1;X0
37,3.8,5.48349394840041,53170,50890,2.0,22.0,16,nan,X1;X0
38,3.9,5.483393281107749,54510,52170,2.0,22.0,16,nan,X1;X0
39,4.0,5.483153316747711,55770,53370,2.0,22.0,16,nan,X1;X0
40,4.1,5.498689825859625,58800,56340,2.0,22.0,24,nan,X1;X0;X0
41,4.2,5.486855290269214,60860,58340,2.0,22.0,24,nan,X1;X0;X0
42,4.3,5.483487969841321,62920,60340,2.0,22.0,24,nan,X1;X0;X0
43,4.4,5.4817998671785455,64960,62320,2.0,22.0,24,nan,X1;X0;X0
44,4.5,5.480991618544893,67020,64320,2.0,22.0,24,nan,X1;X0;X0
45,4.6,5.480619507889653,69080,66320,2.0,22.0,24,nan,X1;X0;X0
46,4.7,5.480344285127193,71140,68320,2.0,22.0,24,nan,X1;X0;X0
47,4.8,5.47920460117594,73200,70320,2.0,22.0,24,nan,X1;X0;X0
48,4.9,5.479035334792055,75260,72320,2.0,22.0,24,nan,X1;X0;X0
49,5.0,5.478845135020309,77320,74320,2.0,22.0,24,nan,X1;X0;X0
50,5.1,5.47870721385532,79340,76280,2.0,22.0,24,nan,X1;X0;X0
51,5.2,5.4786027848307794,81400,78280,2.0,22.0,24,nan,X1;X0;X0
52,5.3,5.478477017370567,83460,80280,2.0,22.0,24,nan,X1;X0;X0
53,5.4,5.478323110152629,85350,82110,2.0,22.0,24,nan,X1;X0;X0
54,5.5,5.478138150616328,87410,84110,2.0,22.0,24,nan,X1;X0;X0
55,5.6,5.478048143831696,89470,86110,2.0,22.0,24,nan,X1;X0;X0
56,5.7,5.477970077682651,91350,87930,2.0,22.0,24,nan,X1;X0;X0
57,5.8,5.477908648699652,93410,89930,2.0,22.0,24,nan,X1;X0;X0
58,5.9,5.477746182082505,95470,91930,2.0,22.0,24,nan,X1;X0;X0
59,6.0,5.4769830023045385,97530,93930,2.0,22.0,24,nan,X1;X0;X0
