step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,nan,6.49728513117405,5460,5400,4.0,29.0,16,nan,qnn_L2_r1
1,nan,5.882512711236101,6030,5910,1.0,18.0,16,nan,qnn_L2_r1
2,nan,5.067491734272909,6430,6250,1.0,3.0,16,nan,qnn_L2_r1
3,nan,4.737718923255606,6660,6420,1.0,5.0,16,nan,qnn_L2_r1
4,nan,4.511803296399904,6890,6590,2.0,11.0,16,nan,qnn_L2_r1
5,nan,4.250314181794305,7120,6760,1.0,9.0,16,nan,qnn_L2_r1
6,nan,4.19027910300405,7350,6930,1.0,10.0,16,nan,qnn_L2_r1
7,nan,4.161466023566341,7580,7100,1.0,8.0,16,nan,qnn_L2_r1
8,nan,4.1484550213067175,7810,7270,1.0,9.0,16,nan,qnn_L2_r1
9,nan,4.136745708125717,8040,7440,1.0,9.0,16,nan,qnn_L2_r1
10,nan,4.094580850813767,8610,7950,1.0,8.0,16,nan,qnn_L2_r1
11,nan,4.078980959514492,9010,8290,1.0,8.0,16,nan,qnn_L2_r1
12,nan,4.026354219463503,9410,8630,1.0,8.0,16,nan,qnn_L2_r1
13,nan,3.940005432979421,9810,8970,1.0,7.0,16,nan,qnn_L2_r1
14,nan,3.704750767131034,10040,9140,1.0,7.0,16,nan,qnn_L2_r1
15,nan,3.4405201397872545,10270,9310,0.0,4.0,16,nan,qnn_L2_r1
16,nan,3.0900089710926757,10500,9480,1.0,8.0,16,nan,qnn_L2_r1
17,nan,2.947841059961787,10730,9650,1.0,7.0,16,nan,qnn_L2_r1
18,nan,2.8634623610364613,10960,9820,0.0,6.0,16,nan,qnn_L2_r1
19,nan,2.825153352626118,11190,9990,0.0,7.0,16,nan,qnn_L2_r1
20,nan,2.8063270259835864,11420,10160,0.0,7.0,16,nan,qnn_L2_r1
21,nan,2.746077953625133,11820,10500,0.0,7.0,16,nan,qnn_L2_r1
22,nan,2.721166248171023,12050,10670,0.0,7.0,16,nan,qnn_L2_r1
23,nan,2.676984072163041,12280,10840,0.0,6.0,16,nan,qnn_L2_r1
24,nan,2.642394916535748,12510,11010,0.0,7.0,16,nan,qnn_L2_r1
25,nan,2.637661953331552,12740,11180,0.0,7.0,16,nan,qnn_L2_r1
26,nan,2.6348691793313783,12970,11350,0.0,7.0,16,nan,qnn_L2_r1
27,nan,2.6322242704087757,13200,11520,0.0,7.0,16,nan,qnn_L2_r1
28,nan,2.631484299821103,13430,11690,0.0,7.0,16,nan,qnn_L2_r1
29,nan,2.631457411709305,13660,11860,0.0,7.0,16,nan,qnn_L2_r1
30,nan,2.6314350666198223,13890,12030,0.0,7.0,16,nan,qnn_L2_r1
31,nan,2.6314344664266573,14120,12200,0.0,7.0,16,nan,qnn_L2_r1
32,nan,2.63143432333656,14350,12370,0.0,7.0,16,nan,qnn_L2_r1
33,nan,2.6314342114118308,14580,12540,0.0,7.0,16,nan,qnn_L2_r1
34,nan,2.6314341912955737,14810,12710,0.0,7.0,16,nan,qnn_L2_r1
35,nan,2.631434187909461,15040,12880,0.0,7.0,16,nan,qnn_L2_r1
36,nan,2.631434187909461,15100,12880,0.0,7.0,16,nan,qnn_L2_r1
