step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,nan,6.909586896830561,60,0,6.0,29.0,24,nan,qnn_L3_r0
1,nan,2.8990489280869745,390,270,0.0,7.0,24,nan,qnn_L3_r0
2,nan,2.8235648399827347,470,290,0.0,10.0,24,nan,qnn_L3_r0
3,nan,2.649469282140414,550,310,0.0,9.0,24,nan,qnn_L3_r0
4,nan,2.584133174190178,630,330,0.0,10.0,24,nan,qnn_L3_r0
5,nan,2.584133174190178,710,350,0.0,10.0,24,nan,qnn_L3_r0
6,nan,2.584133174190178,790,370,0.0,10.0,24,nan,qnn_L3_r0
7,nan,2.584133174190178,870,390,0.0,10.0,24,nan,qnn_L3_r0
8,nan,2.584133174190178,950,410,0.0,10.0,24,nan,qnn_L3_r0
9,nan,2.552439406455103,1030,430,0.0,9.0,24,nan,qnn_L3_r0
10,nan,2.4100230754076066,1110,450,0.0,9.0,24,nan,qnn_L3_r0
11,nan,2.4100230754076066,1190,470,0.0,9.0,24,nan,qnn_L3_r0
12,nan,2.4100230754076066,1270,490,0.0,9.0,24,nan,qnn_L3_r0
13,nan,2.4100230754076066,1350,510,0.0,9.0,24,nan,qnn_L3_r0
14,nan,2.4100230754076066,1420,520,0.0,9.0,24,nan,qnn_L3_r0
15,nan,2.4100230754076066,1500,540,0.0,9.0,24,nan,qnn_L3_r0
16,nan,2.2468265220959713,1570,550,0.0,9.0,24,nan,qnn_L3_r0
17,nan,2.2418223577823886,1640,560,0.0,9.0,24,nan,qnn_L3_r0
18,nan,2.2418223577823886,1720,580,0.0,9.0,24,nan,qnn_L3_r0
19,nan,2.2418223577823886,1800,600,0.0,9.0,24,nan,qnn_L3_r0
20,nan,2.2326041512902646,1870,610,0.0,10.0,24,nan,qnn_L3_r0
21,nan,2.195157260687272,1950,630,0.0,10.0,24,nan,qnn_L3_r0
22,nan,2.16960048434677,2020,640,0.0,10.0,24,nan,qnn_L3_r0
23,nan,2.083547195458581,2090,650,0.0,10.0,24,nan,qnn_L3_r0
