step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,2.640290604126114,230,170,5.0254716022633685,27.976930578144763,8,51.785982617960016,X1
1,0.2,3.6972657312878496,460,340,5.94567167360148,32.792708566364546,8,40.37169176881135,X1
2,0.3,3.696655530939619,690,510,5.945169396236544,32.79102928421514,8,0.004162502181193346,X1
3,0.4,3.696537736344152,920,680,5.945069219801677,32.790597847036366,8,0.007756528715428349,X1
4,0.5,3.69640239919287,1150,850,5.944954171469796,32.790092544419345,8,0.008273863961022594,X1
5,0.6,3.695662948120951,1380,1020,5.944340499221685,32.78778496004661,8,0.008828344496299097,X1
6,0.7,3.695421501942631,1610,1190,5.944133947791922,32.78714775442473,8,0.011151146828049064,X1
7,0.8,3.6951478558027713,1840,1360,5.943899141135489,32.78643101090286,8,0.011853963641452024,X1
8,0.9,3.694837667557206,2070,1530,5.943632197544312,32.78562428567947,8,0.012601454310243102,X1
9,1.0,3.6944860090497897,2300,1700,5.9433287043152845,32.784715722497744,8,0.013396373524670678,X1
10,1.1,1.6867029841677463,8580,7920,4.056108943507022,24.057795275562633,16,93.10655382422324,X1;X8X11
11,1.2,0.9361330846177608,8970,8250,2.8093549588195925,24.367228810820578,16,98.50869743641996,X1;X8X11
12,1.3,0.915357366518481,9360,8580,2.787274046751138,24.203030463425975,16,15.60208272874105,X1;X8X11
13,1.4,1.3446055109921726,9750,8910,3.343913707866643,27.273550269099545,16,15.224087858889726,X1;X8X11
14,1.5,1.2735156244424561,10140,9240,3.2671434390702787,26.738619861450047,16,12.97981273054885,X1;X8X11
15,1.6,3.3161281896681425,10530,9570,5.61475244133806,31.82113198635251,16,10.758920971187958,X1;X8X11
16,1.7,3.232662302868778,10920,9900,5.54629323933889,31.449340302220087,16,1.350362823599699,X1;X8X11
17,1.8,3.1344920309340276,11310,10230,5.465410203755701,30.995784983060684,16,1.4586669322239967,X1;X8X11
18,1.9,3.0214765645816573,11700,10560,5.37133369516506,30.457902197053798,16,1.5622609082059036,X1;X8X11
19,2.0,2.894626364502033,12090,10890,5.263975594977293,29.840083603298933,16,1.6563570388463063,X1;X8X11
20,2.1,1.2863359767796922,18530,17270,3.4587921605554577,22.964072597834367,24,9.300411874345887,X1;X8X11;Y8Y11
21,2.2,2.0606530791796427,19080,17760,4.087678374243349,31.02116390906486,24,64.61990128335181,X1;X8X11;Y8Y11
22,2.3,2.8457883418915277,19630,18250,5.058715208393415,33.08399704582473,24,51.18688211313304,X1;X8X11;Y8Y11
23,2.4,2.409891510239825,20180,18740,4.577049638932133,31.93055221415063,24,22.614858350902196,X1;X8X11;Y8Y11
24,2.5,1.888680619414659,20730,19230,3.958539460869962,29.993004060521564,24,23.90430123624376,X1;X8X11;Y8Y11
25,2.6,1.6537429319987178,21280,19720,3.7072426528697138,28.8204923167679,24,22.230297818724253,X1;X8X11;Y8Y11
26,2.7,1.3216816774483449,21830,20210,3.3414275883686484,26.97828575252014,24,20.000140628188703,X1;X8X11;Y8Y11
27,2.8,1.1049756492435117,22380,20700,3.0781816157482,25.564364008803945,24,15.798678640976805,X1;X8X11;Y8Y11
28,2.9,1.0634046292211874,22930,21190,3.02852265924405,25.196596914689938,24,12.53306819448657,X1;X8X11;Y8Y11
29,3.0,0.9423673369694565,23480,21680,2.867034673759953,24.28427535521226,24,11.626054444756292,X1;X8X11;Y8Y11
30,3.1,0.3071123708233548,30080,28220,1.5637798803719356,17.02029516575415,32,16.744753694446167,X1;X8X11;Y8Y11;X2Y12
31,3.2,0.28033752241072857,30790,28870,1.6835099821569297,16.978354184718093,32,11.376634356695595,X1;X8X11;Y8Y11;X2Y12
32,3.3,0.3885952097346671,31500,29520,1.7273166634886445,17.526956310716265,32,8.080082533314226,X1;X8X11;Y8Y11;X2Y12
33,3.4,0.36152295799298884,32210,30170,1.6692499157644987,17.070341610370853,32,4.7129952306184615,X1;X8X11;Y8Y11;X2Y12
34,3.5,0.34916791343720804,32920,30820,1.6389540236737228,16.540948893795786,32,4.312519368891424,X1;X8X11;Y8Y11;X2Y12
35,3.6,0.326276779549173,33630,31470,1.5864685781936902,16.1451663243174,32,8.441632232393832,X1;X8X11;Y8Y11;X2Y12
36,3.7,0.30540167065365187,34340,32120,1.5376488433018962,15.775142278253178,32,6.489148524697507,X1;X8X11;Y8Y11;X2Y12
37,3.8,0.28656441042081315,35050,32770,1.4917690884675658,15.434154971280467,32,5.43393164760873,X1;X8X11;Y8Y11;X2Y12
38,3.9,0.2696189437348512,35760,33420,1.4488337810843808,15.124267151052921,32,4.706023536698631,X1;X8X11;Y8Y11;X2Y12
39,4.0,0.25439076336622096,36470,34070,1.4087409415654462,14.849513412367703,32,4.155022790450741,X1;X8X11;Y8Y11;X2Y12
