step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,2.9459147266587666,360,300,5.075209842345332,26.134463170437957,8,nan,X1
1,0.2,2.9414743730840436,720,600,5.066674133522841,26.137627804362815,8,nan,X1
2,0.3,2.938650236887145,1080,900,5.060046161676807,26.15142803066855,8,nan,X1
3,0.4,2.9375495989652993,1440,1200,5.058113380263027,26.153777733734767,8,nan,X1
4,0.5,2.935053757126399,1800,1500,5.053038267934751,26.160578251844562,8,nan,X1
5,0.6,2.9349470799756627,2160,1800,5.052831753232676,26.158527681927914,8,nan,X1
6,0.7,2.9348729742347714,2520,2100,5.05264996448794,26.156509014330613,8,nan,X1
7,0.8,2.9348729742347714,2880,2400,5.05264996448794,26.156509014330613,8,nan,X1
8,0.9,2.9348729742347714,3240,2700,5.05264996448794,26.156509014330613,8,nan,X1
9,1.0,2.9348729742347714,3600,3000,5.05264996448794,26.156509014330613,8,nan,X1
10,1.1,1.1330142219840882,11650,10990,3.4869714698734393,19.19405273734361,16,nan,X1;X6X8
11,1.2,0.7970150040293509,12010,11290,2.8233856570069413,14.608505274114599,16,nan,X1;X6X8
12,1.3,0.7928703008358048,12370,11590,2.8141703529875097,14.7690780926427,16,nan,X1;X6X8
13,1.4,0.7911660861867784,12730,11890,2.8034974275296163,14.94999734667791,16,nan,X1;X6X8
14,1.5,0.7847679730793801,13090,12190,2.791146594760881,14.755532431722484,16,nan,X1;X6X8
15,1.6,0.7847679730793801,13450,12490,2.791146594760881,14.755532431722484,16,nan,X1;X6X8
16,1.7,0.7847679730793801,13810,12790,2.791146594760881,14.755532431722484,16,nan,X1;X6X8
17,1.8,0.7847679730793801,14170,13090,2.791146594760881,14.755532431722484,16,nan,X1;X6X8
18,1.9,0.7847679730793801,14530,13390,2.791146594760881,14.755532431722484,16,nan,X1;X6X8
19,2.0,0.7847679730793801,14890,13690,2.791146594760881,14.755532431722484,16,nan,X1;X6X8
20,2.1,0.3009298335830103,22940,21680,1.7561643233871163,10.470640861085537,24,nan,X1;X6X8;Y12Z13
21,2.2,0.3009298335830103,23300,21980,1.7561643233871163,10.470640861085537,24,nan,X1;X6X8;Y12Z13
22,2.3,0.3009298335830103,23660,22280,1.7561643233871163,10.470640861085537,24,nan,X1;X6X8;Y12Z13
23,2.4,0.3009298335830103,24020,22580,1.7561643233871163,10.470640861085537,24,nan,X1;X6X8;Y12Z13
24,2.5,0.3009298335830103,24380,22880,1.7561643233871163,10.470640861085537,24,nan,X1;X6X8;Y12Z13
25,2.6,0.3009298335830103,24740,23180,1.7561643233871163,10.470640861085537,24,nan,X1;X6X8;Y12Z13
26,2.7,0.3009298335830103,25100,23480,1.7561643233871163,10.470640861085537,24,nan,X1;X6X8;Y12Z13
27,2.8,0.3009298335830103,25460,23780,1.7561643233871163,10.470640861085537,24,nan,X1;X6X8;Y12Z13
28,2.9,0.3009298335830103,25820,24080,1.7561643233871163,10.470640861085537,24,nan,X1;X6X8;Y12Z13
29,3.0,0.3009298335830103,26180,24380,1.7561643233871163,10.470640861085537,24,nan,X1;X6X8;Y12Z13
30,3.1,0.13512105284957535,34270,32410,1.1282023349876211,8.159451230274545,32,nan,X1;X6X8;Y12Z13;Y10Z11
31,3.2,0.13512105284957535,34670,32750,1.1282023349876211,8.159451230274545,32,nan,X1;X6X8;Y12Z13;Y10Z11
32,3.3,0.13512105284957535,35070,33090,1.1282023349876211,8.159451230274545,32,nan,X1;X6X8;Y12Z13;Y10Z11
33,3.4,0.13512105284957535,35470,33430,1.1282023349876211,8.159451230274545,32,nan,X1;X6X8;Y12Z13;Y10Z11
34,3.5,0.13512105284957535,35870,33770,1.1282023349876211,8.159451230274545,32,nan,X1;X6X8;Y12Z13;Y10Z11
35,3.6,0.13512105284957535,36270,34110,1.1282023349876211,8.159451230274545,32,nan,X1;X6X8;Y12Z13;Y10Z11
36,3.7,0.13512105284957535,36670,34450,1.1282023349876211,8.159451230274545,32,nan,X1;X6X8;Y12Z13;Y10Z11
37,3.8,0.13512105284957535,37070,34790,1.1282023349876211,8.159451230274545,32,nan,X1;X6X8;Y12Z13;Y10Z11
38,3.9,0.13512105284957535,37470,35130,1.1282023349876211,8.159451230274545,32,nan,X1;X6X8;Y12Z13;Y10Z11
39,4.0,0.13512105284957535,37870,35470,1.1282023349876211,8.159451230274545,32,nan,X1;X6X8;Y12Z13;Y10Z11
