step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,1.9416384557009823,1680,1620,3.1277111900352565,24.21958612972858,8,179.562550606755,X1
1,0.2,1.937516003422659,3360,3240,3.1242879343737036,24.215788437346326,8,0.006421652211941747,X1
2,0.3,1.933398805566487,5040,4860,3.120864055254388,24.211987600166374,8,0.006417567792424277,X1
3,0.4,1.929286903455723,6720,6480,3.1174395743888956,24.208183651342804,8,0.006413448531615111,X1
4,0.5,1.9251803382892205,8400,8100,3.114014513502541,24.204376624111873,8,0.0064092944591743976,X1
5,0.6,1.921079151140526,10080,9720,3.1105888943339677,24.20056655179114,8,0.006405105604874877,X1
6,0.7,1.9169833829564424,11760,11340,3.1071627386344476,24.196753467778457,8,0.006400881999117757,X1
7,0.8,1.9128930745549448,13440,12960,3.1037360681664907,24.1929374055501,8,0.006396623673676797,X1
8,0.9,1.9088082666244093,15120,14580,3.1003089047035797,24.189118398660124,8,0.006392330660089947,X1
9,1.0,1.904728999721908,16800,16200,3.0968812700291535,24.185296480738902,8,0.006388002990998454,X1
10,1.1,1.9006553142718865,23130,22470,3.09345318593582,24.181471685491893,16,0.006383640699439445,X1;X2Y3
11,1.2,1.896587250564659,28970,28250,3.0900246742245234,24.177644046698404,16,0.006379243819312626,X1;X2Y3
12,1.3,1.8925248487551798,34810,34030,3.086595756703721,24.173813598210348,16,0.006374812384776897,X1;X2Y3
13,1.4,1.888468148861315,40650,39810,3.083166455188381,24.169980373950587,16,0.006370346431327287,X1;X2Y3
14,1.5,1.884417190762864,46490,45590,3.0797367914993927,24.16614440791211,16,0.00636584599439946,X1;X2Y3
15,1.6,1.8803720142002658,52330,51370,3.076306787462805,24.162305734156625,16,0.006361311109797791,X1;X2Y3
16,1.7,1.8763326587724132,58170,57150,3.0728764649082616,24.15846438681255,16,0.0063567418154019985,X1;X2Y3
17,1.8,1.8722991639367579,64010,62930,3.069445845669367,24.154620400074904,16,0.006352138147511311,X1;X2Y3
18,1.9,1.8682715690069185,69850,68710,3.066014951581918,24.150773808202917,16,0.006347500144578465,X1;X2Y3
19,2.0,1.8642499131514823,75690,74490,3.0625838044831077,24.14692464551872,16,0.0063428278456006916,X1;X2Y3
20,2.1,1.8602342354022854,88740,87480,3.059152426218862,24.143072946415167,24,0.0063381212890525175,X1;X2Y3;X0X1
21,2.2,1.856224574625434,101300,99980,3.0557208386193615,24.139218745327913,24,0.006333380515377709,X1;X2Y3;X0X1
22,2.3,1.852220969547931,113860,112480,3.052289063521873,24.135362076760494,24,0.006328605563923947,X1;X2Y3;X0X1
23,2.4,1.8482234587466235,126420,124980,3.0488571227615817,24.13150297527353,24,0.006323796476167151,X1;X2Y3;X0X1
24,2.5,1.8442320806474126,138980,137480,3.045425038171064,24.127641475483788,24,0.006318953293228015,X1;X2Y3;X0X1
25,2.6,1.8402468735240982,151540,149980,3.0419928315794587,24.12377761206248,24,0.006314076056792485,X1;X2Y3;X0X1
26,2.7,1.836267875497183,164100,162480,3.038560524811587,24.119911419733942,24,0.006309164809185751,X1;X2Y3;X0X1
27,2.8,1.8322951245320638,176660,174980,3.0351281396865533,24.116042933273498,24,0.006304219593931024,X1;X2Y3;X0X1
28,2.9,1.8283286584389307,189220,187480,3.031695698017736,24.112172187506676,24,0.006299240453773053,X1;X2Y3;X0X1
29,3.0,1.8243685148710724,201780,199980,3.0282632216114465,24.108299217307376,24,0.006294227432582425,X1;X2Y3;X0X1
30,3.1,4.002513611610501,224110,222250,6.243952681550792,29.130645632815575,32,27.67382077100884,X1;X2Y3;X0X1;Y1
31,3.2,3.8406325718481176,245950,244030,6.130369356594423,28.640258967347464,32,0.04010681054842824,X1;X2Y3;X0X1;Y1
32,3.3,3.675167980076044,267790,265810,6.007679405617111,28.107180515217483,32,0.040590992122973464,X1;X2Y3;X0X1;Y1
33,3.4,3.5074678203898415,289630,287590,5.874457809594851,27.527217729992895,32,0.040907933449684096,X1;X2Y3;X0X1;Y1
34,3.5,3.3388288733263676,311470,309370,5.727621528125282,26.90637676442472,32,0.04105505087748587,X1;X2Y3;X0X1;Y1
35,3.6,3.1693785602665265,333310,331150,5.556916535653954,26.274726210420773,32,0.04109536198655302,X1;X2Y3;X0X1;Y1
36,3.7,3.0035662851402947,355150,352930,5.342251051412991,25.62434172547939,32,0.04162059710181898,X1;X2Y3;X0X1;Y1
37,3.8,2.9033230973742974,376990,374710,5.261639127262304,25.122149310462255,32,0.031598457719562156,X1;X2Y3;X0X1;Y1
38,3.9,2.8010570380865882,398830,396490,5.1742433369086775,24.57708556177437,32,0.03186851002363061,X1;X2Y3;X0X1;Y1
39,4.0,2.6940348542692654,420670,418270,5.074610702150423,24.240622372946838,32,0.032385610236276424,X1;X2Y3;X0X1;Y1
