step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,7.299409337112087,1680,1620,8.1696318256412,32.68709453583186,8,227.0963377923825,X1
1,0.2,7.274095715245583,3360,3240,8.158889291019166,32.66116014734369,8,0.015895619502977628,X1
2,0.3,7.248596465537475,5040,4860,8.148016349744553,32.63482886740767,8,0.01595403637865176,X1
3,0.4,7.22291333816028,6720,6480,8.137012576772236,32.60809899234186,8,0.01601170031502383,X1
4,0.5,7.197048169224178,8400,8100,8.125877580428417,32.58096892594133,8,0.01606859269242954,X1
5,0.6,7.171002880935201,10080,9720,8.114611003190507,32.55343718219253,8,0.01612469499044449,X1
6,0.7,7.144779481677835,11760,11340,8.103212522455996,32.52550238794932,8,0.01617998879854825,X1
7,0.8,7.118380066007475,13440,12960,8.091681851292936,32.49716328554965,8,0.016234455834738478,X1
8,0.9,7.09180681456326,15120,14580,8.080018739177646,32.46841873538919,8,0.01628807795637192,X1
9,1.0,7.065061993885146,16800,16200,8.068222972710087,32.43926771842183,8,0.016340837180748195,X1
10,1.1,8.719650454575282,23130,22470,7.948587200085484,36.54550554522389,16,151.05764104471703,X1;X1Z3
11,1.2,8.62772357501332,28970,28250,7.91216155145589,36.41311825899874,16,0.03013490734283789,X1;X1Z3
12,1.3,8.531293705887279,34810,34030,7.873746755753474,36.272971222384754,16,0.030870935608436987,X1;X1Z3
13,1.4,8.43031871600432,40650,39810,7.833290595582785,36.12484899322743,16,0.03159730917766278,X1;X1Z3
14,1.5,8.324778226258518,46490,45590,7.7907463034453,35.968557937350965,16,0.03231139217491603,X1;X1Z3
15,1.6,8.214675593820767,52330,51370,7.746073383681976,35.80392959696946,16,0.03301045923194453,X1;X1Z3
16,1.7,8.100039737471443,58170,57150,7.699238431685954,35.630824045103616,16,0.033691715438871554,X1;X1Z3
17,1.8,7.980926748567448,64010,62930,7.650215934967679,35.44913316145745,16,0.03435231919458683,X1;X1Z3
18,1.9,7.857421231441135,69850,68710,7.598989039271118,35.2587837595772,16,0.03498940778124886,X1;X1Z3
19,2.0,7.72963731825938,75690,74490,7.5455502619109875,35.05974049103653,16,0.035600125405595984,X1;X1Z3
20,2.1,8.173001461826399,88740,87480,7.86735936297348,30.40547952915789,24,141.10868454770377,X1;X1Z3;X1Z3
21,2.2,8.099391895155994,101300,99980,7.819802031571458,30.243780834724642,24,0.02687654797012994,X1;X1Z3;X1Z3
22,2.3,8.020124512729524,113860,112480,7.7690334494068,30.07181624180491,24,0.02789628046472409,X1;X1Z3;X1Z3
23,2.4,7.934914632866528,126420,124980,7.714885919017789,29.889124180435328,24,0.028929935354293043,X1;X1Z3;X1Z3
24,2.5,7.843495944980173,138980,137480,7.657196119217122,29.705063215051545,24,0.029973290164469486,X1;X1Z3;X1Z3
25,2.6,7.745627617290265,151540,149980,7.595807946735159,29.524336956011922,24,0.03102156051747258,X1;X1Z3;X1Z3
26,2.7,7.641102047187743,164100,162480,7.5305756958034635,29.33170674939877,24,0.0320693971170498,X1;X1Z3;X1Z3
27,2.8,7.529753106749546,176660,174980,7.461367542522737,29.126776998285155,24,0.0331108968216715,X1;X1Z3;X1Z3
28,2.9,7.4114646758619,189220,187480,7.3880692796035055,28.909213481030523,24,0.03413963037908722,X1;X1Z3;X1Z3
29,3.0,7.286179193087898,201780,199980,7.310588223557897,28.678756236802272,24,0.03514868913353442,X1;X1Z3;X1Z3
30,3.1,6.984027863438625,224110,222250,6.448527119268156,28.724906671677267,32,145.4256953680837,X1;X1Z3;X1Z3;X1Z2
31,3.2,6.982366413868855,245950,244030,6.4467910608085495,28.71653002586546,32,0.004068259216426877,X1;X1Z3;X1Z3;X1Z2
32,3.3,6.980678191510507,267790,265810,6.444989057815702,28.707787839272328,32,0.004100251293889112,X1;X1Z3;X1Z3;X1Z2
33,3.4,6.9789605121483005,289630,287590,6.443117450348284,28.69866038974675,32,0.0041351665173160945,X1;X1Z3;X1Z3;X1Z2
34,3.5,6.977210427846161,311470,309370,6.441172344716091,28.68912674667175,32,0.004173239967271932,X1;X1Z3;X1Z3;X1Z2
35,3.6,6.9754247005799686,333310,331150,6.4391495965811645,28.679164688732115,32,0.004214721998054851,X1;X1Z3;X1Z3;X1Z2
36,3.7,6.973599773210005,355150,352930,6.4370447927030545,28.668750615497828,32,0.004259878668133311,X1;X1Z3;X1Z3;X1Z2
37,3.8,6.971731737523859,376990,374710,6.434853231213757,28.657859452341214,32,0.004308992109897998,X1;X1Z3;X1Z3;X1Z2
38,3.9,6.969816299052218,398830,396490,6.43256990029539,28.64646454815188,32,0.004362360834835623,X1;X1Z3;X1Z3;X1Z2
39,4.0,6.967848738332414,420670,418270,6.430189455125103,28.63453756528704,32,0.004420299965782273,X1;X1Z3;X1Z3;X1Z2
