step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,6.188945977003561,360,300,7.714131068243408,26.131255776392283,8,nan,X1
1,0.2,6.17670841917718,720,600,7.716043481937996,25.685266674423286,8,nan,X1
2,0.3,6.150186737850396,1080,900,7.708989308122724,25.199551609171944,8,nan,X1
3,0.4,6.132343656482808,1440,1200,7.706533720332879,24.837551865136373,8,nan,X1
4,0.5,6.1253034409729485,1800,1500,7.701951244855353,24.776081651064594,8,nan,X1
5,0.6,6.125256406559245,2160,1800,7.701885702387303,24.773940505328234,8,nan,X1
6,0.7,6.125256406559245,2520,2100,7.701885702387303,24.773940505328234,8,nan,X1
7,0.8,6.125256406559245,2880,2400,7.701885702387303,24.773940505328234,8,nan,X1
8,0.9,6.125256406559245,3240,2700,7.701885702387303,24.773940505328234,8,nan,X1
9,1.0,6.125256406559245,3600,3000,7.701885702387303,24.773940505328234,8,nan,X1
10,1.1,2.3528983118223143,11650,10990,4.875398665769321,15.358805178843522,16,nan,X1;X7X8
11,1.2,2.3528983118223143,12010,11290,4.875398665769321,15.358805178843522,16,nan,X1;X7X8
12,1.3,2.3528983118223143,12370,11590,4.875398665769321,15.358805178843522,16,nan,X1;X7X8
13,1.4,2.3528983118223143,12730,11890,4.875398665769321,15.358805178843522,16,nan,X1;X7X8
14,1.5,2.3528983118223143,13090,12190,4.875398665769321,15.358805178843522,16,nan,X1;X7X8
15,1.6,2.3528983118223143,13450,12490,4.875398665769321,15.358805178843522,16,nan,X1;X7X8
16,1.7,2.3528983118223143,13810,12790,4.875398665769321,15.358805178843522,16,nan,X1;X7X8
17,1.8,2.3528983118223143,14170,13090,4.875398665769321,15.358805178843522,16,nan,X1;X7X8
18,1.9,2.3528983118223143,14530,13390,4.875398665769321,15.358805178843522,16,nan,X1;X7X8
19,2.0,2.3528983118223143,14890,13690,4.875398665769321,15.358805178843522,16,nan,X1;X7X8
20,2.1,0.6012842337825701,22940,21680,2.6003414526270623,10.388686064823041,24,nan,X1;X7X8;X10X14
21,2.2,0.6012842337825701,23300,21980,2.6003414526270623,10.388686064823041,24,nan,X1;X7X8;X10X14
22,2.3,0.6012842337825701,23660,22280,2.6003414526270623,10.388686064823041,24,nan,X1;X7X8;X10X14
23,2.4,0.6012842337825701,24020,22580,2.6003414526270623,10.388686064823041,24,nan,X1;X7X8;X10X14
24,2.5,0.6012842337825701,24380,22880,2.6003414526270623,10.388686064823041,24,nan,X1;X7X8;X10X14
25,2.6,0.6012842337825701,24740,23180,2.6003414526270623,10.388686064823041,24,nan,X1;X7X8;X10X14
26,2.7,0.6012842337825701,25100,23480,2.6003414526270623,10.388686064823041,24,nan,X1;X7X8;X10X14
27,2.8,0.6012842337825701,25460,23780,2.6003414526270623,10.388686064823041,24,nan,X1;X7X8;X10X14
28,2.9,0.6012842337825701,25820,24080,2.6003414526270623,10.388686064823041,24,nan,X1;X7X8;X10X14
29,3.0,0.6012842337825701,26180,24380,2.6003414526270623,10.388686064823041,24,nan,X1;X7X8;X10X14
30,3.1,0.17276954248339826,34270,32410,1.2376338626239374,7.209913753368035,32,nan,X1;X7X8;X10X14;X4X13
31,3.2,0.12987125335636798,34670,32750,0.9949637774562106,8.112833356237335,32,nan,X1;X7X8;X10X14;X4X13
32,3.3,0.0942222047256541,35070,33090,0.8517007800701292,6.214848113074943,32,nan,X1;X7X8;X10X14;X4X13
33,3.4,0.09066197229543825,35470,33430,0.8293865953962907,6.272617155894511,32,nan,X1;X7X8;X10X14;X4X13
34,3.5,0.0894287310926408,35870,33770,0.8193267845732137,6.356347839301393,32,nan,X1;X7X8;X10X14;X4X13
35,3.6,0.0894287310926408,36270,34110,0.8193267845732137,6.356347839301393,32,nan,X1;X7X8;X10X14;X4X13
36,3.7,0.0894287310926408,36670,34450,0.8193267845732137,6.356347839301393,32,nan,X1;X7X8;X10X14;X4X13
37,3.8,0.0894287310926408,37070,34790,0.8193267845732137,6.356347839301393,32,nan,X1;X7X8;X10X14;X4X13
38,3.9,0.0894287310926408,37470,35130,0.8193267845732137,6.356347839301393,32,nan,X1;X7X8;X10X14;X4X13
39,4.0,0.0894287310926408,37870,35470,0.8193267845732137,6.356347839301393,32,nan,X1;X7X8;X10X14;X4X13
