step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,nan,0.40778305066195986,60,0,1.7062519527664184,14.398305589421955,72,nan,qnn_L3_r0
1,nan,0.1900728315555777,1580,1460,1.2974469256555863,14.202277714854507,72,nan,qnn_L3_r0
2,nan,0.12609468555115855,2370,2190,1.0817161039797423,14.09004914621884,72,nan,qnn_L3_r0
3,nan,0.04340655312467526,3160,2920,0.5469485295827431,14.025125308750148,72,nan,qnn_L3_r0
4,nan,0.02961782839043696,4680,4380,0.5003850523798945,14.07521619120666,72,nan,qnn_L3_r0
5,nan,0.023402400848872348,5470,5110,0.43806159255877086,14.154718046468458,72,nan,qnn_L3_r0
6,nan,0.011261369629137052,6260,5840,0.3058769048729176,14.14258615828496,72,nan,qnn_L3_r0
7,nan,0.006944491769051012,7050,6570,0.2591210294825468,14.064119470218568,72,nan,qnn_L3_r0
8,nan,0.004527385108517065,7840,7300,0.20517756019673133,13.991677335559508,72,nan,qnn_L3_r0
9,nan,0.0018598860249595178,8630,8030,0.12301964787983484,13.941526521553628,72,nan,qnn_L3_r0
10,nan,0.001152554441434342,9420,8760,0.10177403013298454,13.94968684574967,72,nan,qnn_L3_r0
11,nan,0.000715729325249733,10210,9490,0.0771078490396846,13.952689593828499,72,nan,qnn_L3_r0
12,nan,0.00033488154189661556,11000,10220,0.050474190489677204,13.979263527528756,72,nan,qnn_L3_r0
13,nan,0.00011510743762460721,11790,10950,0.028399545552600845,14.017563657495947,72,nan,qnn_L3_r0
14,nan,3.141167803448932e-05,12580,11680,0.016033808325452883,14.060550366870414,72,nan,qnn_L3_r0
15,nan,1.4166111558357597e-05,13370,12410,0.010278527834801435,14.068471391319989,72,nan,qnn_L3_r0
16,nan,2.802242389366969e-06,14160,13140,0.0051984798363804464,14.067860930451696,72,nan,qnn_L3_r0
17,nan,1.7227528904149484e-06,14950,13870,0.003833360566388454,14.069150232724693,72,nan,qnn_L3_r0
18,nan,4.1903100096515295e-07,15740,14600,0.0018096507410216502,14.07162718763271,72,nan,qnn_L3_r0
19,nan,5.058923345502163e-08,16530,15330,0.0006295708628058362,14.072451319561361,72,nan,qnn_L3_r0
20,nan,2.4360339552175617e-08,17320,16060,0.0004973529416946528,14.071940320775006,72,nan,qnn_L3_r0
21,nan,7.613697594652097e-10,18110,16790,7.825195734948538e-05,14.071957769066719,72,nan,qnn_L3_r0
22,nan,7.613697594652097e-10,18170,16790,7.825195734948538e-05,14.071957769066719,72,nan,qnn_L3_r0
