step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,3.8222661333544923,360,300,5.6086923297718005,25.98796237601952,8,nan,X1
1,0.2,3.75085920257084,720,600,5.38374437409857,24.824376607056177,8,nan,X1
2,0.3,3.75085920257084,1080,900,5.38374437409857,24.824376607056177,8,nan,X1
3,0.4,3.6945358196473905,1440,1200,5.3247172588551095,24.80267873322018,8,nan,X1
4,0.5,3.7561334962288697,1800,1500,5.411652028375615,25.250152747956147,8,nan,X1
5,0.6,3.7004046703685787,2160,1800,5.318160583450006,24.767507731422487,8,nan,X1
6,0.7,3.6983447590785277,2520,2100,5.334416728681489,24.822289277110745,8,nan,X1
7,0.8,3.6974902444653837,2880,2400,5.328685815209408,24.79963995107836,8,nan,X1
8,0.9,3.704628608973751,3240,2700,5.361986779263401,24.91612151986678,8,nan,X1
9,1.0,3.7008118229507567,3600,3000,5.311896564029649,24.90155074299376,8,nan,X1
10,1.1,1.1087940685715356,8290,7630,3.082749295869357,14.497776756744079,16,nan,X1;X6X9
11,1.2,1.0261302178071625,8650,7930,2.870318726336441,14.029822524788527,16,nan,X1;X6X9
12,1.3,1.0343433570055531,9010,8230,2.847787716578663,14.033362694982904,16,nan,X1;X6X9
13,1.4,1.0893042198755445,9370,8530,3.151451838062372,15.456532988558097,16,nan,X1;X6X9
14,1.5,1.0670773980855635,9730,8830,2.9514447613406007,14.999468209782554,16,nan,X1;X6X9
15,1.6,1.1041681186712677,10090,9130,2.977418757333955,15.094022861068105,16,nan,X1;X6X9
16,1.7,0.964257163552475,10450,9430,2.9441143326493324,14.48351412497361,16,nan,X1;X6X9
17,1.8,0.9692899754838024,10810,9730,2.884348386164486,14.533415715313796,16,nan,X1;X6X9
18,1.9,0.9787704796906865,11170,10030,2.789562992917151,15.03668316691702,16,nan,X1;X6X9
19,2.0,0.9002498032472367,11530,10330,2.753953495335663,14.00400924773821,16,nan,X1;X6X9
20,2.1,0.2497765690679702,16220,14960,1.9384334500189704,12.48411481531488,24,nan,X1;X6X9;X4Y10
21,2.2,0.21941726597998862,16580,15260,1.7632611727290197,11.193636754123697,24,nan,X1;X6X9;X4Y10
22,2.3,0.19224506454327533,16940,15560,1.7405932759508103,10.3423811593041,24,nan,X1;X6X9;X4Y10
23,2.4,0.23186404692836654,17300,15860,1.8432059421220157,12.178041979168796,24,nan,X1;X6X9;X4Y10
24,2.5,0.19572624389336266,17660,16160,1.728269843100109,11.617302661121991,24,nan,X1;X6X9;X4Y10
25,2.6,0.2120519945661881,18020,16460,1.7957262977031088,12.076962429510822,24,nan,X1;X6X9;X4Y10
26,2.7,0.2120519945661881,18380,16760,1.7957262977031088,12.076962429510822,24,nan,X1;X6X9;X4Y10
27,2.8,0.21683660999431914,18740,17060,1.8087387548507678,12.03645255032785,24,nan,X1;X6X9;X4Y10
28,2.9,0.21459133576150038,19100,17360,1.8046800666462635,12.003150089226999,24,nan,X1;X6X9;X4Y10
29,3.0,0.23908012693498648,19460,17660,1.8578660466044972,12.370204473130842,24,nan,X1;X6X9;X4Y10
30,3.1,0.20438319994920756,24190,22330,1.7880888115606979,11.239357472238373,32,nan,X1;X6X9;X4Y10;Z3
31,3.2,0.2145274194636398,24590,22670,1.7897783568533931,11.634078135315837,32,nan,X1;X6X9;X4Y10;Z3
32,3.3,0.19798038760808578,24990,23010,1.7798640692593841,11.566247129088467,32,nan,X1;X6X9;X4Y10;Z3
33,3.4,0.19774351777639732,25390,23350,1.778877650341019,11.567361245094386,32,nan,X1;X6X9;X4Y10;Z3
34,3.5,0.2154693380776241,25790,23690,1.8077743018883117,11.80336858008238,32,nan,X1;X6X9;X4Y10;Z3
35,3.6,0.21546933807762414,26190,24030,1.807774301888312,11.803368580082376,32,nan,X1;X6X9;X4Y10;Z3
36,3.7,0.21106033655839465,26590,24370,1.797990417055958,11.952382210156182,32,nan,X1;X6X9;X4Y10;Z3
37,3.8,0.22579916561435392,26990,24710,1.867345784857854,12.070812231612482,32,nan,X1;X6X9;X4Y10;Z3
38,3.9,0.22579916561435398,27390,25050,1.867345784857854,12.070812231612484,32,nan,X1;X6X9;X4Y10;Z3
39,4.0,0.21154676632827532,27790,25390,1.8210010895278463,11.453838741322963,32,nan,X1;X6X9;X4Y10;Z3
