step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,27.895962249635797,3150,3000,50.87861128360949,28.049677737955783,8,nan,X1
1,0.2,26.78586266360489,6300,6000,50.118971431571055,27.078156993199446,8,nan,X1
2,0.3,26.784700333567265,9450,9000,50.11840871976938,27.078207266117097,8,nan,X1
3,0.4,26.78407755864469,12600,12000,50.11912262240963,27.07893755119778,8,nan,X1
4,0.5,26.779342218335756,15750,15000,50.1184827297285,27.07983858874287,8,nan,X1
5,0.6,26.779342218335756,18900,18000,50.1184827297285,27.07983858874287,8,nan,X1
6,0.7,26.779342218335756,22050,21000,50.1184827297285,27.07983858874287,8,nan,X1
7,0.8,26.779342218335756,25200,24000,50.1184827297285,27.07983858874287,8,nan,X1
8,0.9,26.779342218335756,28350,27000,50.1184827297285,27.07983858874287,8,nan,X1
9,1.0,26.779342218335756,31500,30000,50.1184827297285,27.07983858874287,8,nan,X1
10,1.1,8.247160325313102,77950,76300,29.326791549138004,16.24993312474906,16,nan,X1;X6Y10
11,1.2,7.780408792330186,81100,79300,28.17167074551186,15.96553218751704,16,nan,X1;X6Y10
12,1.3,7.780360742239137,84250,82300,28.171556538344067,15.965909207813562,16,nan,X1;X6Y10
13,1.4,7.780360742239137,87400,85300,28.171556538344067,15.965909207813562,16,nan,X1;X6Y10
14,1.5,7.780360742239137,90550,88300,28.171556538344067,15.965909207813562,16,nan,X1;X6Y10
15,1.6,7.780360742239137,93700,91300,28.171556538344067,15.965909207813562,16,nan,X1;X6Y10
16,1.7,7.780360742239137,96850,94300,28.171556538344067,15.965909207813562,16,nan,X1;X6Y10
17,1.8,7.780360742239137,100000,97300,28.171556538344067,15.965909207813562,16,nan,X1;X6Y10
18,1.9,7.780360742239137,103150,100300,28.171556538344067,15.965909207813562,16,nan,X1;X6Y10
19,2.0,7.780360742239137,106300,103300,28.171556538344067,15.965909207813562,16,nan,X1;X6Y10
20,2.1,3.7852925262344908,152750,149600,18.101568934244213,10.779437903275618,24,nan,X1;X6Y10;Y5
21,2.2,3.7806719940862155,155900,152600,18.102375893205316,10.770368400213705,24,nan,X1;X6Y10;Y5
22,2.3,3.7806719940862155,159050,155600,18.102375893205316,10.770368400213705,24,nan,X1;X6Y10;Y5
23,2.4,3.7806719940862155,162200,158600,18.102375893205316,10.770368400213705,24,nan,X1;X6Y10;Y5
24,2.5,3.7806719940862155,165350,161600,18.102375893205316,10.770368400213705,24,nan,X1;X6Y10;Y5
25,2.6,3.7806719940862155,168500,164600,18.102375893205316,10.770368400213705,24,nan,X1;X6Y10;Y5
26,2.7,3.7806719940862155,171650,167600,18.102375893205316,10.770368400213705,24,nan,X1;X6Y10;Y5
27,2.8,3.7806719940862155,174800,170600,18.102375893205316,10.770368400213705,24,nan,X1;X6Y10;Y5
28,2.9,3.7806719940862155,177950,173600,18.102375893205316,10.770368400213705,24,nan,X1;X6Y10;Y5
29,3.0,3.7806719940862155,181100,176600,18.102375893205316,10.770368400213705,24,nan,X1;X6Y10;Y5
30,3.1,2.330102538655112,227950,223300,17.338960217193616,8.361276214884196,32,nan,X1;X6Y10;Y5;Y3
31,3.2,2.330102538655112,231500,226700,17.338960217193616,8.361276214884196,32,nan,X1;X6Y10;Y5;Y3
32,3.3,2.330102538655112,235050,230100,17.338960217193616,8.361276214884196,32,nan,X1;X6Y10;Y5;Y3
33,3.4,2.330102538655112,238600,233500,17.338960217193616,8.361276214884196,32,nan,X1;X6Y10;Y5;Y3
34,3.5,2.330102538655112,242150,236900,17.338960217193616,8.361276214884196,32,nan,X1;X6Y10;Y5;Y3
35,3.6,2.330102538655112,245700,240300,17.338960217193616,8.361276214884196,32,nan,X1;X6Y10;Y5;Y3
36,3.7,2.330102538655112,249250,243700,17.338960217193616,8.361276214884196,32,nan,X1;X6Y10;Y5;Y3
37,3.8,2.330102538655112,252800,247100,17.338960217193616,8.361276214884196,32,nan,X1;X6Y10;Y5;Y3
38,3.9,2.330102538655112,256350,250500,17.338960217193616,8.361276214884196,32,nan,X1;X6Y10;Y5;Y3
39,4.0,2.330102538655112,259900,253900,17.338960217193616,8.361276214884196,32,nan,X1;X6Y10;Y5;Y3
