step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,nan,0.7799749818100972,60,0,2.417672154846063,15.317652621570156,8,nan,qnn_L1_r0
1,nan,0.5740741527912191,220,100,2.39290250110008,16.20458036814027,8,nan,qnn_L1_r0
2,nan,0.5701341197081038,300,120,2.3769754886808574,16.363026034855505,8,nan,qnn_L1_r0
3,nan,0.5698609917338773,380,140,2.386056435843182,16.37938864872039,8,nan,qnn_L1_r0
4,nan,0.5259927113187793,450,150,2.3893951814827714,16.850552052014102,8,nan,qnn_L1_r0
5,nan,0.5259927113187793,530,170,2.3893951814827714,16.850552052014102,8,nan,qnn_L1_r0
6,nan,0.5259927113187793,610,190,2.3893951814827714,16.850552052014102,8,nan,qnn_L1_r0
7,nan,0.4890615859414934,680,200,2.25826595691332,16.5878509140362,8,nan,qnn_L1_r0
8,nan,0.4737406755768214,750,210,2.24756004178555,16.32233357891472,8,nan,qnn_L1_r0
9,nan,0.44456472852376083,820,220,2.2500813040027934,16.117269454913234,8,nan,qnn_L1_r0
10,nan,0.43664279668594846,890,230,2.2932676914853847,15.494658024869539,8,nan,qnn_L1_r0
11,nan,0.4354806500614261,960,240,2.3208549957829736,14.992773592115224,8,nan,qnn_L1_r0
12,nan,0.42340946737470325,1030,250,2.318964284367378,15.007382474956271,8,nan,qnn_L1_r0
13,nan,0.3896233135448987,1100,260,2.287850796098721,15.243583580525314,8,nan,qnn_L1_r0
14,nan,0.37460038277823915,1170,270,2.27392474744225,15.042542456081845,8,nan,qnn_L1_r0
15,nan,0.3659065064527247,1240,280,2.2554185176348067,15.977129558520135,8,nan,qnn_L1_r0
16,nan,0.365538912218486,1310,290,2.248012180754257,16.09696178372345,8,nan,qnn_L1_r0
17,nan,0.365538912218486,1390,310,2.248012180754257,16.09696178372345,8,nan,qnn_L1_r0
18,nan,0.35224471630185206,1460,320,2.2402347812629646,15.767203655727322,8,nan,qnn_L1_r0
19,nan,0.3476981933457159,1540,340,2.2404025948373087,15.401920875625336,8,nan,qnn_L1_r0
20,nan,0.3458774122783988,1610,350,2.2371802132615874,15.263188785164171,8,nan,qnn_L1_r0
21,nan,0.3458774122783988,1680,360,2.2371802132615874,15.263188785164171,8,nan,qnn_L1_r0
22,nan,0.3458774122783988,1750,370,2.2371802132615874,15.263188785164171,8,nan,qnn_L1_r0
23,nan,0.34475734826773013,1820,380,2.221743152783066,15.606390628524602,8,nan,qnn_L1_r0
24,nan,0.34475734826773013,1900,400,2.221743152783066,15.606390628524602,8,nan,qnn_L1_r0
25,nan,0.3447413597152955,1980,420,2.221399735719184,15.611770209759596,8,nan,qnn_L1_r0
26,nan,0.3442799192939858,2060,440,2.221314681472634,15.573022437688591,8,nan,qnn_L1_r0
27,nan,0.3432766651218855,2130,450,2.220056192169274,15.483380312692097,8,nan,qnn_L1_r0
28,nan,0.34162386350707674,2200,460,2.218799224786727,15.371811133285739,8,nan,qnn_L1_r0
29,nan,0.33914644126194354,2270,470,2.2161832461721303,15.146005125630385,8,nan,qnn_L1_r0
30,nan,0.33756321012684937,2340,480,2.212951595728232,14.993378519339194,8,nan,qnn_L1_r0
31,nan,0.33691461745078666,2410,490,2.2125170712222246,14.822759733819726,8,nan,qnn_L1_r0
32,nan,0.3361733970970933,2480,500,2.2094091878056137,14.633193454322583,8,nan,qnn_L1_r0
33,nan,0.3352126865047396,2550,510,2.206678706814066,14.596692560216237,8,nan,qnn_L1_r0
34,nan,0.33446833824258715,2630,530,2.204727084590882,14.634532202247188,8,nan,qnn_L1_r0
35,nan,0.3335062644175916,2700,540,2.2007333964557994,14.66301583116528,8,nan,qnn_L1_r0
36,nan,0.3323384069337931,2770,550,2.196835175117182,14.71121512195285,8,nan,qnn_L1_r0
37,nan,0.33099562905673635,2840,560,2.191658792507793,14.7557856463713,8,nan,qnn_L1_r0
38,nan,0.3303442829692232,2910,570,2.188097554558769,14.812153904966046,8,nan,qnn_L1_r0
39,nan,0.32930985783566324,2980,580,2.183286156936855,14.820965066827306,8,nan,qnn_L1_r0
40,nan,0.32857395362015407,3050,590,2.178621013400311,14.861651217396206,8,nan,qnn_L1_r0
41,nan,0.32797594474635255,3120,600,2.1754079017627266,14.858522017813677,8,nan,qnn_L1_r0
42,nan,0.3274879251466124,3190,610,2.1720217147379066,14.879672907321975,8,nan,qnn_L1_r0
43,nan,0.32686106314372576,3260,620,2.1690326653355037,14.868160063088471,8,nan,qnn_L1_r0
44,nan,0.32569620375008673,3330,630,2.1652056573847647,14.812319742036768,8,nan,qnn_L1_r0
45,nan,0.32475926362584345,3400,640,2.16180176325073,14.768838436961286,8,nan,qnn_L1_r0
46,nan,0.32407275306398986,3470,650,2.15668502616121,14.788909963263867,8,nan,qnn_L1_r0
47,nan,0.32248149795590875,3540,660,2.1535097336541535,14.668426680715573,8,nan,qnn_L1_r0
48,nan,0.31976767397862205,3610,670,2.1465871486499974,14.428853022385248,8,nan,qnn_L1_r0
49,nan,0.3170913924299601,3680,680,2.131735572915826,14.105523030954611,8,nan,qnn_L1_r0
50,nan,0.312751274245256,3750,690,2.113453161216164,13.751134931869618,8,nan,qnn_L1_r0
51,nan,0.30959874686508254,3820,700,2.0955890993616295,13.228213534670795,8,nan,qnn_L1_r0
52,nan,0.2972159867028839,3890,710,2.044582342410626,12.867410462064553,8,nan,qnn_L1_r0
53,nan,0.27473091837858626,3960,720,1.9561176014590689,12.408133270840986,8,nan,qnn_L1_r0
54,nan,0.25848080945446883,4030,730,1.83163871830188,11.724184687967496,8,nan,qnn_L1_r0
55,nan,0.2519293792391233,4100,740,1.7030713932243482,10.508816217928098,8,nan,qnn_L1_r0
56,nan,0.23837361252160746,4170,750,1.6743120240426288,10.037702290619876,8,nan,qnn_L1_r0
57,nan,0.23188348775872586,4250,770,1.6443428274797056,9.83017766165803,8,nan,qnn_L1_r0
58,nan,0.22938100240170872,4320,780,1.5435010465482,9.655387636363258,8,nan,qnn_L1_r0
59,nan,0.22580352611381418,4390,790,1.4994695748728186,9.61428592017377,8,nan,qnn_L1_r0
60,nan,0.21699334851376875,4460,800,1.5054866976043075,9.561969838538358,8,nan,qnn_L1_r0
61,nan,0.213877591360619,4530,810,1.5066881168180053,9.556104250120573,8,nan,qnn_L1_r0
62,nan,0.21300055975103843,4600,820,1.5062019037498067,9.580030019643726,8,nan,qnn_L1_r0
63,nan,0.21298577283971068,4680,840,1.5038475507838667,9.587025183213486,8,nan,qnn_L1_r0
64,nan,0.21175088296840625,4750,850,1.5026214626894667,9.576923569785592,8,nan,qnn_L1_r0
65,nan,0.21087949338706183,4820,860,1.4995430331532709,9.566611925978073,8,nan,qnn_L1_r0
66,nan,0.21072758596699948,4890,870,1.4994531127639967,9.554154317604414,8,nan,qnn_L1_r0
67,nan,0.21047397559307873,4960,880,1.4997049134574365,9.555959578359785,8,nan,qnn_L1_r0
68,nan,0.21004174742887427,5030,890,1.4935153197550446,9.55325070205783,8,nan,qnn_L1_r0
69,nan,0.21003258507815983,5110,910,1.4924807663589843,9.563135155358665,8,nan,qnn_L1_r0
70,nan,0.20988134710372838,5180,920,1.4853603833174585,9.565084828476147,8,nan,qnn_L1_r0
71,nan,0.20955560071719428,5250,930,1.4801796112904289,9.560510238234782,8,nan,qnn_L1_r0
72,nan,0.20945015179765838,5320,940,1.4755035232303544,9.567816602182319,8,nan,qnn_L1_r0
73,nan,0.20924833201289555,5390,950,1.4686740001686553,9.568623958505626,8,nan,qnn_L1_r0
74,nan,0.2090956805577318,5460,960,1.464807674804132,9.583655722975832,8,nan,qnn_L1_r0
75,nan,0.20887584963923975,5530,970,1.4583483807920263,9.57851661873006,8,nan,qnn_L1_r0
76,nan,0.20851587507201308,5600,980,1.4543729797055855,9.574757119388527,8,nan,qnn_L1_r0
77,nan,0.20824784928659748,5670,990,1.4488830696112263,9.583268732406687,8,nan,qnn_L1_r0
78,nan,0.2080344768779429,5740,1000,1.4400881303880435,9.586035760205442,8,nan,qnn_L1_r0
79,nan,0.20792422012986103,5810,1010,1.4371952461465027,9.590709670818855,8,nan,qnn_L1_r0
80,nan,0.2078482894604484,5890,1030,1.4353910644385481,9.589644976344022,8,nan,qnn_L1_r0
81,nan,0.2077901918897338,5960,1040,1.4291341138773757,9.584218862661835,8,nan,qnn_L1_r0
82,nan,0.20772690135740415,6030,1050,1.4258823982664905,9.609583322150849,8,nan,qnn_L1_r0
83,nan,0.2076887452796062,6100,1060,1.427823327724592,9.611646421161636,8,nan,qnn_L1_r0
84,nan,0.2076124531663666,6170,1070,1.422433883580656,9.61785656557506,8,nan,qnn_L1_r0
85,nan,0.20758954386093717,6240,1080,1.4167700068238442,9.610921844689809,8,nan,qnn_L1_r0
86,nan,0.2075048622284675,6320,1100,1.4160391666067746,9.60972034747346,8,nan,qnn_L1_r0
87,nan,0.20744557857551074,6400,1120,1.4124391596698909,9.617463173534302,8,nan,qnn_L1_r0
88,nan,0.20733800283052023,6470,1130,1.4151293490044052,9.634014765864736,8,nan,qnn_L1_r0
89,nan,0.20733800283052023,6550,1150,1.4151293490044052,9.634014765864736,8,nan,qnn_L1_r0
90,nan,0.20718514937033972,6620,1160,1.408792649392705,9.651080522496056,8,nan,qnn_L1_r0
91,nan,0.20707191608859182,6690,1170,1.408919542019867,9.666402493534761,8,nan,qnn_L1_r0
92,nan,0.20707189034462412,6760,1180,1.406289808744015,9.696918648256764,8,nan,qnn_L1_r0
93,nan,0.2069512602508551,6830,1190,1.4092508405210655,9.693158123035142,8,nan,qnn_L1_r0
94,nan,0.20685402866092473,6900,1200,1.4083980797727373,9.714149243168013,8,nan,qnn_L1_r0
95,nan,0.20683759926835357,6980,1220,1.4085598137086994,9.716227342048583,8,nan,qnn_L1_r0
96,nan,0.2067515127221448,7050,1230,1.414493664604593,9.718638389955752,8,nan,qnn_L1_r0
97,nan,0.20664529524788838,7120,1240,1.4140277240613317,9.730504053835,8,nan,qnn_L1_r0
98,nan,0.20653617457215806,7190,1250,1.4150119304790112,9.73707983794815,8,nan,qnn_L1_r0
99,nan,0.20651250430889145,7260,1260,1.416591480651133,9.742856578925595,8,nan,qnn_L1_r0
