step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,nan,9.80653078245286,5070,5010,9.91410635431769,49.209333230530305,8,nan,qnn_L1_r2
1,nan,4.539776498273214,5310,5190,6.565097669854363,38.68772685910715,8,nan,qnn_L1_r2
2,nan,2.5431979897227026,5460,5280,4.155089879635483,32.12593684681883,8,nan,qnn_L1_r2
3,nan,1.6651671019805974,5610,5370,2.9793859784783407,25.668723958890183,8,nan,qnn_L1_r2
4,nan,1.035231730179039,5760,5460,2.7355005846520184,17.129549003610094,8,nan,qnn_L1_r2
5,nan,0.8611208807130217,5910,5550,2.377004254093537,14.753208784658417,8,nan,qnn_L1_r2
6,nan,0.805569423035219,6060,5640,2.2254707623828227,14.303213622481978,8,nan,qnn_L1_r2
7,nan,0.8021284845019923,6210,5730,2.229302049973033,14.071384771106786,8,nan,qnn_L1_r2
8,nan,0.8018083972661193,6360,5820,2.2191555818113926,14.19026595678332,8,nan,qnn_L1_r2
9,nan,0.801770305927524,6510,5910,2.2191258580987547,14.187851132596354,8,nan,qnn_L1_r2
10,nan,0.8017397564133846,6660,6000,2.2198053945833633,14.177124526352292,8,nan,qnn_L1_r2
11,nan,0.8017393654883841,6810,6090,2.2198797508807626,14.176386129081433,8,nan,qnn_L1_r2
12,nan,0.8017393644223545,6960,6180,2.219887879303794,14.176300701090122,8,nan,qnn_L1_r2
13,nan,0.8017393644223545,7020,6180,2.219887879303794,14.176300701090122,8,nan,qnn_L1_r2
