step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,nan,1.5733464019133938,60,0,4.9719502033316205,23.812934989634588,16,nan,qnn_L2_r0
1,nan,0.3273646957596677,300,180,2.60890241034054,11.182315870355565,16,nan,qnn_L2_r0
2,nan,0.3273646957596677,370,190,2.60890241034054,11.182315870355565,16,nan,qnn_L2_r0
3,nan,0.27979989263940985,440,200,2.2782702472863163,9.35818132690652,16,nan,qnn_L2_r0
4,nan,0.2729987651972152,520,220,2.2320940021008906,9.162204929963027,16,nan,qnn_L2_r0
5,nan,0.2620006380820771,590,230,2.0021192605982723,8.648747406551951,16,nan,qnn_L2_r0
6,nan,0.26111571923687465,660,240,2.0378619620741754,8.647003493041435,16,nan,qnn_L2_r0
7,nan,0.2595814607915759,730,250,2.065901419257937,8.703193284161022,16,nan,qnn_L2_r0
8,nan,0.24733082372463522,800,260,1.97969949537215,8.37578398524552,16,nan,qnn_L2_r0
9,nan,0.24143231113072333,880,280,1.9589238129546884,8.282138295989533,16,nan,qnn_L2_r0
10,nan,0.2368958219481197,960,300,1.9544420484619338,8.26930938000134,16,nan,qnn_L2_r0
11,nan,0.23419202743068127,1040,320,1.9423585429335803,8.215233837080163,16,nan,qnn_L2_r0
12,nan,0.190085699523144,1110,330,1.78204674124277,7.396345650691911,16,nan,qnn_L2_r0
13,nan,0.1737835541516036,1180,340,1.6789061372085072,7.001255333339536,16,nan,qnn_L2_r0
14,nan,0.17165095652139725,1250,350,1.6857944726084213,7.001091688727454,16,nan,qnn_L2_r0
15,nan,0.16340726916490997,1320,360,1.6477464757516436,6.991634329384543,16,nan,qnn_L2_r0
16,nan,0.15418333832454195,1390,370,1.5550200548108017,6.781603405957745,16,nan,qnn_L2_r0
17,nan,0.1327827634797234,1460,380,1.4619645962387977,6.531608441087065,16,nan,qnn_L2_r0
18,nan,0.11817831388300017,1530,390,1.3440052617162972,6.173101557887002,16,nan,qnn_L2_r0
19,nan,0.1144581749069691,1600,400,1.3305638305906364,6.157581984267246,16,nan,qnn_L2_r0
20,nan,0.11445817490696894,1680,420,1.330563830590635,6.157581984267244,16,nan,qnn_L2_r0
21,nan,0.1102592171520364,1750,430,1.2910889488524524,6.14089121316425,16,nan,qnn_L2_r0
22,nan,0.11025921715203639,1830,450,1.2910889488524524,6.140891213164246,16,nan,qnn_L2_r0
23,nan,0.10053530620617888,1900,460,1.2338163701458988,5.759147942955895,16,nan,qnn_L2_r0
24,nan,0.10053530620617888,1980,480,1.2338163701458988,5.759147942955895,16,nan,qnn_L2_r0
25,nan,0.09925602898283403,2060,500,1.2439332257459847,5.776242528191447,16,nan,qnn_L2_r0
26,nan,0.09854486576363122,2130,510,1.2605516737175333,5.7895840640753455,16,nan,qnn_L2_r0
27,nan,0.09733976435135189,2200,520,1.219223717903298,5.602283734401566,16,nan,qnn_L2_r0
28,nan,0.09447917740663878,2270,530,1.174135410741712,5.430934176911057,16,nan,qnn_L2_r0
29,nan,0.09447917740663878,2350,550,1.174135410741712,5.430934176911057,16,nan,qnn_L2_r0
30,nan,0.0917873297498932,2430,570,1.1732138440459141,5.410264831628542,16,nan,qnn_L2_r0
31,nan,0.0880117717244395,2500,580,1.1824681023022214,5.204620308558844,16,nan,qnn_L2_r0
32,nan,0.0880117717244395,2580,600,1.1824681023022214,5.204620308558844,16,nan,qnn_L2_r0
33,nan,0.08708252768678612,2650,610,1.1858144540349809,5.2300934860124375,16,nan,qnn_L2_r0
