step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,nan,2.6675127721474494,60,0,5.227902842533999,24.987344725670276,16,nan,qnn_L2_r0
1,nan,0.5228554160734818,460,340,1.9620885131497885,9.74335385862989,16,nan,qnn_L2_r0
2,nan,0.12767176217939588,690,510,1.0276750189397352,5.64943800351703,16,nan,qnn_L2_r0
3,nan,0.06642707363098564,920,680,0.6921831218965633,4.0238514642624486,16,nan,qnn_L2_r0
4,nan,0.04294921064075198,1150,850,0.5114778352253481,3.591624292025303,16,nan,qnn_L2_r0
5,nan,0.025405673119205392,1380,1020,0.3973686377391955,3.136832499469909,16,nan,qnn_L2_r0
6,nan,0.01130978387393588,1610,1190,0.28403945788018203,2.4886112563052247,16,nan,qnn_L2_r0
7,nan,0.00571315995904793,1840,1360,0.21290398688650347,2.082208384171302,16,nan,qnn_L2_r0
8,nan,0.003472301079378089,2070,1530,0.17576958386639485,1.8543361861736678,16,nan,qnn_L2_r0
9,nan,0.002518967189483178,2300,1700,0.14268014424075276,1.8150172781382545,16,nan,qnn_L2_r0
10,nan,0.00119904406226003,2530,1870,0.09038653580118056,1.7225631311088803,16,nan,qnn_L2_r0
11,nan,0.0008665454144856178,2760,2040,0.07423184006208829,1.682855880847108,16,nan,qnn_L2_r0
12,nan,0.0007094803401507593,2990,2210,0.06971514765019067,1.6682823369327453,16,nan,qnn_L2_r0
13,nan,0.0006546766653541092,3220,2380,0.06868799109345139,1.6578637580406355,16,nan,qnn_L2_r0
14,nan,0.0006028406607188634,3450,2550,0.06464177743332562,1.6497393591797265,16,nan,qnn_L2_r0
15,nan,0.0005173255836642199,3680,2720,0.060582675780934736,1.6390314870843967,16,nan,qnn_L2_r0
16,nan,0.0004901033069789805,4080,3060,0.055531828721620616,1.636937064134087,16,nan,qnn_L2_r0
17,nan,0.0004071109042895711,4310,3230,0.05499792869284681,1.6158953608521371,16,nan,qnn_L2_r0
18,nan,0.0003635126470934864,4540,3400,0.05304468763858529,1.596424030094149,16,nan,qnn_L2_r0
19,nan,0.0003610462505219115,4770,3570,0.052829141614619476,1.5939110111143793,16,nan,qnn_L2_r0
20,nan,0.0003550260798629203,5000,3740,0.05205489881846688,1.587957814158178,16,nan,qnn_L2_r0
21,nan,0.0003423025693731411,5230,3910,0.05068072960030719,1.5762866425939648,16,nan,qnn_L2_r0
22,nan,0.00031525733289899824,5460,4080,0.04700788460894498,1.5555785259763693,16,nan,qnn_L2_r0
23,nan,0.000284118321406417,5690,4250,0.04810910906761909,1.52369972760563,16,nan,qnn_L2_r0
24,nan,0.00024431209078120287,5920,4420,0.041413950259531596,1.5084977324721065,16,nan,qnn_L2_r0
25,nan,0.00021637165319122586,6150,4590,0.03706078692545488,1.5032493470435084,16,nan,qnn_L2_r0
26,nan,0.000194675203844267,6380,4760,0.03531037606501872,1.4974115703912336,16,nan,qnn_L2_r0
27,nan,0.00018606785303317228,6610,4930,0.030805797517487812,1.4877907511423731,16,nan,qnn_L2_r0
28,nan,0.00018337809795671578,6840,5100,0.03150829709622455,1.4807230789356143,16,nan,qnn_L2_r0
29,nan,0.0001819984243297505,7070,5270,0.031234991660463424,1.4795597166731613,16,nan,qnn_L2_r0
30,nan,0.00017610865589025713,7300,5440,0.031800394382117736,1.4516139902881449,16,nan,qnn_L2_r0
31,nan,0.00017311371856855714,7530,5610,0.03124340009344724,1.4456919998560014,16,nan,qnn_L2_r0
32,nan,0.00017232124667454775,7760,5780,0.031069745388572934,1.4428880281391687,16,nan,qnn_L2_r0
33,nan,0.00017129801613906254,7990,5950,0.03126316352838206,1.43819177535706,16,nan,qnn_L2_r0
34,nan,0.00017001271863100945,8220,6120,0.031425188401112275,1.431778329002387,16,nan,qnn_L2_r0
35,nan,0.00016702275151402748,8450,6290,0.03186763606088805,1.4164765934132326,16,nan,qnn_L2_r0
36,nan,0.00016271478089559407,8680,6460,0.03229031774467565,1.3964867968831083,16,nan,qnn_L2_r0
37,nan,0.0001608298315849901,9080,6800,0.03332516141265114,1.387344921558899,16,nan,qnn_L2_r0
38,nan,0.00015698157962987344,9310,6970,0.032340383757668754,1.3778806745447587,16,nan,qnn_L2_r0
39,nan,0.0001560051985341924,9540,7140,0.031439050371079774,1.3697326941184977,16,nan,qnn_L2_r0
40,nan,0.00015594298335139993,9770,7310,0.03201280810754572,1.3664658997665888,16,nan,qnn_L2_r0
41,nan,0.0001556558098116607,10000,7480,0.031701673431678595,1.3666936457457919,16,nan,qnn_L2_r0
42,nan,0.00015563673483563091,10230,7650,0.031687541332929545,1.366493567583358,16,nan,qnn_L2_r0
43,nan,0.00015557148467429223,10460,7820,0.03170102637022634,1.365570105723121,16,nan,qnn_L2_r0
44,nan,0.00015549732698324432,10690,7990,0.03180114000402729,1.3639207578161496,16,nan,qnn_L2_r0
45,nan,0.00015518117057752417,10920,8160,0.032170287714431145,1.358773338268755,16,nan,qnn_L2_r0
46,nan,0.00015451156439030828,11150,8330,0.03272866875340453,1.3468902682892556,16,nan,qnn_L2_r0
47,nan,0.00015340790439065792,11380,8500,0.03362938778608561,1.3327254548923875,16,nan,qnn_L2_r0
48,nan,0.00015237370323610991,11610,8670,0.0337621471196236,1.3204006267846078,16,nan,qnn_L2_r0
49,nan,0.00015090743562974786,11840,8840,0.03356805248651291,1.3089929351853384,16,nan,qnn_L2_r0
50,nan,0.0001496161372506643,12070,9010,0.03341065891525455,1.2764908290193082,16,nan,qnn_L2_r0
51,nan,0.00014849935565783854,12300,9180,0.032797147968670545,1.2726630457048933,16,nan,qnn_L2_r0
52,nan,0.0001475387530545799,12530,9350,0.03307114069192021,1.2526457580148533,16,nan,qnn_L2_r0
53,nan,0.0001450728069553472,12760,9520,0.03287713580856533,1.240782635480355,16,nan,qnn_L2_r0
54,nan,0.0001431489383853888,13160,9860,0.03269945900610592,1.2199382139639883,16,nan,qnn_L2_r0
55,nan,0.00014008345969371638,13560,10200,0.03212512302964257,1.1959441085032254,16,nan,qnn_L2_r0
56,nan,0.0001341589778258337,13790,10370,0.03056508107034099,1.1805566905552454,16,nan,qnn_L2_r0
57,nan,0.00013122369928052089,14190,10710,0.030507264508168694,1.1681397502629796,16,nan,qnn_L2_r0
58,nan,0.00012865433817308756,14420,10880,0.02931725389527977,1.164907274178198,16,nan,qnn_L2_r0
59,nan,0.00012811374557807049,14650,11050,0.027151850889184717,1.172555561149209,16,nan,qnn_L2_r0
60,nan,0.00012585486034392672,14880,11220,0.028576673722253462,1.1565269106126024,16,nan,qnn_L2_r0
61,nan,0.00012492559851021295,15110,11390,0.028328247497912643,1.1577797862457684,16,nan,qnn_L2_r0
62,nan,0.00012425666859211773,15340,11560,0.027812990139073457,1.155967498314872,16,nan,qnn_L2_r0
63,nan,0.0001221212654802169,15570,11730,0.026844066083384216,1.152014211858813,16,nan,qnn_L2_r0
64,nan,0.00012023443706679134,15970,12070,0.027221425172476277,1.1468676170707988,16,nan,qnn_L2_r0
65,nan,0.00011659175792697446,16200,12240,0.026843256538984755,1.1462403983454077,16,nan,qnn_L2_r0
66,nan,0.00011531475297527623,16430,12410,0.02540370449864575,1.1505999263432334,16,nan,qnn_L2_r0
67,nan,0.0001116738921510905,16660,12580,0.025060586556105935,1.152141536900666,16,nan,qnn_L2_r0
68,nan,0.00011065940062880602,16890,12750,0.025292958440994467,1.1543713517194814,16,nan,qnn_L2_r0
69,nan,0.00010947505688008424,17120,12920,0.024623073991367025,1.1564561263426902,16,nan,qnn_L2_r0
70,nan,0.00010836668564470285,17350,13090,0.0247958027230379,1.1571954689887216,16,nan,qnn_L2_r0
71,nan,0.000107746695907036,17580,13260,0.024459153008977802,1.1608230620069435,16,nan,qnn_L2_r0
72,nan,0.00010665368967307891,17810,13430,0.02342008115702114,1.1655338671747881,16,nan,qnn_L2_r0
73,nan,0.00010590790598744103,18210,13770,0.022946285513274642,1.170724045503293,16,nan,qnn_L2_r0
74,nan,0.00010557614974548593,18440,13940,0.02169549184954614,1.1743919179477285,16,nan,qnn_L2_r0
75,nan,0.00010514225985629374,18840,14280,0.02154438501852661,1.1750227424734785,16,nan,qnn_L2_r0
76,nan,0.00010504687372187358,19070,14450,0.02177246789627721,1.1739152570877591,16,nan,qnn_L2_r0
77,nan,0.00010500465376446157,19300,14620,0.021713107959158914,1.173831990255912,16,nan,qnn_L2_r0
78,nan,0.00010484077533844184,19530,14790,0.021595885219415425,1.1742123811603862,16,nan,qnn_L2_r0
79,nan,0.00010462096507631845,19760,14960,0.021871966485051533,1.173786090991451,16,nan,qnn_L2_r0
80,nan,0.00010417487029682031,19990,15130,0.022120320200985907,1.172617331592332,16,nan,qnn_L2_r0
81,nan,0.00010333034413029509,20220,15300,0.02228476779921254,1.1682593171916134,16,nan,qnn_L2_r0
82,nan,0.0001026867731911403,20620,15640,0.02226883469662816,1.1636038177479524,16,nan,qnn_L2_r0
83,nan,0.00010244710214792219,20850,15810,0.02240193030525249,1.158466214662027,16,nan,qnn_L2_r0
84,nan,0.00010211414610083578,21080,15980,0.021832720659486257,1.1601004039001253,16,nan,qnn_L2_r0
85,nan,0.00010202392204020662,21310,16150,0.02180708501931669,1.159826229456323,16,nan,qnn_L2_r0
86,nan,0.0001018795852361718,21540,16320,0.022119864807593162,1.156385556765803,16,nan,qnn_L2_r0
87,nan,0.0001017587236551817,21770,16490,0.02209430072830927,1.1551498450375848,16,nan,qnn_L2_r0
88,nan,0.00010160816337088571,22000,16660,0.022094565917265843,1.1529195756997106,16,nan,qnn_L2_r0
89,nan,0.00010145736208866179,22230,16830,0.02216509317456812,1.1506780370930385,16,nan,qnn_L2_r0
90,nan,0.00010103583446668203,22460,17000,0.02208665991970117,1.1457365224852363,16,nan,qnn_L2_r0
91,nan,0.00010051291663533337,22690,17170,0.02228708157190465,1.1384189098899204,16,nan,qnn_L2_r0
92,nan,0.00010006091696465693,22920,17340,0.022048568517928746,1.1364226281484986,16,nan,qnn_L2_r0
93,nan,9.949728760587073e-05,23320,17680,0.02253896533852935,1.1319919355573822,16,nan,qnn_L2_r0
94,nan,9.79786122432154e-05,23550,17850,0.022141759538364808,1.1341002772117363,16,nan,qnn_L2_r0
95,nan,9.478612441040915e-05,23780,18020,0.022188259273614078,1.1318682003195848,16,nan,qnn_L2_r0
96,nan,9.328260638273689e-05,24010,18190,0.022087061615820996,1.134939713665338,16,nan,qnn_L2_r0
97,nan,9.146906667668307e-05,24240,18360,0.022483348608221765,1.1245162989978796,16,nan,qnn_L2_r0
98,nan,8.99095219752009e-05,24470,18530,0.02216298293797607,1.1247731962581142,16,nan,qnn_L2_r0
99,nan,8.908178107814667e-05,24700,18700,0.02258736568516903,1.1311966936993982,16,nan,qnn_L2_r0
100,nan,8.874618682511154e-05,24930,18870,0.023181511073011196,1.13519296895033,16,nan,qnn_L2_r0
101,nan,8.729064920242366e-05,25160,19040,0.022216379181683926,1.1246438413450068,16,nan,qnn_L2_r0
102,nan,8.655164081804336e-05,25390,19210,0.02166615859346456,1.1308888512395652,16,nan,qnn_L2_r0
103,nan,8.585457198709358e-05,25620,19380,0.02139801202919435,1.1317228771442556,16,nan,qnn_L2_r0
104,nan,8.374471382353326e-05,25850,19550,0.0206357304910212,1.134712711512362,16,nan,qnn_L2_r0
105,nan,8.214611327340763e-05,26250,19890,0.019960623852169623,1.1344661870257264,16,nan,qnn_L2_r0
106,nan,7.873717492106647e-05,26480,20060,0.02019474304815249,1.1318554859073533,16,nan,qnn_L2_r0
107,nan,7.523716404506366e-05,26710,20230,0.01952301394721402,1.13137832556602,16,nan,qnn_L2_r0
108,nan,7.451024836940126e-05,27110,20570,0.019870932124575358,1.1285722678517343,16,nan,qnn_L2_r0
109,nan,7.450109419919509e-05,27340,20740,0.019622243899377223,1.1429209405988323,16,nan,qnn_L2_r0
110,nan,7.268614771622514e-05,27570,20910,0.019728839429181647,1.1398957452234617,16,nan,qnn_L2_r0
111,nan,7.231550826955013e-05,27970,21250,0.019377156879027038,1.1375701209392248,16,nan,qnn_L2_r0
112,nan,7.199015869913881e-05,28200,21420,0.019380786496363406,1.1373105494715277,16,nan,qnn_L2_r0
113,nan,7.110674490865419e-05,28430,21590,0.01961892983917092,1.143414560240807,16,nan,qnn_L2_r0
114,nan,7.091182553596543e-05,28660,21760,0.020043948787517918,1.141791565875672,16,nan,qnn_L2_r0
115,nan,7.037961257291554e-05,28890,21930,0.019658879580520885,1.1451007568478326,16,nan,qnn_L2_r0
116,nan,6.970026235148041e-05,29120,22100,0.01950211849869095,1.1496574233070957,16,nan,qnn_L2_r0
117,nan,6.898823533812083e-05,29350,22270,0.019952781037549466,1.1518026462063244,16,nan,qnn_L2_r0
118,nan,6.865051549291147e-05,29580,22440,0.018934488926845808,1.1496363964513914,16,nan,qnn_L2_r0
119,nan,6.830657690053012e-05,29810,22610,0.019512891675408275,1.1499210979900503,16,nan,qnn_L2_r0
120,nan,6.81866962226352e-05,30040,22780,0.019749339661480084,1.1508115609871468,16,nan,qnn_L2_r0
