step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,nan,1.9127111185975543,80360,80300,4.740342309682897,19.95288625307923,16,nan,qnn_L2_r2
1,nan,0.7829504752720171,80760,80640,2.984748610051705,11.34640597492659,16,nan,qnn_L2_r2
2,nan,0.5713685574454536,80990,80810,2.4163118514001334,10.04838320286913,16,nan,qnn_L2_r2
3,nan,0.33553035653652163,81220,80980,1.5662785671944042,8.034151485126433,16,nan,qnn_L2_r2
4,nan,0.2663327477057169,81620,81320,1.7106863315124294,7.511107016877454,16,nan,qnn_L2_r2
5,nan,0.2231655305441663,81850,81490,1.5570133415791678,7.2175582607409074,16,nan,qnn_L2_r2
6,nan,0.13749327808950954,82080,81660,1.2087501910269416,6.493166772609311,16,nan,qnn_L2_r2
7,nan,0.11921731838175743,82310,81830,0.9712356984375208,6.6892679606456245,16,nan,qnn_L2_r2
8,nan,0.10805064287104617,82540,82000,0.959290844520948,6.450459166737017,16,nan,qnn_L2_r2
9,nan,0.07674665268800765,82940,82340,0.847659262849995,5.999054811219132,16,nan,qnn_L2_r2
10,nan,0.06000988699078164,83170,82510,0.7625727270551428,5.850843917062555,16,nan,qnn_L2_r2
11,nan,0.046398232415906716,83400,82680,0.6474993039216907,5.294225531600511,16,nan,qnn_L2_r2
12,nan,0.03734858863831764,83630,82850,0.6012357410123885,5.018782099834853,16,nan,qnn_L2_r2
13,nan,0.03270116026552869,83860,83020,0.5945483538324059,5.0073281794029345,16,nan,qnn_L2_r2
14,nan,0.026005122694943168,84090,83190,0.5344896318546944,4.959536321163844,16,nan,qnn_L2_r2
15,nan,0.017033951352260896,84320,83360,0.42912700472598836,5.102081082208249,16,nan,qnn_L2_r2
16,nan,0.011152941877182293,84550,83530,0.3541384253873014,5.037143978060862,16,nan,qnn_L2_r2
17,nan,0.005945232901016326,84780,83700,0.22626269460759216,5.134100546767521,16,nan,qnn_L2_r2
18,nan,0.003359546011664991,85010,83870,0.1812646429645553,4.879511724855833,16,nan,qnn_L2_r2
19,nan,0.0023437246651314084,85240,84040,0.14234861499902324,4.839997599147195,16,nan,qnn_L2_r2
20,nan,0.0017843500832730311,85470,84210,0.1240634129936167,4.888962410959398,16,nan,qnn_L2_r2
21,nan,0.001445476955463531,85700,84380,0.10644782147782339,4.817957221790217,16,nan,qnn_L2_r2
22,nan,0.0010904137001594037,85930,84550,0.09209648184600214,4.667281829767005,16,nan,qnn_L2_r2
23,nan,0.0006385860257886989,86160,84720,0.08065525948112348,4.3779961546997,16,nan,qnn_L2_r2
24,nan,0.00046072527701156813,86560,85060,0.06127123529074871,4.291685661014874,16,nan,qnn_L2_r2
25,nan,0.00032248698150441645,86790,85230,0.058628577899830364,4.137846223740697,16,nan,qnn_L2_r2
26,nan,0.00029041059907968376,87020,85400,0.05552350142542581,4.13160091688848,16,nan,qnn_L2_r2
27,nan,0.00027480744039504054,87250,85570,0.05262978298784658,4.119839966092431,16,nan,qnn_L2_r2
28,nan,0.00023479339675745825,87480,85740,0.044257501883928047,4.0874493728956205,16,nan,qnn_L2_r2
29,nan,0.0002146530407192263,87880,86080,0.04271161840094534,4.1096983946418995,16,nan,qnn_L2_r2
30,nan,0.00017479658076363316,88110,86250,0.034554226872348756,4.067100939121427,16,nan,qnn_L2_r2
31,nan,0.00012791953784570213,88340,86420,0.028569121933513783,4.089679697104651,16,nan,qnn_L2_r2
32,nan,8.922753181467546e-05,88570,86590,0.024646149338007323,4.160947032953106,16,nan,qnn_L2_r2
33,nan,8.275819984124492e-05,88800,86760,0.02872351776648592,4.171540537603892,16,nan,qnn_L2_r2
34,nan,7.306778269327114e-05,89030,86930,0.027137709911777858,4.1818761518799175,16,nan,qnn_L2_r2
35,nan,6.805912499074914e-05,89260,87100,0.02486453350652104,4.188142450726076,16,nan,qnn_L2_r2
36,nan,6.197314421966381e-05,89490,87270,0.024241291363635092,4.234373171507822,16,nan,qnn_L2_r2
37,nan,5.493098210869771e-05,89720,87440,0.02092632964970445,4.218272924935465,16,nan,qnn_L2_r2
38,nan,5.160422659229758e-05,89950,87610,0.019644865830568042,4.218664822428652,16,nan,qnn_L2_r2
39,nan,4.760131526252429e-05,90180,87780,0.019141684220319977,4.216814142827596,16,nan,qnn_L2_r2
40,nan,4.688859318998085e-05,90580,88120,0.018745370599767414,4.219338831268169,16,nan,qnn_L2_r2
41,nan,4.647717651040932e-05,90810,88290,0.01865367814707586,4.220531637986992,16,nan,qnn_L2_r2
42,nan,4.6171776205525624e-05,91040,88460,0.018673838790960434,4.21724090751315,16,nan,qnn_L2_r2
