step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,nan,6.227092000028142,60,0,7.601111916346687,38.52894961075498,24,nan,qnn_L3_r0
1,nan,0.47576058036035307,380,260,2.1606608636318776,12.246889643959799,24,nan,qnn_L3_r0
2,nan,0.47576058036035307,460,280,2.1606608636318776,12.246889643959799,24,nan,qnn_L3_r0
3,nan,0.45544805534707267,540,300,2.021447605044358,13.83611628396906,24,nan,qnn_L3_r0
4,nan,0.3322571975591065,610,310,1.7718733261052155,12.016777999914746,24,nan,qnn_L3_r0
5,nan,0.3322571975591065,690,330,1.7718733261052155,12.016777999914746,24,nan,qnn_L3_r0
6,nan,0.29889261818438817,770,350,1.5668441798839736,12.202267802689095,24,nan,qnn_L3_r0
7,nan,0.29889261818438817,850,370,1.5668441798839736,12.202267802689095,24,nan,qnn_L3_r0
8,nan,0.29889261818438817,930,390,1.5668441798839736,12.202267802689095,24,nan,qnn_L3_r0
9,nan,0.29889261818438817,1010,410,1.5668441798839736,12.202267802689095,24,nan,qnn_L3_r0
10,nan,0.29889261818438817,1090,430,1.5668441798839736,12.202267802689095,24,nan,qnn_L3_r0
11,nan,0.29889261818438817,1170,450,1.5668441798839736,12.202267802689095,24,nan,qnn_L3_r0
12,nan,0.29889261818438817,1240,460,1.5668441798839736,12.202267802689095,24,nan,qnn_L3_r0
13,nan,0.29889261818438817,1320,480,1.5668441798839736,12.202267802689095,24,nan,qnn_L3_r0
14,nan,0.2978030997568605,1400,500,1.5631363278961214,12.223535022136058,24,nan,qnn_L3_r0
15,nan,0.2868871060389198,1470,510,1.5131630642845106,12.181611109773355,24,nan,qnn_L3_r0
16,nan,0.28428288457002876,1550,530,1.505315356127384,12.165584833532659,24,nan,qnn_L3_r0
17,nan,0.28428288457002876,1630,550,1.505315356127384,12.165584833532659,24,nan,qnn_L3_r0
18,nan,0.2719027731891687,1700,560,1.4694266953328534,12.173940432438028,24,nan,qnn_L3_r0
19,nan,0.2691290958556565,1770,570,1.4652307943566087,12.400809609975198,24,nan,qnn_L3_r0
20,nan,0.2691290958556565,1850,590,1.4652307943566087,12.400809609975198,24,nan,qnn_L3_r0
21,nan,0.2689034391632181,1920,600,1.4084836498153344,12.359664806149153,24,nan,qnn_L3_r0
22,nan,0.2672654440726636,1990,610,1.394182440706558,12.173825784622464,24,nan,qnn_L3_r0
23,nan,0.2541445101481269,2060,620,1.398417053632883,12.045985303241581,24,nan,qnn_L3_r0
24,nan,0.24846562282965184,2130,630,1.3724993612136553,12.002710308677333,24,nan,qnn_L3_r0
25,nan,0.2366539056810858,2210,650,1.3485627832408535,11.92197965043271,24,nan,qnn_L3_r0
26,nan,0.2366539056810858,2290,670,1.3485627832408535,11.92197965043271,24,nan,qnn_L3_r0
27,nan,0.22189987290223875,2360,680,1.3131557581822355,11.79700484815082,24,nan,qnn_L3_r0
28,nan,0.2147849967954918,2430,690,1.287000597658437,12.022857310170485,24,nan,qnn_L3_r0
29,nan,0.20646050311722963,2500,700,1.2656344377784823,11.924119195945586,24,nan,qnn_L3_r0
30,nan,0.20646050311722963,2580,720,1.2656344377784823,11.924119195945586,24,nan,qnn_L3_r0
31,nan,0.1986231827028437,2650,730,1.2546159866716946,11.879982315117786,24,nan,qnn_L3_r0
32,nan,0.1986231827028437,2730,750,1.2546159866716946,11.879982315117786,24,nan,qnn_L3_r0
33,nan,0.1986231827028437,2810,770,1.2546159866716946,11.879982315117786,24,nan,qnn_L3_r0
34,nan,0.18785480905250165,2880,780,1.2194757009983803,11.785699266398773,24,nan,qnn_L3_r0
35,nan,0.18437051344189942,2950,790,1.2133647765887807,11.752195255780684,24,nan,qnn_L3_r0
36,nan,0.18437051344189942,3030,810,1.2133647765887807,11.752195255780684,24,nan,qnn_L3_r0
37,nan,0.18271783325645988,3100,820,1.1934126297125085,11.739984468102895,24,nan,qnn_L3_r0
38,nan,0.18202543128050364,3170,830,1.2067262438403499,11.783066761827946,24,nan,qnn_L3_r0
39,nan,0.18064715038243007,3240,840,1.1988582176397742,11.883002197660717,24,nan,qnn_L3_r0
40,nan,0.18064715038243007,3320,860,1.1988582176397742,11.883002197660717,24,nan,qnn_L3_r0
41,nan,0.18064715038243007,3400,880,1.1988582176397742,11.883002197660717,24,nan,qnn_L3_r0
42,nan,0.17482849971953404,3470,890,1.1802505102562297,11.83986996446871,24,nan,qnn_L3_r0
43,nan,0.17482849971953404,3550,910,1.1802505102562297,11.83986996446871,24,nan,qnn_L3_r0
44,nan,0.1694458066005097,3620,920,1.1452968983899512,11.913804070343515,24,nan,qnn_L3_r0
45,nan,0.16566202107348985,3690,930,1.12475707049132,11.881832776254962,24,nan,qnn_L3_r0
46,nan,0.16566202107348985,3770,950,1.12475707049132,11.881832776254962,24,nan,qnn_L3_r0
47,nan,0.16021840489757055,3850,970,1.128529507700508,11.655037548510801,24,nan,qnn_L3_r0
48,nan,0.1501147638889663,3920,980,1.1265025166148304,11.519171273760827,24,nan,qnn_L3_r0
49,nan,0.1501147638889663,4000,1000,1.1265025166148304,11.519171273760827,24,nan,qnn_L3_r0
50,nan,0.13987765014452191,4070,1010,1.0961951964970893,11.335854729957088,24,nan,qnn_L3_r0
51,nan,0.13538706459618238,4140,1020,1.060108521358445,11.177196203599152,24,nan,qnn_L3_r0
52,nan,0.13538706459618238,4220,1040,1.060108521358445,11.177196203599152,24,nan,qnn_L3_r0
53,nan,0.13013819896399925,4290,1050,1.1086768498434125,10.987006339432178,24,nan,qnn_L3_r0
54,nan,0.13013819896399925,4370,1070,1.1086768498434125,10.987006339432178,24,nan,qnn_L3_r0
55,nan,0.12494780822484729,4440,1080,1.090413844860601,11.028305337470638,24,nan,qnn_L3_r0
56,nan,0.12110636632196933,4510,1090,1.091899067584413,10.88049946030085,24,nan,qnn_L3_r0
57,nan,0.11511666389397235,4580,1100,1.053823045664557,10.965419713648336,24,nan,qnn_L3_r0
58,nan,0.11511666389397235,4660,1120,1.053823045664557,10.965419713648336,24,nan,qnn_L3_r0
59,nan,0.11026663249948673,4730,1130,1.0092767433807668,11.071077651111125,24,nan,qnn_L3_r0
60,nan,0.10797247046108085,4810,1150,1.0043554142990931,11.025563996762099,24,nan,qnn_L3_r0
61,nan,0.1066860489866688,4880,1160,1.0028132108762111,10.915034271795301,24,nan,qnn_L3_r0
62,nan,0.10241930975150011,4950,1170,0.9813902907566561,10.924985986100799,24,nan,qnn_L3_r0
63,nan,0.09990972528461109,5020,1180,0.9720888209375289,10.805110148084443,24,nan,qnn_L3_r0
64,nan,0.09990972528461109,5100,1200,0.9720888209375289,10.805110148084443,24,nan,qnn_L3_r0
65,nan,0.09990972528461109,5180,1220,0.9720888209375289,10.805110148084443,24,nan,qnn_L3_r0
66,nan,0.09748915981499935,5250,1230,0.9776159333588906,10.731864705646831,24,nan,qnn_L3_r0
67,nan,0.0963078430496241,5320,1240,1.0169396035813951,10.680078807748753,24,nan,qnn_L3_r0
68,nan,0.09623341824516592,5390,1250,1.0125862566493868,10.660828976290803,24,nan,qnn_L3_r0
69,nan,0.09623341824516592,5470,1270,1.0125862566493868,10.660828976290803,24,nan,qnn_L3_r0
70,nan,0.08544010812171761,5540,1280,0.8880445078890558,10.900951386912855,24,nan,qnn_L3_r0
71,nan,0.0707869564765381,5610,1290,0.8320791261069416,10.85273167073273,24,nan,qnn_L3_r0
72,nan,0.06473280416392672,5680,1300,0.7754222549755744,10.82884718457672,24,nan,qnn_L3_r0
73,nan,0.06473280416392672,5760,1320,0.7754222549755744,10.82884718457672,24,nan,qnn_L3_r0
74,nan,0.06254860432990099,5830,1330,0.7757064923579241,10.724530149899413,24,nan,qnn_L3_r0
75,nan,0.06246515779472449,5900,1340,0.773472836000107,10.811929516756885,24,nan,qnn_L3_r0
76,nan,0.059553506485934056,5970,1350,0.7899261743390666,11.174478108158839,24,nan,qnn_L3_r0
77,nan,0.05424907695559912,6040,1360,0.7754493179034185,11.329305664104172,24,nan,qnn_L3_r0
78,nan,0.05424907695559912,6120,1380,0.7754493179034185,11.329305664104172,24,nan,qnn_L3_r0
79,nan,0.05386507154785043,6200,1400,0.7668023494539458,11.229174250942512,24,nan,qnn_L3_r0
80,nan,0.05327839013619576,6270,1410,0.7566731790171294,11.197722546764986,24,nan,qnn_L3_r0
81,nan,0.05327839013619576,6350,1430,0.7566731790171294,11.197722546764986,24,nan,qnn_L3_r0
82,nan,0.05046871008828942,6420,1440,0.7416970804142176,11.085410534464042,24,nan,qnn_L3_r0
83,nan,0.05046871008828942,6500,1460,0.7416970804142176,11.085410534464042,24,nan,qnn_L3_r0
84,nan,0.05046871008828942,6580,1480,0.7416970804142176,11.085410534464042,24,nan,qnn_L3_r0
85,nan,0.04997168134533167,6660,1500,0.731686542766221,11.013579274202865,24,nan,qnn_L3_r0
86,nan,0.04997168134533167,6740,1520,0.731686542766221,11.013579274202865,24,nan,qnn_L3_r0
87,nan,0.04997168134533167,6820,1540,0.731686542766221,11.013579274202865,24,nan,qnn_L3_r0
88,nan,0.049601745904947904,6890,1550,0.6808605146563272,11.013849912580918,24,nan,qnn_L3_r0
89,nan,0.04944993866333451,6970,1570,0.6825372484204397,11.087598963273253,24,nan,qnn_L3_r0
90,nan,0.04944993866333451,7050,1590,0.6825372484204397,11.087598963273253,24,nan,qnn_L3_r0
91,nan,0.04884652590540275,7130,1610,0.7119760959637214,11.18267443268153,24,nan,qnn_L3_r0
92,nan,0.04858645916218726,7210,1630,0.7292769557548596,11.358458736365135,24,nan,qnn_L3_r0
93,nan,0.04858391212984117,7280,1640,0.674696343096182,11.260367221757589,24,nan,qnn_L3_r0
94,nan,0.048409055301015934,7360,1660,0.6713019436242799,11.168417671433073,24,nan,qnn_L3_r0
95,nan,0.04741946657601176,7430,1670,0.6994737640105381,11.23269053652081,24,nan,qnn_L3_r0
96,nan,0.04741946657601176,7510,1690,0.6994737640105381,11.23269053652081,24,nan,qnn_L3_r0
97,nan,0.046719957448204626,7580,1700,0.6830891840411372,11.424719189835347,24,nan,qnn_L3_r0
98,nan,0.046719957448204626,7660,1720,0.6830891840411372,11.424719189835347,24,nan,qnn_L3_r0
99,nan,0.046719957448204626,7740,1740,0.6830891840411372,11.424719189835347,24,nan,qnn_L3_r0
100,nan,0.046719957448204626,7820,1760,0.6830891840411372,11.424719189835347,24,nan,qnn_L3_r0
101,nan,0.04337325533958072,7890,1770,0.6810163066341492,11.676834882556403,24,nan,qnn_L3_r0
102,nan,0.043260222391144194,7970,1790,0.6813297305755677,11.70215280704106,24,nan,qnn_L3_r0
103,nan,0.042605572418612875,8050,1810,0.6846510238857074,11.585502203524257,24,nan,qnn_L3_r0
104,nan,0.041998234316817575,8130,1830,0.6760812614388618,11.659000377613886,24,nan,qnn_L3_r0
105,nan,0.041998234316817575,8210,1850,0.6760812614388618,11.659000377613886,24,nan,qnn_L3_r0
106,nan,0.041998234316817575,8290,1870,0.6760812614388618,11.659000377613886,24,nan,qnn_L3_r0
107,nan,0.04142238741808186,8370,1890,0.6525267555077672,11.614483606304052,24,nan,qnn_L3_r0
108,nan,0.04130997792921687,8440,1900,0.6487805572335325,11.502752470448165,24,nan,qnn_L3_r0
109,nan,0.04130997792921687,8520,1920,0.6487805572335325,11.502752470448165,24,nan,qnn_L3_r0
110,nan,0.04130997792921687,8600,1940,0.6487805572335325,11.502752470448165,24,nan,qnn_L3_r0
111,nan,0.0412024072526171,8680,1960,0.6446275907212012,11.37824980653266,24,nan,qnn_L3_r0
112,nan,0.04072531211837566,8760,1980,0.66072023342999,11.456532795906545,24,nan,qnn_L3_r0
113,nan,0.04072531211837566,8840,2000,0.66072023342999,11.456532795906545,24,nan,qnn_L3_r0
114,nan,0.04072531211837566,8920,2020,0.66072023342999,11.456532795906545,24,nan,qnn_L3_r0
115,nan,0.04072531211837566,9000,2040,0.66072023342999,11.456532795906545,24,nan,qnn_L3_r0
116,nan,0.04072531211837566,9080,2060,0.66072023342999,11.456532795906545,24,nan,qnn_L3_r0
117,nan,0.04072531211837566,9150,2070,0.66072023342999,11.456532795906545,24,nan,qnn_L3_r0
118,nan,0.04072531211837566,9230,2090,0.66072023342999,11.456532795906545,24,nan,qnn_L3_r0
119,nan,0.04072531211837566,9310,2110,0.66072023342999,11.456532795906545,24,nan,qnn_L3_r0
120,nan,0.04072531211837566,9390,2130,0.66072023342999,11.456532795906545,24,nan,qnn_L3_r0
121,nan,0.04066543970265779,9470,2150,0.6610152822195536,11.453840350428052,24,nan,qnn_L3_r0
122,nan,0.04052254459788272,9550,2170,0.6585170913494243,11.456059843162265,24,nan,qnn_L3_r0
123,nan,0.04010281869718474,9620,2180,0.6594246649766835,11.452460329448657,24,nan,qnn_L3_r0
124,nan,0.04010281869718474,9700,2200,0.6594246649766835,11.452460329448657,24,nan,qnn_L3_r0
125,nan,0.03980550104921545,9770,2210,0.6553150497855298,11.436487691278087,24,nan,qnn_L3_r0
126,nan,0.039599531336032376,9840,2220,0.6513472906089166,11.416309832145112,24,nan,qnn_L3_r0
127,nan,0.03947747690196578,9910,2230,0.6492980454016456,11.438507335133048,24,nan,qnn_L3_r0
128,nan,0.039423170205805325,9980,2240,0.650644705406584,11.44746247429333,24,nan,qnn_L3_r0
129,nan,0.03932175174309473,10050,2250,0.6476640959577461,11.465299278798096,24,nan,qnn_L3_r0
130,nan,0.03928700581456122,10120,2260,0.6504852097460677,11.46674733756999,24,nan,qnn_L3_r0
131,nan,0.03922354816582505,10190,2270,0.6500775216838808,11.460116125005465,24,nan,qnn_L3_r0
132,nan,0.0391261538618806,10260,2280,0.6508994404130152,11.443570673997373,24,nan,qnn_L3_r0
133,nan,0.039120204505016264,10330,2290,0.6511997197590792,11.456630959431592,24,nan,qnn_L3_r0
134,nan,0.03905430781796728,10400,2300,0.6505981956776865,11.453485793685394,24,nan,qnn_L3_r0
135,nan,0.03897254100292335,10470,2310,0.6535783365508716,11.457343821304578,24,nan,qnn_L3_r0
136,nan,0.03856320523687449,10540,2320,0.6435378297774232,11.421131812095817,24,nan,qnn_L3_r0
137,nan,0.03837818726613224,10610,2330,0.6400586832292527,11.440038036642147,24,nan,qnn_L3_r0
138,nan,0.038295817610905065,10680,2340,0.6382351806941455,11.437571556742867,24,nan,qnn_L3_r0
139,nan,0.03818252862132564,10750,2350,0.6294000044417627,11.415228354946942,24,nan,qnn_L3_r0
140,nan,0.03818252862132564,10830,2370,0.6294000044417627,11.415228354946942,24,nan,qnn_L3_r0
141,nan,0.03803744524389581,10900,2380,0.6249093154847358,11.392746640747323,24,nan,qnn_L3_r0
142,nan,0.03800541903061718,10970,2390,0.6206384051607672,11.396555167635142,24,nan,qnn_L3_r0
143,nan,0.03783244992750991,11040,2400,0.6247668772041618,11.416381118644194,24,nan,qnn_L3_r0
144,nan,0.03774567393561365,11110,2410,0.6229257157120531,11.425796295430617,24,nan,qnn_L3_r0
145,nan,0.037582476709051876,11180,2420,0.6203258094543415,11.415090803902489,24,nan,qnn_L3_r0
146,nan,0.037582476709051876,11260,2440,0.6203258094543415,11.415090803902489,24,nan,qnn_L3_r0
147,nan,0.03752996004362196,11340,2460,0.6197212772247763,11.396087397246447,24,nan,qnn_L3_r0
148,nan,0.03752161969329553,11410,2470,0.6193444694885637,11.393555965754699,24,nan,qnn_L3_r0
149,nan,0.03745834491052448,11490,2490,0.6185224502166229,11.393047309205182,24,nan,qnn_L3_r0
150,nan,0.03722850855357295,11560,2500,0.6132881728855213,11.369928365914324,24,nan,qnn_L3_r0
151,nan,0.03712605120600675,11640,2520,0.6148772096653164,11.380796279989706,24,nan,qnn_L3_r0
152,nan,0.036813057331412574,11710,2530,0.6104363411121285,11.381743757440049,24,nan,qnn_L3_r0
153,nan,0.036591752846544354,11780,2540,0.6084525180479377,11.362540341085035,24,nan,qnn_L3_r0
154,nan,0.036361168150107946,11850,2550,0.606890305684016,11.378223744178992,24,nan,qnn_L3_r0
155,nan,0.03619115539122627,11920,2560,0.6072177449713618,11.357970036594269,24,nan,qnn_L3_r0
156,nan,0.035952179661934744,11990,2570,0.6066346854726317,11.378657948342278,24,nan,qnn_L3_r0
157,nan,0.03587368538271135,12060,2580,0.6033569934666729,11.395824464280746,24,nan,qnn_L3_r0
