step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,nan,19.724660978372018,60,0,14.017577233308009,71.14420575566255,24,nan,qnn_L3_r0
1,nan,2.0600350963442695,390,270,4.343201509348368,24.435062632880655,24,nan,qnn_L3_r0
2,nan,1.4194889073271955,460,280,3.4985438075165125,19.504729226094685,24,nan,qnn_L3_r0
3,nan,1.4194889073271955,540,300,3.4985438075165125,19.504729226094685,24,nan,qnn_L3_r0
4,nan,1.4194889073271955,620,320,3.4985438075165125,19.504729226094685,24,nan,qnn_L3_r0
5,nan,1.4194889073271955,700,340,3.4985438075165125,19.504729226094685,24,nan,qnn_L3_r0
6,nan,1.4194889073271955,780,360,3.4985438075165125,19.504729226094685,24,nan,qnn_L3_r0
7,nan,1.4194889073271955,860,380,3.4985438075165125,19.504729226094685,24,nan,qnn_L3_r0
8,nan,1.0531033993388323,940,400,3.0212846847268136,16.18112796404204,24,nan,qnn_L3_r0
9,nan,1.0531033993388323,1020,420,3.0212846847268136,16.18112796404204,24,nan,qnn_L3_r0
10,nan,0.7232767404782371,1100,440,2.5200371596255495,14.600557773951568,24,nan,qnn_L3_r0
11,nan,0.6294823699063762,1170,450,2.3636904394815295,14.173775537115453,24,nan,qnn_L3_r0
12,nan,0.6294823699063762,1240,460,2.3636904394815295,14.173775537115453,24,nan,qnn_L3_r0
13,nan,0.6294823699063762,1320,480,2.3636904394815295,14.173775537115453,24,nan,qnn_L3_r0
14,nan,0.6183145311065597,1400,500,2.34501207645428,14.034954227545477,24,nan,qnn_L3_r0
15,nan,0.6183145311065597,1480,520,2.34501207645428,14.034954227545477,24,nan,qnn_L3_r0
16,nan,0.5659174100807315,1550,530,2.2443882309503707,13.879285749016336,24,nan,qnn_L3_r0
17,nan,0.5659174100807315,1630,550,2.2443882309503707,13.879285749016336,24,nan,qnn_L3_r0
18,nan,0.5659174100807315,1710,570,2.2443882309503707,13.879285749016336,24,nan,qnn_L3_r0
19,nan,0.5305256909769732,1780,580,2.1810738437036132,13.968499224050056,24,nan,qnn_L3_r0
20,nan,0.5305256909769732,1860,600,2.1810738437036132,13.968499224050056,24,nan,qnn_L3_r0
21,nan,0.5305256909769732,1940,620,2.1810738437036132,13.968499224050056,24,nan,qnn_L3_r0
22,nan,0.5144360370429691,2020,640,2.1475784235013067,13.87283990051866,24,nan,qnn_L3_r0
23,nan,0.3750309042513336,2090,650,1.8367132883959787,12.472073982250608,24,nan,qnn_L3_r0
24,nan,0.37227501949402453,2160,660,1.8364603085445554,12.756206707964902,24,nan,qnn_L3_r0
25,nan,0.36451905572168164,2230,670,1.822613682532511,12.84625224572158,24,nan,qnn_L3_r0
26,nan,0.36105626968060384,2300,680,1.8088888443991316,12.728124117894543,24,nan,qnn_L3_r0
27,nan,0.3607437185279368,2370,690,1.7880803487530212,12.629047644209333,24,nan,qnn_L3_r0
