step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,nan,4.6902309165441824,17490,17430,5.918111692443176,25.992138022901454,24,nan,qnn_L3_r1
1,nan,2.160802382046525,18050,17930,4.352987880069975,26.302921575559605,24,nan,qnn_L3_r1
2,nan,1.4233464999073386,18360,18180,3.4325388522498357,23.830350739019117,24,nan,qnn_L3_r1
3,nan,0.5294519051309808,18670,18430,2.1407907030507225,18.62136889618058,24,nan,qnn_L3_r1
4,nan,0.19907248500564698,18980,18680,1.3749407495518078,15.19329132394717,24,nan,qnn_L3_r1
5,nan,0.0493505203193546,19290,18930,0.5688072164021014,12.96832564982045,24,nan,qnn_L3_r1
6,nan,0.02607184937058401,19600,19180,0.45527450460470825,12.499882491564394,24,nan,qnn_L3_r1
7,nan,0.02153657468381253,19910,19430,0.4525393321918707,12.264973025335948,24,nan,qnn_L3_r1
8,nan,0.018633124450898226,20220,19680,0.43726510456730905,12.183115165711152,24,nan,qnn_L3_r1
9,nan,0.00901490775232363,20530,19930,0.2959798739098891,12.042979334712678,24,nan,qnn_L3_r1
10,nan,0.0048534080623494,21090,20430,0.1800163591062729,12.090637457339254,24,nan,qnn_L3_r1
11,nan,0.003152350534531339,21400,20680,0.17362054276531644,11.886444214866986,24,nan,qnn_L3_r1
12,nan,0.001945644705527133,21710,20930,0.11979837358294265,11.820221840060022,24,nan,qnn_L3_r1
13,nan,0.0015635291027004399,22020,21180,0.12871431107996495,11.776813051285133,24,nan,qnn_L3_r1
14,nan,0.0014111764877856889,22330,21430,0.12028195878320695,11.800857440512479,24,nan,qnn_L3_r1
15,nan,0.000994108401344378,22640,21680,0.10058250089844445,11.899016502045166,24,nan,qnn_L3_r1
16,nan,0.0007480011855849452,22950,21930,0.09147456644690458,12.00448681459323,24,nan,qnn_L3_r1
17,nan,0.0006412456385087716,23260,22180,0.0823092714332947,12.076531611909278,24,nan,qnn_L3_r1
18,nan,0.0004945901579340993,23570,22430,0.07176581745518823,12.11664650309624,24,nan,qnn_L3_r1
19,nan,0.00036701970694750006,24130,22930,0.059138054682340596,12.15867383266551,24,nan,qnn_L3_r1
20,nan,0.0002107706234244486,24440,23180,0.037103463266297376,12.096836110827466,24,nan,qnn_L3_r1
21,nan,0.00018791897634823482,24750,23430,0.03688090728355632,12.04808378143493,24,nan,qnn_L3_r1
22,nan,0.00017570690525693978,25060,23680,0.033178350234731424,12.016043644265292,24,nan,qnn_L3_r1
23,nan,0.00016464352457150016,25370,23930,0.03353588066207125,12.030128428012219,24,nan,qnn_L3_r1
24,nan,0.00014827094347395954,25680,24180,0.03343649087241976,12.049019263264551,24,nan,qnn_L3_r1
25,nan,0.000129291703877697,25990,24430,0.0312365948049535,12.065090139409886,24,nan,qnn_L3_r1
26,nan,0.00010628447967415004,26300,24680,0.027337693845986055,12.095497896093029,24,nan,qnn_L3_r1
27,nan,8.701831120850883e-05,26610,24930,0.027478661344054134,12.096912111921963,24,nan,qnn_L3_r1
28,nan,8.066657509255896e-05,26920,25180,0.027441446178468068,12.088990199581739,24,nan,qnn_L3_r1
29,nan,6.878717922882e-05,27230,25430,0.025744055139803115,12.075720141571406,24,nan,qnn_L3_r1
30,nan,4.823112345183966e-05,27540,25680,0.020241376650227808,12.05652241221761,24,nan,qnn_L3_r1
31,nan,2.410911203060297e-05,27850,25930,0.014362053434114674,12.013621925152448,24,nan,qnn_L3_r1
32,nan,1.4968654033802744e-05,28410,26430,0.01172224626058449,12.02027899460091,24,nan,qnn_L3_r1
33,nan,8.012396287940635e-06,28970,26930,0.007546921881493224,12.025805303318524,24,nan,qnn_L3_r1
34,nan,2.9880928544460454e-06,29280,27180,0.0058485656741595615,12.031431274957773,24,nan,qnn_L3_r1
35,nan,1.6836374923020281e-06,29590,27430,0.004142141462557619,12.033319048362664,24,nan,qnn_L3_r1
36,nan,1.2239958639801139e-06,29900,27680,0.00341169105242152,12.031444474220146,24,nan,qnn_L3_r1
37,nan,2.3483183920290634e-07,30210,27930,0.00143333702597985,12.022342763700031,24,nan,qnn_L3_r1
38,nan,1.1051393208267441e-07,30770,28430,0.000660166100557108,12.022620905040455,24,nan,qnn_L3_r1
39,nan,3.1310996003924046e-08,31080,28680,0.00045080029768174157,12.019071393571439,24,nan,qnn_L3_r1
40,nan,7.157560977187193e-09,31390,28930,0.00023620008240474166,12.017128340338719,24,nan,qnn_L3_r1
41,nan,7.199869157039288e-10,31700,29180,7.780875651260122e-05,12.016534045543152,24,nan,qnn_L3_r1
42,nan,2.09928707296661e-10,32260,29680,4.366478024855902e-05,12.016555641385999,24,nan,qnn_L3_r1
43,nan,2.09928707296661e-10,32320,29680,4.366478024855902e-05,12.016555641385999,24,nan,qnn_L3_r1
