step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,nan,1.0672461672502662,252570,252510,3.52261120199226,17.22457701284846,32,nan,qnn_L4_r3
1,nan,0.5117232095042028,253290,253170,2.3600187148049403,18.40453070530454,32,nan,qnn_L4_r3
2,nan,0.1189648237761667,253680,253500,1.0593951113203806,10.914315018902599,32,nan,qnn_L4_r3
3,nan,0.10377510445101693,254070,253830,0.9768250165634775,10.75316648838746,32,nan,qnn_L4_r3
4,nan,0.06323699372936022,254460,254160,0.6919481158185583,8.884808538494056,32,nan,qnn_L4_r3
5,nan,0.031292382266298116,254850,254490,0.5578388031629643,8.736755393441314,32,nan,qnn_L4_r3
6,nan,0.024869883915392035,255240,254820,0.5082992045540495,8.131028786326143,32,nan,qnn_L4_r3
7,nan,0.021751113316653702,255630,255150,0.4543656629958652,7.44147145172417,32,nan,qnn_L4_r3
8,nan,0.02036237430455712,256020,255480,0.4492662974073421,7.402508286690262,32,nan,qnn_L4_r3
9,nan,0.013084113769833034,256410,255810,0.37374677976258974,6.635754701111691,32,nan,qnn_L4_r3
10,nan,0.008514151794051607,257130,256470,0.2764151729246841,5.7246983794354325,32,nan,qnn_L4_r3
11,nan,0.006202305238568648,257520,256800,0.2298782007926752,5.312706355487971,32,nan,qnn_L4_r3
12,nan,0.004998219039330797,257910,257130,0.24608472452270305,5.214995610151627,32,nan,qnn_L4_r3
13,nan,0.004034406226519381,258300,257460,0.20224895767371603,4.932585236369084,32,nan,qnn_L4_r3
14,nan,0.0038175057692323077,258690,257790,0.19094016927131718,4.800298969852374,32,nan,qnn_L4_r3
15,nan,0.003182616219094496,259080,258120,0.18797445585102798,4.352115558454198,32,nan,qnn_L4_r3
16,nan,0.0026661256129437206,259470,258450,0.17713607379635748,4.030363381037388,32,nan,qnn_L4_r3
17,nan,0.0022733652885484805,259860,258780,0.1604489502740535,3.797960166336272,32,nan,qnn_L4_r3
18,nan,0.0021751056011670464,260250,259110,0.15362276772939273,3.5820565743055726,32,nan,qnn_L4_r3
19,nan,0.0020689383118315083,260640,259440,0.150165168302241,3.6355176207525233,32,nan,qnn_L4_r3
20,nan,0.001998106739742112,261030,259770,0.14571700190304945,3.630033955672069,32,nan,qnn_L4_r3
21,nan,0.001753772707792609,261420,260100,0.1347728471685185,3.507547186191166,32,nan,qnn_L4_r3
22,nan,0.0016099377998657297,262140,260760,0.13040945435044626,3.4232743605763387,32,nan,qnn_L4_r3
23,nan,0.0015749355772590873,262530,261090,0.1248088077683123,3.36365080539749,32,nan,qnn_L4_r3
24,nan,0.001482005439888434,262920,261420,0.12470768106362409,3.385940362155992,32,nan,qnn_L4_r3
25,nan,0.0014043797587506254,263310,261750,0.12115365039547185,3.3360169922538487,32,nan,qnn_L4_r3
26,nan,0.001293287499635404,263700,262080,0.11152701649724216,3.217652101126493,32,nan,qnn_L4_r3
27,nan,0.0012690153001438161,264090,262410,0.10641926491942347,3.0159618613777757,32,nan,qnn_L4_r3
28,nan,0.0012395857936440362,264810,263070,0.10601759325967824,3.0449229360478354,32,nan,qnn_L4_r3
29,nan,0.0011886942826828746,265200,263400,0.10600540396746687,3.0875081657931256,32,nan,qnn_L4_r3
30,nan,0.0011471284064056178,265590,263730,0.1022347402822984,3.044860672268727,32,nan,qnn_L4_r3
31,nan,0.0010590357409990105,265980,264060,0.09399736327174953,2.88437175357405,32,nan,qnn_L4_r3
32,nan,0.0009766564268156458,266370,264390,0.08609909137064033,2.732188238536592,32,nan,qnn_L4_r3
33,nan,0.0009105426866911829,267090,265050,0.08363075147679702,2.584836503491397,32,nan,qnn_L4_r3
34,nan,0.0008507924853623783,267480,265380,0.08697098150850235,2.5232028642640527,32,nan,qnn_L4_r3
35,nan,0.0008359865563814951,267870,265710,0.08239438784036987,2.446766686012948,32,nan,qnn_L4_r3
36,nan,0.0007799322280719776,268260,266040,0.08114919416747199,2.4839356697684867,32,nan,qnn_L4_r3
37,nan,0.0007428354304320267,268650,266370,0.08006913303142958,2.495227177002361,32,nan,qnn_L4_r3
38,nan,0.0007160836312630801,269040,266700,0.08314209081849029,2.539865905065155,32,nan,qnn_L4_r3
39,nan,0.0007007561296579904,269430,267030,0.08009410101014587,2.527438005798484,32,nan,qnn_L4_r3
40,nan,0.0006713511716357133,269820,267360,0.07679149518721608,2.500353957162697,32,nan,qnn_L4_r3
41,nan,0.0006578872268212228,270540,268020,0.07385098705451265,2.497983676882016,32,nan,qnn_L4_r3
42,nan,0.0006371262875447813,270930,268350,0.07460127537678178,2.503352404628931,32,nan,qnn_L4_r3
43,nan,0.0005670759495721215,271320,268680,0.0755435186796173,2.54793890739794,32,nan,qnn_L4_r3
44,nan,0.0005315705053487849,271710,269010,0.07532860806836288,2.5911849129730156,32,nan,qnn_L4_r3
45,nan,0.0004484328415245097,272100,269340,0.06509151841788678,2.55242203354517,32,nan,qnn_L4_r3
46,nan,0.00035843019902642004,272490,269670,0.05909471379746356,2.511473342006196,32,nan,qnn_L4_r3
47,nan,0.00031461577346745173,273210,270330,0.05020629608172168,2.5203166118212463,32,nan,qnn_L4_r3
48,nan,0.0002796008480417948,273600,270660,0.046154848753867175,2.4541060944458213,32,nan,qnn_L4_r3
49,nan,0.000257946317652239,273990,270990,0.044962913088998066,2.3816755003158097,32,nan,qnn_L4_r3
50,nan,0.00023053229702484966,274380,271320,0.03988156976547885,2.3928933819417177,32,nan,qnn_L4_r3
51,nan,0.00021041451735375556,274770,271650,0.03957605306858887,2.4115099222891576,32,nan,qnn_L4_r3
52,nan,0.00018613257974757155,275490,272310,0.03473819760690325,2.260675985031362,32,nan,qnn_L4_r3
53,nan,0.00016678270691032192,276210,272970,0.03679474693734418,2.2438782912016473,32,nan,qnn_L4_r3
54,nan,0.00015445191480525214,276600,273300,0.0355369086277625,2.196759862013943,32,nan,qnn_L4_r3
55,nan,0.00014398658604371432,276990,273630,0.03390738464412649,2.192350486181518,32,nan,qnn_L4_r3
56,nan,0.00013534676890529116,277380,273960,0.033991579388926996,2.170175537146463,32,nan,qnn_L4_r3
57,nan,0.00012670149327675433,277770,274290,0.034241475876734706,2.1192359727736023,32,nan,qnn_L4_r3
58,nan,0.00011562667031413954,278160,274620,0.03293062894788876,2.0611569352722308,32,nan,qnn_L4_r3
59,nan,0.00010132063742826772,278550,274950,0.028589736595485804,1.9920667703849289,32,nan,qnn_L4_r3
60,nan,9.170500366679335e-05,278940,275280,0.02623625360649172,1.9213133155207132,32,nan,qnn_L4_r3
61,nan,8.954318113920614e-05,279660,275940,0.026897878222789176,1.9080596463974333,32,nan,qnn_L4_r3
62,nan,8.644499355053171e-05,280050,276270,0.025352820309471655,1.8723201106362866,32,nan,qnn_L4_r3
63,nan,8.306050839082394e-05,280440,276600,0.02622080260670634,1.8401543016709505,32,nan,qnn_L4_r3
64,nan,8.190338661951607e-05,280830,276930,0.02527690547101892,1.836690163936122,32,nan,qnn_L4_r3
65,nan,8.009229338649636e-05,281220,277260,0.024664950245809877,1.8153281684276323,32,nan,qnn_L4_r3
66,nan,7.705405916456574e-05,281610,277590,0.023770663170137166,1.746242310200047,32,nan,qnn_L4_r3
67,nan,7.616044941659602e-05,282000,277920,0.02324948772485727,1.7333022206524165,32,nan,qnn_L4_r3
