step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.3537063782515068,2060,2000,1.970360198087607,18.076628512801225,8,nan,X1
1,0.2,0.2776614497318623,4120,4000,1.741221792280298,17.47492080460953,8,nan,X1
2,0.3,0.23712212499847113,6180,6000,1.488220236433089,16.87630420281488,8,nan,X1
3,0.4,0.21693166622635393,8240,8000,1.3784448933888935,16.380484983944115,8,nan,X1
4,0.5,0.2054594160739455,10300,10000,1.2985179311664647,16.288429922414075,8,nan,X1
5,0.6,0.20162724610809563,12360,12000,1.2625983440097475,16.23837072647712,8,nan,X1
6,0.7,0.19984284166353164,14420,14000,1.2440671815350477,16.320502258429762,8,nan,X1
7,0.8,0.19975187655127435,15160,14680,1.2436555205753037,16.303275098837382,8,nan,X1
8,0.9,0.19974838410519363,15840,15300,1.2438301748534806,16.296956059847663,8,nan,X1
9,1.0,0.1997472619871552,16470,15870,1.243850197026044,16.29782551868523,8,nan,X1
10,1.1,0.19970156535586292,18460,17800,1.244244673496913,16.266910126671565,16,nan,X1;X0Y1
11,1.2,0.19958037836342757,20510,19790,1.2424149378000986,16.29325839819381,16,nan,X1;X0Y1
12,1.3,0.19957101377921316,22270,21490,1.2422032025204728,16.29836835241823,16,nan,X1;X0Y1
13,1.4,0.19955960558562094,23880,23040,1.2421898519869106,16.297483013126865,16,nan,X1;X0Y1
14,1.5,0.1995565765492666,25240,24340,1.2421199762504125,16.302254541740247,16,nan,X1;X0Y1
15,1.6,0.1995548010350407,26650,25690,1.2420435750183825,16.29650492227531,16,nan,X1;X0Y1
16,1.7,0.19954833592559534,27840,26820,1.2421413937220798,16.298731561691117,16,nan,X1;X0Y1
17,1.8,0.19954139163421641,29030,27950,1.2420387458723132,16.29721765743285,16,nan,X1;X0Y1
18,1.9,0.1995325647220038,30290,29150,1.2419719986272688,16.293934202963797,16,nan,X1;X0Y1
19,2.0,0.19953206831712944,31500,30300,1.2419198075057403,16.29508963725853,16,nan,X1;X0Y1
20,2.1,0.19948030348255785,34050,32790,1.2415521922625015,16.29519090471864,24,nan,X1;X0Y1;X0Y1
21,2.2,0.1994658268520767,36110,34790,1.2411684054162841,16.29764834629233,24,nan,X1;X0Y1;X0Y1
22,2.3,0.1994656570026678,38000,36620,1.241157589508083,16.29729512997054,24,nan,X1;X0Y1;X0Y1
23,2.4,0.19946007773028462,39980,38540,1.2411088500011471,16.30210252580214,24,nan,X1;X0Y1;X0Y1
24,2.5,0.19944878607375482,42040,40540,1.2411190664972769,16.299729027838634,24,nan,X1;X0Y1;X0Y1
25,2.6,0.19944658734563842,44050,42490,1.2410565681777062,16.29903670377311,24,nan,X1;X0Y1;X0Y1
26,2.7,0.19944281066089553,46110,44490,1.240932316723069,16.29947933475473,24,nan,X1;X0Y1;X0Y1
27,2.8,0.19943768219617825,48160,46480,1.2409503508985162,16.29642426968379,24,nan,X1;X0Y1;X0Y1
28,2.9,0.19943233055341525,50140,48400,1.2409886657108253,16.29648220592715,24,nan,X1;X0Y1;X0Y1
29,3.0,0.19942115852977532,52200,50400,1.2406541492629182,16.298540176034557,24,nan,X1;X0Y1;X0Y1
30,3.1,0.19941667614133363,54750,52890,1.2407646031631918,16.291619490008607,32,nan,X1;X0Y1;X0Y1;X2Y3
31,3.2,0.19941421717510585,56810,54890,1.2407273033310195,16.290387944487286,32,nan,X1;X0Y1;X0Y1;X2Y3
32,3.3,0.19939896161575316,58870,56890,1.2402563842462235,16.285872735327537,32,nan,X1;X0Y1;X0Y1;X2Y3
33,3.4,0.19939206487383587,60930,58890,1.2403280328199422,16.2981673891528,32,nan,X1;X0Y1;X0Y1;X2Y3
34,3.5,0.19938274541368323,62990,60890,1.2402150156828797,16.298080006984545,32,nan,X1;X0Y1;X0Y1;X2Y3
35,3.6,0.1993667928669688,65050,62890,1.2399382982881555,16.305414115669905,32,nan,X1;X0Y1;X0Y1;X2Y3
36,3.7,0.19936624201660166,67110,64890,1.2399794546844833,16.307983695081735,32,nan,X1;X0Y1;X0Y1;X2Y3
37,3.8,0.1993610506264881,69170,66890,1.2400092757047503,16.306350638835518,32,nan,X1;X0Y1;X0Y1;X2Y3
38,3.9,0.14749308291882918,71230,68890,1.3331606777060472,8.573279660626795,32,nan,X1;X0Y1;X0Y1;X2Y3
39,4.0,0.14702583964444316,73290,70890,1.3357926726145029,8.633794477237673,32,nan,X1;X0Y1;X0Y1;X2Y3
