step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,2.542942015336538,2060,2000,5.402395162823976,22.069044044459353,8,nan,X1
1,0.2,2.5085881398458394,4120,4000,5.348256099468108,21.730090905489217,8,nan,X1
2,0.3,2.349154766542864,6180,6000,4.96029993534871,20.020010984952595,8,nan,X1
3,0.4,2.309611077396031,8240,8000,4.844909926666038,19.650788278310237,8,nan,X1
4,0.5,2.301859743743943,10300,10000,4.819118778109441,19.63168540067887,8,nan,X1
5,0.6,2.3003159565195492,12360,12000,4.815966403790893,19.637007922121228,8,nan,X1
6,0.7,2.299616574458693,14420,14000,4.814862566090005,19.64670179343475,8,nan,X1
7,0.8,2.2994076078240715,16480,16000,4.814711207519944,19.64906339099916,8,nan,X1
8,0.9,2.2992746570300606,18540,18000,4.814643973047977,19.65168514376357,8,nan,X1
9,1.0,2.299190501093169,20230,19630,4.814726160475433,19.65512349859997,8,nan,X1
10,1.1,0.2827618122973265,22780,22120,1.9051437393657868,11.838620715197292,16,nan,X1;Y2
11,1.2,0.24735213655333754,24840,24120,1.8663934267366318,11.862032075297071,16,nan,X1;Y2
12,1.3,0.15832204454972124,26900,26120,1.4638162969788413,6.651449717028223,16,nan,X1;Y2
13,1.4,0.1548041988721407,28960,28120,1.442487884610043,6.519552049992257,16,nan,X1;Y2
14,1.5,0.1520540686031388,31020,30120,1.407453476101177,6.442820641393263,16,nan,X1;Y2
15,1.6,0.1512484967602121,33080,32120,1.4019378037321684,6.448310834317382,16,nan,X1;Y2
16,1.7,0.1509132088112046,35140,34120,1.3991606872979903,6.451263621691942,16,nan,X1;Y2
17,1.8,0.15002951484813637,37200,36120,1.3883883803185335,6.4753618821735826,16,nan,X1;Y2
18,1.9,0.14971131285476477,39260,38120,1.3870595800901664,6.483672489402285,16,nan,X1;Y2
19,2.0,0.1491510036437545,41320,40120,1.37902757005164,6.487726288004827,16,nan,X1;Y2
20,2.1,0.14897090213923167,43870,42610,1.3759140445178293,6.493685003020976,24,nan,X1;Y2;X0X1
21,2.2,0.14875919779497632,45930,44610,1.376785652949012,6.510065196011207,24,nan,X1;Y2;X0X1
22,2.3,0.14856617687123574,47990,46610,1.3753270798565418,6.516222015481287,24,nan,X1;Y2;X0X1
23,2.4,0.14841714902177103,50050,48610,1.3696518659479646,6.514001361029171,24,nan,X1;Y2;X0X1
24,2.5,0.14822172137831743,52110,50610,1.365836770059338,6.530209918513394,24,nan,X1;Y2;X0X1
25,2.6,0.14815241768786624,54170,52610,1.3632918971732504,6.538926366593762,24,nan,X1;Y2;X0X1
26,2.7,0.14810721874906382,56230,54610,1.3630367767672578,6.54352863658069,24,nan,X1;Y2;X0X1
27,2.8,0.14802510725073262,58290,56610,1.3629894973278827,6.550301442530441,24,nan,X1;Y2;X0X1
28,2.9,0.14786991842075725,60350,58610,1.363949558302688,6.563823599128974,24,nan,X1;Y2;X0X1
29,3.0,0.14778024532481254,62410,60610,1.3635387641826053,6.569347913269336,24,nan,X1;Y2;X0X1
30,3.1,0.1476852213684004,64960,63100,1.3614163607461176,6.5809661070047945,32,nan,X1;Y2;X0X1;Y2Y3
31,3.2,0.14761015707277592,67020,65100,1.3588543726715803,6.569760637829109,32,nan,X1;Y2;X0X1;Y2Y3
32,3.3,0.1475226938905114,69080,67100,1.3583975778560968,6.572171891392773,32,nan,X1;Y2;X0X1;Y2Y3
33,3.4,0.14744574370215394,71140,69100,1.3550553171704571,6.57352794854723,32,nan,X1;Y2;X0X1;Y2Y3
34,3.5,0.14733901225183563,73200,71100,1.350936540690798,6.557654227819023,32,nan,X1;Y2;X0X1;Y2Y3
35,3.6,0.14714489620296684,75260,73100,1.3486882992011826,6.5481269243075175,32,nan,X1;Y2;X0X1;Y2Y3
36,3.7,0.14707618683923493,77320,75100,1.3474017121328359,6.542538467890542,32,nan,X1;Y2;X0X1;Y2Y3
37,3.8,0.14700521104560552,79380,77100,1.3495654478355836,6.538582976776702,32,nan,X1;Y2;X0X1;Y2Y3
38,3.9,0.14690777298046628,81440,79100,1.349398745203164,6.548934258449176,32,nan,X1;Y2;X0X1;Y2Y3
39,4.0,0.14682284646909066,83500,81100,1.346517150166766,6.559095409988424,32,nan,X1;Y2;X0X1;Y2Y3
