step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,2.5740784325140638,230,170,4.908010603397125,22.0510353853816,8,110.82669807268984,X1
1,0.2,0.7247504744733502,460,340,3.0267705710847745,13.921920854917774,8,67.24737675352098,X1
2,0.3,1.7150200922478853,690,510,4.144949171185423,19.621493490853894,8,16.899699120915294,X1
3,0.4,1.0550031339772121,920,680,3.429124430938831,16.314749087023458,8,17.47567341979596,X1
4,0.5,0.35109927486218745,1150,850,2.1855628623437253,10.833775304378038,8,4.305384096702114,X1
5,0.6,0.2302321669351621,1380,1020,1.7499920138923712,9.065714524640917,8,1.4560017440669764,X1
6,0.7,0.18749818677097566,1610,1190,1.5222337934124694,8.178766202132895,8,0.7177936647518721,X1
7,0.8,0.16679363994861687,1840,1360,1.383690274034557,7.7477947783648125,8,0.42741504188008256,X1
8,0.9,0.15452168048712628,2070,1530,1.2905231196805498,7.51465467410319,8,0.28891705043196075,X1
9,1.0,0.1462330234557594,2300,1700,1.227679722744177,7.35870030433544,8,0.21410230048366974,X1
10,1.1,0.14012741056635056,3180,2520,1.1802529940907147,7.22795020335906,16,0.1698567162718558,X1;Y3
11,1.2,0.13535008686886912,3570,2850,1.1408885450296724,7.157764957154919,16,0.14162641013276617,X1;Y3
12,1.3,0.13144345589718634,3960,3180,1.1130962304998548,7.104587610940332,16,0.12250491416216412,X1;Y3
13,1.4,0.1281398678957155,4350,3510,1.0954968674019039,7.062436210274145,16,0.10888385778152403,X1;Y3
14,1.5,0.1252723084534049,4740,3840,1.0915371980030786,7.035045930708135,16,0.09873556986367331,X1;Y3
15,1.6,0.12273152314745633,5130,4170,1.0874990282257833,7.016789500758419,16,0.09088651929612039,X1;Y3
16,1.7,0.12044357157795947,5520,4500,1.0828525767450619,7.005079671680467,16,0.08461516253365109,X1;Y3
17,1.8,0.11835723644173522,5910,4830,1.077690110299585,7.024279929765874,16,0.07945606488181205,X1;Y3
18,1.9,0.11643655285252766,6300,5160,1.0720753145795454,7.050210986634114,16,0.07509512558991752,X1;Y3
19,2.0,0.11465615709781808,6690,5490,1.0660567874952989,7.075419291105931,16,0.07131145276129354,X1;Y3
20,2.1,0.11299825847561429,7730,6470,1.0596759785890282,7.10664470212045,24,0.06795452078721613,X1;Y3;X2Z3
21,2.2,0.11145057603680093,8280,6960,1.052971982894344,7.137162453896533,24,0.0648787261684665,X1;Y3;X2Z3
22,2.3,0.11000486351484527,8830,7450,1.0459844647746817,7.1668509910921445,24,0.062004206192358996,X1;Y3;X2Z3
23,2.4,0.10865579995019506,9380,7940,1.0387553854488285,7.195714344200303,24,0.05926877460746556,X1;Y3;X2Z3
24,2.5,0.10740011442844437,9930,8430,1.0313298941138405,7.223738103122541,24,0.056612013838723,X1;Y3;X2Z3
25,2.6,0.10623586867356725,10480,8920,1.0256820209217334,7.250893063070344,24,0.05399372650412569,X1;Y3;X2Z3
26,2.7,0.10516185674138132,11030,9410,1.0238168348650256,7.2771390400917335,24,0.05138561815957467,X1;Y3;X2Z3
27,2.8,0.10417710367364168,11580,9900,1.0222114377239058,7.302428742924017,24,0.04876984629330171,X1;Y3;X2Z3
28,2.9,0.1032804587256579,12130,10390,1.0208397800408604,7.3274405367437065,24,0.04613779136480999,X1;Y3;X2Z3
29,3.0,0.1024702853688843,12680,10880,1.0196767085076677,7.353521575996576,24,0.04348886817007029,X1;Y3;X2Z3
30,3.1,0.10174425142592715,13880,12020,1.0186980003982478,7.384949521777096,32,0.04084393545709482,X1;Y3;X2Z3;Y2Z3
31,3.2,0.1010992192922969,14590,12670,1.0178805130296236,7.419673538434431,32,0.03818170684429454,X1;Y3;X2Z3;Y2Z3
32,3.3,0.1005312307896118,15300,13320,1.017202396295657,7.4534403859646785,32,0.03552860968886272,X1;Y3;X2Z3;Y2Z3
33,3.4,0.10003557440576952,16010,13970,1.016643320776974,7.4850166097313995,32,0.032921328823253236,X1;Y3;X2Z3;Y2Z3
34,3.5,0.09960691704148744,16720,14620,1.0161846827458099,7.514409924938165,32,0.030368069582361996,X1;Y3;X2Z3;Y2Z3
35,3.6,0.09923947872277494,17430,15270,1.0158097567586588,7.541648350333952,32,0.02788789466642136,X1;Y3;X2Z3;Y2Z3
36,3.7,0.0989272278160744,18140,15920,1.0155037797554416,7.566779293773496,32,0.025498548121556483,X1;Y3;X2Z3;Y2Z3
37,3.8,0.09866407604399384,18850,16570,1.0152539607379476,7.589867793607661,32,0.023215582186975822,X1;Y3;X2Z3;Y2Z3
38,3.9,0.09844405645041958,19560,17220,1.0150494203397207,7.610994137460258,32,0.021051751900069623,X1;Y3;X2Z3;Y2Z3
39,4.0,0.09826147258069719,20270,17870,1.0148810714885605,7.630251087550048,32,0.019016677866200614,X1;Y3;X2Z3;Y2Z3
