step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,3.853834176227754,230,170,5.937321541506888,22.517821756571315,8,113.64865460599448,X1
1,0.2,2.7011113173764545,460,340,5.190789399663968,20.6892724361986,8,70.60193912560186,X1
2,0.3,8.302929239490819,690,510,9.203591734311598,33.65777826390574,8,4.980937072450971,X1
3,0.4,6.743908907881186,920,680,8.395305753977873,31.0513977815347,8,40.759149933158376,X1
4,0.5,5.641004417431266,1150,850,7.759934857773741,29.007063365905374,8,25.976926449488094,X1
5,0.6,4.585110332570355,1380,1020,7.072155216837896,26.74207758959097,8,12.647204866010684,X1
6,0.7,3.6128393087250474,1610,1190,6.336202938574486,24.291931537864887,8,7.062801337364316,X1
7,0.8,3.0156325538247737,1840,1360,5.80404789110512,22.48488033787763,8,4.9385190586319725,X1
8,0.9,2.6793090205552716,2070,1530,5.455295676812061,21.251472942171876,8,3.7646752704087634,X1
9,1.0,2.478124844238139,2300,1700,5.209594577093861,20.358413693592865,8,3.1440090204747637,X1
10,1.1,1.3209038050389497,3180,2520,4.0487095253223435,18.872196319400995,16,50.96147399682097,X1;Y2
11,1.2,2.2297196474887544,3570,2850,4.993797749242244,18.814174384766826,16,13.592138468021467,X1;Y2
12,1.3,2.0082027588988467,3960,3180,4.764250355013336,18.268399440693468,16,16.422768374775632,X1;Y2
13,1.4,1.8500025182764617,4350,3510,4.592012493997964,17.882017057785703,16,9.583501245700027,X1;Y2
14,1.5,1.6913929591597285,4740,3840,4.41217980606331,17.46848305299091,16,3.9528832535947624,X1;Y2
15,1.6,1.403186235582972,5130,4170,4.063931400454541,16.69464100194598,16,1.8013071506054834,X1;Y2
16,1.7,3.4486844674553474,5520,4500,6.069696791060334,22.791156595285145,16,1.5687084848257618,X1;Y2
17,1.8,7.814449254257784,5910,4830,9.192689511089792,35.235316462786194,16,46.96053744719065,X1;Y2
18,1.9,0.3845048789392577,6300,5160,2.2221291194846398,12.805643358124783,16,20.152647657504108,X1;Y2
19,2.0,0.3390294147786637,6690,5490,2.105897721826187,12.748658414396093,16,2.0367605309055996,X1;Y2
20,2.1,0.28840368817600903,7730,6470,2.134768240624499,10.835922205243243,24,8.80484586100496,X1;Y2;Y0Z3
21,2.2,4.767345961314536,8280,6960,7.266079649586398,29.335385264572714,24,5.058347392331322,X1;Y2;Y0Z3
22,2.3,4.088898322495161,8830,7450,6.8384346157751095,27.051908580685403,24,27.606736266088028,X1;Y2;Y0Z3
23,2.4,3.217086789877098,9380,7940,6.07382565551961,23.720695014507438,24,20.132536173631483,X1;Y2;Y0Z3
24,2.5,0.3446001864158327,9930,8430,2.311901032795904,12.002491105564735,24,19.92864357089606,X1;Y2;Y0Z3
25,2.6,2.782081685704048,10480,8920,5.653966453304534,21.982805354598053,24,7.660170650599556,X1;Y2;Y0Z3
26,2.7,2.41692402332563,11030,9410,5.282277732384047,20.013870890494868,24,17.390227509706538,X1;Y2;Y0Z3
27,2.8,2.134621880127112,11580,9900,5.003837538687632,18.450922312816196,24,11.414800677520065,X1;Y2;Y0Z3
28,2.9,1.9112926536755408,12130,10390,4.767797280728448,17.228447872185672,24,8.255010684126553,X1;Y2;Y0Z3
29,3.0,1.6765176503445465,12680,10880,4.516280257609511,16.015423547598154,24,7.759998928413452,X1;Y2;Y0Z3
30,3.1,0.6202449240235103,13880,12020,2.8865225236749827,16.412479243760643,32,28.75007102215566,X1;Y2;Y0Z3;Y0Z1
31,3.2,2.103401823251922,14590,12670,5.034334809551014,17.501365254940833,32,8.12014572903805,X1;Y2;Y0Z3;Y0Z1
32,3.3,1.7493699030946726,15300,13320,4.687002123501482,16.410192569214193,32,13.622189287140072,X1;Y2;Y0Z3;Y0Z1
33,3.4,1.4046552997710966,16010,13970,4.304796444300232,15.405487811803015,32,10.121655620584228,X1;Y2;Y0Z3;Y0Z1
34,3.5,1.1017393799346826,16720,14620,3.9132859199165386,14.412975841306082,32,6.70940231075095,X1;Y2;Y0Z3;Y0Z1
35,3.6,0.8628888846637043,17430,15270,3.5440558288087356,13.497538790118384,32,3.895098103988171,X1;Y2;Y0Z3;Y0Z1
36,3.7,0.6890834640282499,18140,15920,3.2192159185582585,12.740318929074554,32,2.02697475518722,X1;Y2;Y0Z3;Y0Z1
37,3.8,0.5669889667382052,18850,16570,2.9438350693338236,12.180014890334341,32,1.1617806996217255,X1;Y2;Y0Z3;Y0Z1
38,3.9,0.4807561511140886,19560,17220,2.70895793471547,11.73963326428787,32,0.9031454510132086,X1;Y2;Y0Z3;Y0Z1
39,4.0,0.4202985867822627,20270,17870,2.512115300439815,11.356287926754302,32,0.7613076845787001,X1;Y2;Y0Z3;Y0Z1
