step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,1.9660995500420055,1680,3.819247598826699,21.345604997116258,8,39.67015647426701,X1
1,0.2,1.6869863791528334,3360,3.4549164518668554,18.399791311058607,8,2.8112818963162063,X1
2,0.3,1.6045921839805253,5040,3.386037431671223,17.681747964368746,8,1.6868098343448497,X1
3,0.4,1.1181153100258174,6720,3.0105175768040127,15.477392822766488,8,2.3922090169847987,X1
4,0.5,1.3458029883997211,8400,3.164292899491352,15.741400784772795,8,1.736004936016308,X1
5,0.6,1.4411523312997097,10080,3.1726420550243866,16.08384314885393,8,1.5927468172652863,X1
6,0.7,1.2746307857125574,11760,2.899628113101933,15.153479872279416,8,1.9234759370914203,X1
7,0.8,1.0760766209342427,13440,2.891448305302376,15.615593841987598,8,2.3004580197347657,X1
8,0.9,1.0716331529773806,15120,2.7230109685236297,15.370736972949512,8,1.6100067438568022,X1
9,1.0,1.2475357691562796,16800,2.4628749541913293,17.09321074775965,8,2.727703028222498,X1
10,1.1,0.386743141044992,23130,1.5563719823943931,8.550057307848748,16,12.913529384318997,X1;Y0Y3
11,1.2,0.5034682200851374,28970,1.9139349094953007,9.517649961083718,16,1.7608912589240528,X1;Y0Y3
12,1.3,0.35831432540974245,34810,1.5526430823187505,7.806749661907429,16,2.534785648639952,X1;Y0Y3
13,1.4,0.1625485334353483,40650,0.9680652864273215,5.93945138794531,16,2.51184472925991,X1;Y0Y3
14,1.5,0.11992324368715475,46490,0.8030922909746127,5.427612006296939,16,1.481529152969882,X1;Y0Y3
15,1.6,0.0781571940538198,52330,0.7328362246193841,4.750990533674029,16,1.204766449544807,X1;Y0Y3
16,1.7,0.06189806036122814,58170,0.6743019407091013,4.46116501895092,16,1.0449447976715385,X1;Y0Y3
17,1.8,0.06380725379866908,64010,0.6797020311040989,4.30075428595925,16,0.5913620328749513,X1;Y0Y3
18,1.9,0.0628129551982996,69850,0.6757728936417853,4.274384073853141,16,0.6905298683562677,X1;Y0Y3
19,2.0,0.07522128382018028,75690,0.7260849451568365,4.362047693561606,16,0.9243218382389158,X1;Y0Y3
20,2.1,0.019025121935556374,88740,0.3753218210384097,3.465114412133178,24,1.6224447494563432,X1;Y0Y3;X0X3
21,2.2,0.011802775097218296,101300,0.28742207789099217,2.9696553830180448,24,0.5309667083495461,X1;Y0Y3;X0X3
22,2.3,0.020631809015208714,113860,0.3141129587670291,3.5185910194988876,24,0.4904532825146769,X1;Y0Y3;X0X3
23,2.4,0.010338395696709288,126420,0.2724240175249645,2.654577248326658,24,1.005596371170307,X1;Y0Y3;X0X3
24,2.5,0.009730223255334298,138980,0.2745991904082353,2.7141328865325307,24,0.49888762486901556,X1;Y0Y3;X0X3
25,2.6,0.010053885631362348,151540,0.2777572556436866,2.6004306530494463,24,0.2774610120663434,X1;Y0Y3;X0X3
26,2.7,0.00919032771590965,164100,0.2627050042735481,2.599377454255417,24,0.3337574679326497,X1;Y0Y3;X0X3
27,2.8,0.00966685177047885,176660,0.2667564894939565,2.6193807665404956,24,0.23072682076251727,X1;Y0Y3;X0X3
28,2.9,0.010301467486818401,189220,0.2785654629466073,2.613039777893459,24,0.3541085205092227,X1;Y0Y3;X0X3
29,3.0,0.017887634129655834,201780,0.28499714384916486,3.2757440595296647,24,0.490681153764166,X1;Y0Y3;X0X3
