step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,7.888137864768513,2060,9.097735595480286,49.77752686875632,8,nan,X1
1,0.2,7.865523158069303,4120,9.079593612449198,49.58282888036013,8,nan,X1
2,0.3,7.844425020446536,6180,9.063316016031711,49.446681442965385,8,nan,X1
3,0.4,7.829644738655491,8240,9.052873609543552,49.405553549774666,8,nan,X1
4,0.5,7.819153169362311,10300,9.045378574454375,49.35488661777174,8,nan,X1
5,0.6,7.809348974987658,12360,9.03901717476538,49.32070024603818,8,nan,X1
6,0.7,7.804387263219387,14420,9.035932835648413,49.31381237049395,8,nan,X1
7,0.8,7.799991701028922,16480,9.032780076449018,49.29389029267243,8,nan,X1
8,0.9,7.797716388157361,18540,9.031339299032691,49.2813206663196,8,nan,X1
9,1.0,7.794452652017903,20550,9.029204726032384,49.26766092796012,8,nan,X1
10,1.1,1.1558726841278917,23840,3.154865341915981,19.873798875084592,16,nan,X1;X2Y7
11,1.2,1.0719232832772663,25900,3.0093803942811377,19.912112254013152,16,nan,X1;X2Y7
12,1.3,1.0564964795513758,27960,2.994590501322042,19.612228815216444,16,nan,X1;X2Y7
13,1.4,1.0472260349672755,30020,2.985199898540602,19.47462011784309,16,nan,X1;X2Y7
14,1.5,1.041839844209746,32080,2.9776252740462215,19.432117116578375,16,nan,X1;X2Y7
15,1.6,1.037568412292521,34140,2.9760340949063204,19.27666683500297,16,nan,X1;X2Y7
16,1.7,1.0327941738480138,36200,2.9685048452875664,19.26856822011255,16,nan,X1;X2Y7
17,1.8,1.0237305519104625,38260,2.9581090210177745,19.12914986121767,16,nan,X1;X2Y7
18,1.9,1.0202565617266635,40320,2.953365401775707,19.1091495555148,16,nan,X1;X2Y7
19,2.0,1.018306326450447,42380,2.951788265650129,19.06100963642405,16,nan,X1;X2Y7
20,2.1,0.06870035059711803,46370,0.6684593083242543,7.307327232702492,24,nan,X1;X2Y7;Y5
21,2.2,0.05221869535247142,48430,0.5650189744609913,7.752897058366796,24,nan,X1;X2Y7;Y5
22,2.3,0.04570411759476256,50490,0.5417316487238648,8.122632326833644,24,nan,X1;X2Y7;Y5
23,2.4,0.044614071131795295,52550,0.5421377265302388,7.994883810212604,24,nan,X1;X2Y7;Y5
24,2.5,0.04262802420596532,54610,0.5419982859235191,7.711988740868718,24,nan,X1;X2Y7;Y5
25,2.6,0.0423350104608908,56670,0.5408954751569254,7.748045653262557,24,nan,X1;X2Y7;Y5
26,2.7,0.042167103186944346,58730,0.5384190656803973,7.753720355710772,24,nan,X1;X2Y7;Y5
27,2.8,0.04170502334352894,60790,0.5349407093274035,7.704631742978734,24,nan,X1;X2Y7;Y5
28,2.9,0.04100612146888305,62850,0.5342602208449898,7.503816100427233,24,nan,X1;X2Y7;Y5
29,3.0,0.040781143894539705,64910,0.5319682512535971,7.5130936401102035,24,nan,X1;X2Y7;Y5
30,3.1,0.04063075514170438,68900,0.5330565399072068,7.447806683589078,32,nan,X1;X2Y7;Y5;Y6Y7
31,3.2,0.04032391038595113,70960,0.5340556790125749,7.383716749240665,32,nan,X1;X2Y7;Y5;Y6Y7
32,3.3,0.040171278927627646,73020,0.529260717114987,7.3473877501001175,32,nan,X1;X2Y7;Y5;Y6Y7
33,3.4,0.03990358967010363,75080,0.531448354899505,7.270445134205023,32,nan,X1;X2Y7;Y5;Y6Y7
34,3.5,0.03967604969874652,77140,0.5288382418821362,7.219769166585761,32,nan,X1;X2Y7;Y5;Y6Y7
35,3.6,0.039445191738556956,79200,0.5252009792172612,7.21968672707278,32,nan,X1;X2Y7;Y5;Y6Y7
36,3.7,0.03919502169696827,81260,0.5253471683643667,7.1466455033767975,32,nan,X1;X2Y7;Y5;Y6Y7
37,3.8,0.03896670612049643,83320,0.5257364936394504,7.077748424042094,32,nan,X1;X2Y7;Y5;Y6Y7
38,3.9,0.03827536370064786,85380,0.5240554097859262,6.91728819683939,32,nan,X1;X2Y7;Y5;Y6Y7
39,4.0,0.03768532863678842,87440,0.5137398858832254,6.882789043547465,32,nan,X1;X2Y7;Y5;Y6Y7
