step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,20.631583584190132,230,170,14.590302539910676,70.80273238519234,8,118.61773478165931,X1
1,0.2,20.63513247979614,460,340,14.555705181871538,72.22462500018774,8,83.19919640704657,X1
2,0.3,20.310696150315458,690,510,14.439763483398524,71.5637392202692,8,22.838001335074047,X1
3,0.4,19.961039078613446,920,680,14.313420741298827,70.85182106661053,8,23.721170528591788,X1
4,0.5,19.602206036492866,1150,850,14.182121920548965,70.12574421015927,8,24.04289161823407,X1
5,0.6,19.25176391809401,1380,1020,14.052129299109081,69.42544578342135,8,23.764930736609518,X1
6,0.7,18.925311851904297,1610,1190,13.929299871117202,68.78506286484279,8,22.925860291735734,X1
7,0.8,18.63387297841528,1840,1360,13.81806718544289,68.22664272597378,8,21.629055050622696,X1
8,0.9,18.382999363692196,2070,1530,13.720978073341444,67.75866746285523,8,20.013362928971794,X1
9,1.0,18.173421093514545,2300,1700,13.63879626490946,67.37862735187944,8,18.22093241901359,X1
10,1.1,15.992887230147803,8580,7920,12.803795932079904,62.96019649938842,16,212.96689561862812,X1;X4X8
11,1.2,14.841334044070612,8970,8250,12.364814433473514,60.96679414530597,16,76.14548113142257,X1;X4X8
12,1.3,12.847595197314089,9360,8580,11.506909664369495,56.92646662335253,16,68.20241560554497,X1;X4X8
13,1.4,12.054023149312936,9750,8910,11.14293225298185,55.31332083791343,16,82.84087613898787,X1;X4X8
14,1.5,10.995826992255791,10140,9240,10.635150777850008,53.11493576273075,16,79.71786494805005,X1;X4X8
15,1.6,9.513128384853099,10530,9570,9.837329901344845,49.9210666267351,16,63.706799293189974,X1;X4X8
16,1.7,9.359632537277268,10920,9900,9.761976472472087,49.42561892264726,16,25.255073616142113,X1;X4X8
17,1.8,9.254480295366976,11310,10230,9.70934470250149,49.08564284542854,16,20.583675275537896,X1;X4X8
18,1.9,9.498932895673072,11700,10560,9.832974580395188,49.665811351579904,16,16.743251525382764,X1;X4X8
19,2.0,9.348543917672654,12090,10890,9.757739184142494,49.2529203761108,16,27.73632875902248,X1;X4X8
20,2.1,7.878884132796958,18530,17270,8.962232106900112,44.19648262639617,24,147.76187764736736,X1;X4X8;Y10Y12
21,2.2,7.742596137362221,19080,17760,8.758633464992878,44.715421372635404,24,73.29582828420857,X1;X4X8;Y10Y12
22,2.3,4.641627063004235,19630,18250,6.787083737304382,36.31130474827912,24,74.90920659518352,X1;X4X8;Y10Y12
23,2.4,4.074449947496214,20180,18740,6.395395657607381,33.31513050129214,24,49.86017626000245,X1;X4X8;Y10Y12
24,2.5,4.037708024761567,20730,19230,6.365948881753258,33.16150822928907,24,32.64786301524094,X1;X4X8;Y10Y12
25,2.6,3.9811832846915003,21280,19720,6.320224554241515,32.9170714952356,24,15.017504695142584,X1;X4X8;Y10Y12
26,2.7,3.9311418927366586,21830,20210,6.27927625923045,32.698842608771855,24,13.11008301586714,X1;X4X8;Y10Y12
27,2.8,3.88721648712887,22380,20700,6.24293959536198,32.50582659126746,24,11.625033914238694,X1;X4X8;Y10Y12
28,2.9,3.848855233592084,22930,21190,6.210881974850374,32.336160321910626,24,10.408172216823266,X1;X4X8;Y10Y12
29,3.0,3.8154662574292018,23480,21680,6.182716206607985,32.187707304708745,24,9.380946739004285,X1;X4X8;Y10Y12
30,3.1,2.962763666639664,30080,28220,5.378786462463687,26.43235393812576,32,79.52931177815994,X1;X4X8;Y10Y12;Y2Y6
31,3.2,2.206722723791162,30790,28870,4.734222407537331,24.230261375861456,32,26.73801824271057,X1;X4X8;Y10Y12;Y2Y6
32,3.3,2.0997382844951744,31500,29520,4.623297092967721,23.656971903281416,32,33.39064989393543,X1;X4X8;Y10Y12;Y2Y6
33,3.4,1.1117460324323942,32210,30170,3.3846210188425996,16.12778387245655,32,32.2499262032586,X1;X4X8;Y10Y12;Y2Y6
34,3.5,1.0858940551525182,32920,30820,3.345310964433795,15.876049707919737,32,14.784346337206516,X1;X4X8;Y10Y12;Y2Y6
35,3.6,1.0624082879791197,33630,31470,3.3090248823684236,15.649455205034858,32,13.6744115936712,X1;X4X8;Y10Y12;Y2Y6
36,3.7,1.0410467327788349,34340,32120,3.2755270037110513,15.440611624129215,32,12.68269940009125,X1;X4X8;Y10Y12;Y2Y6
37,3.8,1.021593499003287,35050,32770,3.244597693816171,15.248112312227054,32,11.795426236544087,X1;X4X8;Y10Y12;Y2Y6
38,3.9,1.0038563211192866,35760,33420,3.2160332637488134,15.070630676233286,32,11.000073861681965,X1;X4X8;Y10Y12;Y2Y6
39,4.0,0.9876641343040818,36470,34070,3.1896454799305407,14.906928278529733,32,10.285435385915571,X1;X4X8;Y10Y12;Y2Y6
