step,tau,cost,forward_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,10.677030272164608,230,9.835429155692447,46.646966694544616,8,92.17950773483456,X1
1,0.2,9.309070658074099,460,9.20472127583939,43.495412420869705,8,4.2300823512388925,X1
2,0.3,7.617517311201736,690,8.394703952151929,40.08206063304986,8,7.630940029555574,X1
3,0.4,5.537149796617762,920,7.243539806949554,35.175036718324435,8,8.707413962719302,X1
4,0.5,4.109411488072954,1150,6.238160484362377,30.586075895329337,8,7.8497553852828625,X1
5,0.6,3.383322402384742,1380,5.5824384053605645,27.415176405893593,8,6.160236539383167,X1
6,0.7,2.9904552915168914,1610,5.119741205235293,25.063123937726058,8,4.8544984885643485,X1
7,0.8,10.55263467200218,1840,9.564544229422927,45.724475886482196,8,4.245349413453242,X1
8,0.9,10.079421928702361,2070,9.689076804552178,45.76734370784906,8,5.309610234461994,X1
9,1.0,9.1993471837143,2300,9.32324801358315,44.285255105460635,8,9.97830828593444,X1
10,1.1,2.7348267459304245,3180,4.643655538539962,25.29722634315559,16,124.51571153107575,X1;Y2
11,1.2,5.9607685947334526,3570,7.542242142404205,37.38515357515303,16,77.9310147388064,X1;Y2
12,1.3,5.000509444446409,3960,6.997833007403511,36.231459108765115,16,18.78502820968736,X1;Y2
13,1.4,0.3399817995382775,4350,1.8208615968860458,14.537200341489015,16,29.727196645843485,X1;Y2
14,1.5,0.24811504800420742,4740,1.5468305875543378,13.523516957842913,16,2.5169929373775517,X1;Y2
15,1.6,0.17698199807463955,5130,1.4404283818193135,10.691152072579305,16,1.6734436041833107,X1;Y2
16,1.7,0.13990903553678116,5520,1.2950860615855997,10.276485137124501,16,0.4660386897643825,X1;Y2
17,1.8,0.11412607797972732,5910,1.1753218067527387,10.00187744627643,16,0.3817343128905223,X1;Y2
18,1.9,0.0960477224758543,6300,1.0769137692737796,9.821681231091949,16,0.32881018461606176,X1;Y2
19,2.0,0.08317419068740044,6690,0.995606171276221,9.674043003751517,16,0.2917620149126041,X1;Y2
20,2.1,0.07384368424239934,7730,0.927848243372822,9.547870278252065,24,0.26496489637978093,X1;Y2;Y0Y1
21,2.2,0.06696087598775508,8280,0.8708677179294929,9.448428535160582,24,0.2459670133214572,X1;Y2;Y0Y1
22,2.3,0.06179535478611921,8830,0.8225207817125975,9.379117538317207,24,0.23338466842848507,X1;Y2;Y0Y1
23,2.4,0.05785113358977042,9380,0.7811273648427486,9.316132397159638,24,0.22637611562681925,X1;Y2;Y0Y1
24,2.5,0.05478406593670331,9930,0.745329887699913,9.258463232111515,24,0.2246613307753939,X1;Y2;Y0Y1
25,2.6,0.05234795753092585,10480,0.7139578476146156,9.22524444605428,24,0.22882061366768747,X1;Y2;Y0Y1
26,2.7,0.05035469712682193,11030,0.6888866581406812,9.213500399156636,24,0.24110157576081068,X1;Y2;Y0Y1
27,2.8,0.054750550618320855,11580,0.6572398430823362,10.152352492349063,24,0.26803323219983,X1;Y2;Y0Y1
28,2.9,0.05102515708047248,12130,0.6469556414609114,9.944097545062279,24,1.0400665361888077,X1;Y2;Y0Y1
29,3.0,0.04831280310309766,12680,0.6373864388986668,9.775375349411835,24,0.9201546596664307,X1;Y2;Y0Y1
30,3.1,0.06861565856387955,13880,0.7367101873831583,10.574355295525402,32,0.8688062374450324,X1;Y2;Y0Y1;Z0
31,3.2,0.057370921398617936,14590,0.7028642869772941,9.734964190318161,32,1.630134557929181,X1;Y2;Y0Y1;Z0
32,3.3,0.05490572328538413,15300,0.6811022583588782,9.60789590345232,32,0.8785084541098859,X1;Y2;Y0Y1;Z0
33,3.4,0.058472696243906656,16010,0.7852990425871214,9.062494136933992,32,0.7527757643797255,X1;Y2;Y0Y1;Z0
34,3.5,0.06389054276845847,16720,0.8355321240312801,8.849227588401817,32,0.232666941744596,X1;Y2;Y0Y1;Z0
35,3.6,0.05948716503277582,17430,0.7870282669097646,8.846367300831066,32,0.21230556094442946,X1;Y2;Y0Y1;Z0
36,3.7,0.056276825548590426,18140,0.7486385912483489,8.844942235456939,32,0.16701939171400856,X1;Y2;Y0Y1;Z0
37,3.8,0.05390284928203333,18850,0.7186847602105566,8.865776236373444,32,0.1532196084653331,X1;Y2;Y0Y1;Z0
38,3.9,0.05211705443796408,19560,0.6932657418398915,8.896116251077098,32,0.15885145102551076,X1;Y2;Y0Y1;Z0
39,4.0,0.050747585980328073,20270,0.6716078549186896,8.919659917404218,32,0.1718799429379752,X1;Y2;Y0Y1;Z0
