step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,3.9838546087981883,230,170,5.284123754791564,36.34447210637022,8,47.9285169368745,X1
1,0.2,2.0141414264825404,460,340,4.695142687224792,24.260438463553903,8,34.33022741402803,X1
2,0.3,1.747020960104002,690,510,4.481256229581019,22.37482724277111,8,11.602695738117028,X1
3,0.4,1.4267522228789749,920,680,4.032946789406994,21.155251458462484,8,12.3900733402641,X1
4,0.5,2.065363893180992,1150,850,4.456386290943029,24.37159665163993,8,5.143665079070495,X1
5,0.6,1.425508201638528,1380,1020,4.135753772833179,20.24228668170041,8,4.293733182005961,X1
6,0.7,1.3638080368651888,1610,1190,4.055413285286823,19.73444427159904,8,1.489410055033409,X1
7,0.8,1.4747296465900273,1840,1360,3.9263305895591945,20.167799615442743,8,1.1681325378054968,X1
8,0.9,1.347991866968529,2070,1530,4.1177592869336594,20.326179360872857,8,5.7429909306314055,X1
9,1.0,1.3397548130847279,2300,1700,4.102967079293533,20.277922075572736,8,2.0513999652293156,X1
10,1.1,0.9297882592314862,3180,2520,2.932417218563206,20.21325223747339,16,4.027837270780258,X1;Y1Y2
11,1.2,0.901545739463429,3570,2850,2.833650616847763,20.123116857653894,16,2.684664447194705,X1;Y1Y2
12,1.3,0.8863627757567096,3960,3180,2.793017594980288,20.12990123223293,16,1.6785898673249833,X1;Y1Y2
13,1.4,0.8719180295584206,4350,3510,2.7518377756134638,20.124598282275205,16,1.0600494546545458,X1;Y1Y2
14,1.5,0.8582883916376928,4740,3840,2.7116577871064047,20.10938698929143,16,0.8757817476599589,X1;Y1Y2
15,1.6,0.8918440181993741,5130,4170,2.694675525942096,20.075334391540164,16,0.7795215022604679,X1;Y1Y2
16,1.7,0.8655145811958231,5520,4500,2.6344247884111223,20.00925337568659,16,2.2463467913426745,X1;Y1Y2
17,1.8,0.8471411521432819,5910,4830,2.5971239082460897,19.994902040301717,16,1.5629076145842822,X1;Y1Y2
18,1.9,0.8313516742362828,6300,5160,2.5627689381353917,19.98216610018754,16,1.0851937794239281,X1;Y1Y2
19,2.0,0.8178208373013848,6690,5490,2.531265255085301,19.96800046584542,16,0.7702649628047686,X1;Y1Y2
20,2.1,0.1891773778332717,7730,6470,1.3226047154506126,8.769440079900889,24,12.903872044909786,X1;Y1Y2;X2Z3
21,2.2,0.7343887927618507,8280,6960,2.386779363700513,18.35819952972082,24,1.2658990463089734,X1;Y1Y2;X2Z3
22,2.3,0.731325326637801,8830,7450,2.3405517239155613,18.496894563535168,24,4.745651055559363,X1;Y1Y2;X2Z3
23,2.4,0.6956866502662311,9380,7940,2.2866854209158514,18.21962718517663,24,5.810461070416926,X1;Y1Y2;X2Z3
24,2.5,0.6561671677985997,9930,8430,2.228163567040727,17.869627904016898,24,6.146105822811868,X1;Y1Y2;X2Z3
25,2.6,0.6138456061149741,10480,8920,2.165379913271729,17.450043197913086,24,6.344070236049556,X1;Y1Y2;X2Z3
26,2.7,0.5701708578524556,11030,9410,2.099288633874172,16.96243542711589,24,6.3859916992477155,X1;Y1Y2;X2Z3
27,2.8,0.5266741458056702,11580,9900,2.0311931305907898,16.420372835111237,24,6.273253724556465,X1;Y1Y2;X2Z3
28,2.9,0.4846874839982249,12130,10390,1.9624709983007378,15.841193991206676,24,6.025973049124142,X1;Y1Y2;X2Z3
29,3.0,0.38589651467226416,12680,10880,1.8269719025083233,14.442587605966407,24,5.676707892118493,X1;Y1Y2;X2Z3
30,3.1,0.13559924470895635,13880,12020,1.057355753785166,8.55376698903361,32,4.34559249747978,X1;Y1Y2;X2Z3;X2Z3
31,3.2,0.1308338229025365,14590,12670,1.0408233478178919,8.403225695673495,32,0.7220149445837788,X1;Y1Y2;X2Z3;X2Z3
32,3.3,0.1271822504438482,15300,13320,1.0274971948610272,8.285474344446039,32,0.559116432522195,X1;Y1Y2;X2Z3;X2Z3
33,3.4,0.12425175937168456,16010,13970,1.016668186699924,8.19200866141416,32,0.44420139351591637,X1;Y1Y2;X2Z3;X2Z3
34,3.5,0.1218244517526128,16720,14620,1.007868928714366,8.117699489564355,32,0.36175045215596063,X1;Y1Y2;X2Z3;X2Z3
35,3.6,0.11977855607640928,17430,15270,1.000820896277257,8.062466811457881,32,0.3022506995106979,X1;Y1Y2;X2Z3;X2Z3
36,3.7,0.11806260854129857,18140,15920,0.9955062909071443,8.031332166430962,32,0.2599831677201216,X1;Y1Y2;X2Z3;X2Z3
37,3.8,0.14413801955061314,18850,16570,1.1243301993564945,8.964499808767615,32,0.23249987060056965,X1;Y1Y2;X2Z3;X2Z3
38,3.9,0.13696713733582666,19560,17220,1.0916755531401925,8.679814997361687,32,1.1670584551024976,X1;Y1Y2;X2Z3;X2Z3
39,4.0,0.13225286807709485,20270,17870,1.0796048458311296,8.473713444791171,32,0.9219214689841129,X1;Y1Y2;X2Z3;X2Z3
