step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.22402457031322193,2060,2000,1.0821175648456323,6.789983558756389,8,nan,X1
1,0.2,0.22393421066729768,4120,4000,1.0756454163757057,6.777146932992165,8,nan,X1
2,0.3,0.22387173023849533,5410,5230,1.0735545215436864,6.783210195222037,8,nan,X1
3,0.4,0.2236954869329742,7470,7230,1.0711182984256338,6.806670164071978,8,nan,X1
4,0.5,0.22332188987865187,9530,9230,1.064532936585273,6.833569437778041,8,nan,X1
5,0.6,0.22311808984352197,11590,11230,1.06212326712331,6.851724286058834,8,nan,X1
6,0.7,0.22282111861090276,13650,13230,1.0604872873606148,6.858723281738927,8,nan,X1
7,0.8,0.22256133240811868,15710,15230,1.0563725785460725,6.869746619539435,8,nan,X1
8,0.9,0.22225260382097106,17770,17230,1.0525843779720705,6.887963196858119,8,nan,X1
9,1.0,0.22199779963884564,19830,19230,1.0502333156180153,6.8913833893963305,8,nan,X1
10,1.1,0.0023162740399194836,22380,21720,0.11954380368825546,3.9562390329114496,16,nan,X1;Y0
11,1.2,0.0010002685200261895,24440,23720,0.08620412477440151,3.8951961428714594,16,nan,X1;Y0
12,1.3,0.0007249661609426593,26500,25720,0.06613429705766144,3.847489674173223,16,nan,X1;Y0
13,1.4,0.0005580202077073411,28560,27720,0.05908126876375139,3.822559189835353,16,nan,X1;Y0
14,1.5,0.0004926167450079232,30620,29720,0.05624666291169872,3.811834077454784,16,nan,X1;Y0
15,1.6,0.00043514979572411097,32680,31720,0.05286277373182599,3.7989485408014825,16,nan,X1;Y0
16,1.7,0.0003812234348424006,34740,33720,0.05049650493465235,3.7901521422613675,16,nan,X1;Y0
17,1.8,0.00035196032398704684,36800,35720,0.04850987454795708,3.7772837447470287,16,nan,X1;Y0
18,1.9,0.0003170617959656776,38860,37720,0.04636473335045865,3.7669971684079626,16,nan,X1;Y0
19,2.0,0.0003003329624482689,40920,39720,0.043317785445147305,3.758133482892271,16,nan,X1;Y0
20,2.1,0.0002921460639907222,43470,42210,0.042565885993084425,3.762496416276699,24,nan,X1;Y0;X2
21,2.2,0.00028738885935351074,45530,44210,0.042245202396250625,3.7616609391547993,24,nan,X1;Y0;X2
22,2.3,0.0002842912742463037,47590,46210,0.041708559996622825,3.7601631335131063,24,nan,X1;Y0;X2
23,2.4,0.00028123526225128564,49650,48210,0.0411813877871156,3.7577305811381816,24,nan,X1;Y0;X2
24,2.5,0.0002769905049521501,51710,50210,0.04062723846045496,3.7559803439343225,24,nan,X1;Y0;X2
25,2.6,0.00027548391773871107,53770,52210,0.04059673740667273,3.7561283168475,24,nan,X1;Y0;X2
26,2.7,0.00027258986859932143,55830,54210,0.040055557559689814,3.752129778177592,24,nan,X1;Y0;X2
27,2.8,0.0002718974405173984,57510,55830,0.03990123349844333,3.751884570299031,24,nan,X1;Y0;X2
28,2.9,0.0002709918676449572,59280,57540,0.0396165528593582,3.7508666314482624,24,nan,X1;Y0;X2
29,3.0,0.00027002259903807335,61300,59500,0.03939496052041816,3.751323216142262,24,nan,X1;Y0;X2
