step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,1.686023296648,230,170,3.229813883518044,20.918117261560845,8,28.769706319227463,X1
1,0.2,1.5616955826299612,460,340,3.3396117088584405,17.737271885214355,8,1.4889299287431006,X1
2,0.3,1.4785120708742687,690,510,3.2652419147736733,17.07357337418718,8,1.1022521260424807,X1
3,0.4,1.361407814159289,920,680,3.1334973587621833,16.151498105446922,8,1.353845112937485,X1
4,0.5,1.203304517710964,1150,850,2.9692764539401293,14.903691150136805,8,1.5511552334947167,X1
5,0.6,0.9825964870819601,1380,1020,2.7049117658526978,12.978790162399317,8,1.7240558163505098,X1
6,0.7,0.7070598145022549,1610,1190,2.291686766157812,10.555256436617883,8,1.7633529585976486,X1
7,0.8,0.4251412842257949,1840,1360,1.8415889309484683,8.321379672062355,8,1.7098459741190413,X1
8,0.9,0.22419740718124131,2070,1530,1.4003316614898371,6.172010336561337,8,1.5371871412596418,X1
9,1.0,0.21727779027050448,2300,1700,1.2122193041460054,5.479634510065885,8,1.1810480532133467,X1
10,1.1,1.0882328647046395,3180,2520,2.338407913205437,14.34382541319728,16,3.1391821041953283,X1;Y0
11,1.2,0.5450928858820321,3570,2850,1.2450111431649316,8.216466592027583,16,7.6964273136176775,X1;Y0
12,1.3,0.21960299478882772,3960,3180,1.1854687942404474,7.100557569646269,16,3.9552194099997573,X1;Y0
13,1.4,0.049350636560518545,4350,3510,0.621634778131543,3.7232711078061542,16,1.5818062725626811,X1;Y0
14,1.5,0.02711248759806989,4740,3840,0.3915003363735728,3.2332393281339855,16,0.5816951528454178,X1;Y0
15,1.6,0.019274516701984486,5130,4170,0.3740424823749801,3.2960101013115892,16,0.645307671897844,X1;Y0
16,1.7,0.01265677815812976,5520,4500,0.3215471625744311,3.043135918849533,16,0.2717028982719494,X1;Y0
17,1.8,0.008671089997873584,5910,4830,0.27508939132455984,2.832901040571413,16,0.21429277423002352,X1;Y0
18,1.9,0.006587055159872247,6300,5160,0.2378337756862591,2.685009754922359,16,0.15674353987783884,X1;Y0
19,2.0,0.005513903962457084,6690,5490,0.2111708944429457,2.6067684279174363,16,0.11097411040949326,X1;Y0
20,2.1,0.002482796277462036,7730,6470,0.14245063066237101,1.6924871884068462,24,0.11493634095574791,X1;Y0;Y1Y2
21,2.2,0.00214816906034109,8280,6960,0.1349802240457188,1.6098947197114906,24,0.06174912247440336,X1;Y0;Y1Y2
22,2.3,0.0019224329210297255,8830,7450,0.12721020323917334,1.5344154244053214,24,0.049116640885513936,X1;Y0;Y1Y2
23,2.4,0.0017484198452557824,9380,7940,0.12028992865655827,1.4680006280975642,24,0.042986270376956404,X1;Y0;Y1Y2
24,2.5,0.001611994821422975,9930,8430,0.11433400772599392,1.4101496862887652,24,0.038014923220313336,X1;Y0;Y1Y2
25,2.6,0.0015038644745469214,10480,8920,0.10921961035104047,1.362082389297983,24,0.03379860845164055,X1;Y0;Y1Y2
26,2.7,0.0014171466461619581,11030,9410,0.10480394881175417,1.3215750515250708,24,0.03022461146036976,X1;Y0;Y1Y2
27,2.8,0.0013467531550431578,11580,9900,0.10096505579501597,1.2859630943754712,24,0.02719254009498381,X1;Y0;Y1Y2
28,2.9,0.0012889187987692968,12130,10390,0.09763050635867551,1.2544906761502717,24,0.024612924480350733,X1;Y0;Y1Y2
29,3.0,0.0012408399071133216,12680,10880,0.09516972116468528,1.2273470462908254,24,0.022410352563342947,X1;Y0;Y1Y2
