step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,3.016747572469849,230,170,5.098007225994181,28.558250496135955,8,28.213113254825014,X1
1,0.2,1.1199762272372271,460,340,3.156145072071147,20.38021433540834,8,0.40134151545147273,X1
2,0.3,0.5608429012662269,690,510,2.2986626194272257,13.918506233099537,8,3.356775153870689,X1
3,0.4,0.24919997863726004,920,680,1.504977571351719,7.86981255606929,8,2.8936264742879665,X1
4,0.5,0.4533593612679573,1150,850,1.9505014529041718,8.79375371474131,8,0.5128195988785919,X1
5,0.6,0.13871477050709338,1380,1020,1.0357006629308092,2.4903956996577112,8,0.7857587172559388,X1
6,0.7,0.07920855713284304,1610,1190,0.6514479930020196,2.9728905026756673,8,0.3724585075794463,X1
7,0.8,0.05910727784711794,1840,1360,0.5001494214150402,3.2058606458131202,8,0.18693745296943265,X1
8,0.9,0.04801877040537243,2070,1530,0.48287971646094263,3.1450529140044914,8,0.11458789887795882,X1
9,1.0,0.04125941662953359,2300,1700,0.46271810727724927,3.0114633665985617,8,0.08002105527229876,X1
10,1.1,0.03620735734450403,3180,2520,0.3984809942145169,2.8457966476222176,16,0.033150625795163764,X1;X0Z1
11,1.2,0.03691728936297203,3570,2850,0.39269890608026264,2.396566379720311,16,0.025047801559163606,X1;X0Z1
12,1.3,0.03663755738423466,3960,3180,0.39537663777900656,2.461316652984945,16,0.07874236685387015,X1;X0Z1
13,1.4,0.03643867626427265,4350,3510,0.3978422821723605,2.5104637971887063,16,0.06934037476856902,X1;X0Z1
14,1.5,0.036286083467944624,4740,3840,0.3994036233848999,2.5480979024995274,16,0.06132583265327792,X1;X0Z1
15,1.6,0.036160808943630184,5130,4170,0.40030716175923675,2.5778981685755915,16,0.05456587015498397,X1;X0Z1
16,1.7,0.03605238149038596,5520,4500,0.4007343967469644,2.6011556843377135,16,0.04884124969084754,X1;X0Z1
17,1.8,0.035954967974078475,5910,4830,0.40081892384294915,2.6194905187718653,16,0.04393603876675313,X1;X0Z1
18,1.9,0.03586527152984092,6300,5160,0.40137467200063826,2.6341036095285517,16,0.03966862720792713,X1;X0Z1
19,2.0,0.03578138738184145,6690,5490,0.4019801565555765,2.645886309479968,16,0.0358974017433899,X1;X0Z1
20,2.1,0.035702180220435635,7730,6470,0.40240567290582613,2.6555012931657695,24,0.03251682378294595,X1;X0Z1;Y3
21,2.2,0.035626945907059816,8280,6960,0.4026971421885556,2.663442355876096,24,0.02945090041858077,X1;X0Z1;Y3
22,2.3,0.03555522863767406,8830,7450,0.40288873154131244,2.6700786626182236,24,0.0266468906016106,X1;X0Z1;Y3
23,2.4,0.03548672395500304,9380,7940,0.40300598396788656,2.6756875666108373,24,0.024070207646264337,X1;X0Z1;Y3
24,2.5,0.03542123066504209,9930,8430,0.4030681680858981,2.680479081658155,24,0.021700721809035917,X1;X0Z1;Y3
25,2.6,0.03535863306777861,10480,8920,0.4030900767695115,2.6846143585958733,24,0.019530373053369354,X1;X0Z1;Y3
26,2.7,0.03529890505023063,11030,9410,0.40308345408332913,2.6882199960145527,24,0.01756186184992839,X1;X0Z1;Y3
27,2.8,0.03524212980761051,11580,9900,0.40305816822227053,2.6913995167711637,24,0.015807902208032916,X1;X0Z1;Y3
28,2.9,0.03518851343492408,12130,10390,0.40302308687540067,2.694242293923709,24,0.014289667958582981,X1;X0Z1;Y3
29,3.0,0.03513832341520126,12680,10880,0.4029862338550527,2.6968276154057653,24,0.01303105244111748,X1;X0Z1;Y3
